domain,subdomain,product,attribute,column_name,business_glossary_term,type,is_primary_key,foreign_key_to,tags,value_regex,data_type,description,reference
appeal,case_management,adverse_determination,adverse_determination_id,adverse_determination_id,Adverse Determination ID,BIGINT,Y,,,,transactional_data,System‑generated unique identifier for the adverse benefit determination record.,Facets/QNXT
appeal,case_management,adverse_determination,audit_finding_id,audit_finding_id,Audit Finding Id (Foreign Key),BIGINT,,compliance.audit_finding.audit_finding_id,,,transactional_data,Foreign key linking to compliance.audit_finding. Business justification: Adverse determinations are audited for compliance; linking each determination to its audit finding supports audit trail and corrective actions.,Internal - LLM Generated Cross-Domain Link
appeal,case_management,adverse_determination,claim_header_id,claim_header_id,Claim ID,BIGINT,,claim.header.header_id,,,transactional_data,Identifier of the claim that triggered the adverse determination.,Facets/QNXT
appeal,case_management,adverse_determination,member_identity_id,member_identity_id,Member ID,BIGINT,,member.identity.identity_id,"restricted,pii_identifier",,transactional_data,Unique identifier of the member to whom the adverse determination applies.,Facets/QNXT
appeal,case_management,adverse_determination,pa_request_id,pa_request_id,Prior Authorization ID,BIGINT,,utilization.pa_request.pa_request_id,,,transactional_data,"Identifier of the prior authorization associated with the determination, if applicable.",InterQual/MCG
appeal,case_management,adverse_determination,prior_authorization_id,prior_authorization_id,Prior Authorization ID,BIGINT,,pharmacy.prior_authorization.prior_authorization_id,,,transactional_data,Identifier of the prior authorization request linked to the determination.,Facets/QNXT
appeal,case_management,adverse_determination,provider_id,provider_id,Provider Provider Provider Id (Foreign Key),BIGINT,,provider.provider_provider.provider_id,,,transactional_data,Foreign key linking to provider.provider_provider. Business justification: Adverse Determination Provider Report needs a direct FK to provider for audit and risk analysis.,Internal - LLM Generated Cross-Domain Link
appeal,case_management,adverse_determination,appeal_deadline_date,appeal_deadline_date,Appeal Deadline Date,DATE,,,,,transactional_data,Last date by which an appeal must be filed.,Facets/QNXT
appeal,case_management,adverse_determination,appeal_eligibility_flag,appeal_eligibility_flag,Appeal Eligibility Flag,BOOLEAN,,,,,transactional_data,Indicates whether the member is eligible to appeal the determination under applicable regulations.,Facets/QNXT
appeal,case_management,adverse_determination,appeal_filed_date,appeal_filed_date,Appeal Filed Date,DATE,,,,,transactional_data,Date on which the member filed an appeal.,Facets/QNXT
