domain,subdomain,product,attribute,column_name,business_glossary_term,type,is_primary_key,foreign_key_to,tags,value_regex,data_type,description,reference
clinical,clinical_documentation,diagnosis,diagnosis_id,diagnosis_id,Clinical Diagnosis ID,BIGINT,Y,,"restricted,pii_health",,transactional_data,Unique surrogate identifier for each clinical diagnosis record in the system. Primary key for the clinical_diagnosis data product.,HL7 FHIR R4 Condition Resource
clinical,clinical_documentation,diagnosis,care_site_id,care_site_id,Facility ID,BIGINT,,facility.care_site.care_site_id,,,transactional_data,"Reference to the healthcare facility (hospital, clinic, outpatient center) where this diagnosis was documented. Supports multi-facility enterprise reporting, facility-level quality benchmarking, and regulatory submissions.",CMS Facility NPI Registry; Joint Commission Facility Accreditation; HL7 FHIR R4 Organization Resource
clinical,clinical_documentation,diagnosis,clinical_order_id,clinical_order_id,Diagnosis Clinical Order Id (Foreign Key),BIGINT,,order.clinical_order.clinical_order_id,,,transactional_data,"Foreign key linking to order.clinical_order. Business justification: Diagnoses drive clinical order placement in real workflows. Clinician diagnoses pneumonia, orders chest X-ray and antibiotics. Essential for order appropriateness review, clinical decision support val",Internal - LLM Generated Cross-Domain Link
clinical,clinical_documentation,diagnosis,clinician_id,clinician_id,Diagnosing Provider ID,BIGINT,,provider.clinician.clinician_id,,,transactional_data,"Reference to the licensed clinician (physician, NP, PA) who documented or confirmed this diagnosis. Used for provider attribution, quality reporting, and CDI workflows.",HL7 FHIR R4 Condition.asserter; CMS NPI Registry
clinical,clinical_documentation,diagnosis,demographics_id,demographics_id,Patient ID,BIGINT,,patient.demographics.demographics_id,"restricted,pii_health",,transactional_data,Reference to the patient for whom this diagnosis was documented. Links to the patient master record in the Master Patient Index (MPI).,HL7 FHIR R4 Condition.subject; HIPAA 45 CFR §164.514
clinical,clinical_documentation,diagnosis,drug_master_id,drug_master_id,Drug Master Id (Foreign Key),BIGINT,,pharmacy.drug_master.drug_master_id,,,transactional_data,Foreign key linking to pharmacy.drug_master. Business justification: Diagnoses drive formulary decisions and contraindication checking in clinical decision support systems. Medication appropriateness reviews require diagnosis-to-drug validation for patient safety and q,Internal - LLM Generated Cross-Domain Link
clinical,clinical_documentation,diagnosis,health_plan_id,health_plan_id,Health Plan Id (Foreign Key),BIGINT,,insurance.health_plan.health_plan_id,"restricted,pii",,transactional_data,Foreign key linking to insurance.health_plan. Business justification: Risk adjustment and HCC coding: diagnoses are submitted to health plans for risk score calculation (HCC/RAF scoring). Risk adjustment analysts and coders require diagnosis-to-health-plan linkage for C,Internal - LLM Generated Cross-Domain Link
clinical,clinical_documentation,diagnosis,icd_code_id,icd_code_id,Icd10 Code Id (Foreign Key),BIGINT,,reference.icd_code.icd_code_id,,,transactional_data,"Foreign key linking to reference.icd_code. Business justification: Diagnosis coding validation, DRG grouping, quality measure reporting, and CMS submission require authoritative ICD-10 code reference. Clinical coders validate diagnosis codes against reference tables ",Internal - LLM Generated Cross-Domain Link
clinical,clinical_documentation,diagnosis,material_master_id,material_master_id,Material Master Id (Foreign Key),BIGINT,,supply.material_master.material_master_id,,,transactional_data,"Foreign key linking to supply.material_master. Business justification: Diagnoses drive formulary decisions, clinical pathway supply protocols, and diagnosis-specific supply ordering (e.g., diabetes → glucose monitors). Enables diagnosis-driven supply chain analytics and ",Internal - LLM Generated Cross-Domain Link
clinical,clinical_documentation,diagnosis,payer_id,payer_id,Payer Id (Foreign Key),BIGINT,,insurance.payer.payer_id,,,transactional_data,"Foreign key linking to insurance.payer. Business justification: Diagnosis coding drives claims adjudication, medical necessity determination, and prior authorization. Revenue cycle operations require payer context for each diagnosis to apply correct coding rules, ",Internal - LLM Generated Cross-Domain Link
clinical,clinical_documentation,diagnosis,snomed_concept_id,snomed_concept_id,Snomed Code Id (Foreign Key),BIGINT,,reference.snomed_concept.snomed_concept_id,,,transactional_data,"Foreign key linking to reference.snomed_concept. Business justification: Clinical terminology standardization for EHR interoperability, clinical decision support rules, and quality measure calculation. SNOMED CT is the required standard for USCDI and enables semantic inter",Internal - LLM Generated Cross-Domain Link
clinical,clinical_documentation,diagnosis,visit_id,visit_id,Encounter ID,BIGINT,,encounter.visit.visit_id,,,transactional_data,"Reference to the clinical encounter (visit, admission, or outpatient episode) during which this diagnosis was documented or confirmed. Supports encounter-level DRG assignment and billing.",HL7 FHIR R4 Condition.encounter; CMS DRG Grouping Guidelines
clinical,clinical_documentation,diagnosis,admit_diagnosis_flag,admit_diagnosis_flag,Admitting Diagnosis Flag,BOOLEAN,,,"restricted,pii_health",,transactional_data,Indicates whether this diagnosis was the stated reason for inpatient admission as documented at the time of admission. The admitting diagnosis may differ from the principal discharge diagnosis and is required on UB-04 claim form field 69.,UB-04 FL 69; CMS ICD-10-CM Official Guidelines; UHDDS Admitting Diagnosis Definition
clinical,clinical_documentation,diagnosis,care_setting,care_setting,Care Setting,STRING,,,,,transactional_data,"The clinical care setting in which this diagnosis was documented (e.g., ICU, ED, OR, ambulatory clinic). Supports care-setting-specific quality reporting, resource utilization analysis, and population health stratification. [ENUM-REF-CANDIDATE: inpatient|outpatient|ED|ICU|OR|ambulatory|telehealth — promote to reference product]",CMS Place of Service Codes; HL7 FHIR R4 Encounter.serviceType; TJC Care Setting Definitions
clinical,clinical_documentation,diagnosis,cdi_query_flag,cdi_query_flag,Clinical Documentation Improvement (CDI) Query Flag,BOOLEAN,,,,,transactional_data,Indicates whether a CDI specialist has issued a physician query related to this diagnosis for clarification or specificity improvement. Supports CDI workflow tracking and documentation quality metrics.,ACDIS CDI Practice Standards; Joint Commission RC.02.01.01; 3M Health Information Systems CDI Module
clinical,clinical_documentation,diagnosis,cdi_query_status,cdi_query_status,Clinical Documentation Improvement (CDI) Query Status,STRING,,,,pending|agreed|disagreed|no_response|withdrawn,transactional_data,Current status of the CDI physician query associated with this diagnosis. Tracks whether the provider has responded and whether the diagnosis was amended based on the query outcome.,ACDIS CDI Practice Standards; 3M Health Information Systems CDI Module; OIG Compliance Guidance
clinical,clinical_documentation,diagnosis,chronic_condition_flag,chronic_condition_flag,Chronic Condition Flag,BOOLEAN,,,,,transactional_data,"Indicates whether this diagnosis represents a chronic condition as defined by CMS Chronic Condition Warehouse (CCW) criteria. Used for population health management, HEDIS measure attribution, and ACO quality reporting.",CMS Chronic Condition Warehouse (CCW); NCQA HEDIS Technical Specifications; CMS ACO Quality Reporting
clinical,clinical_documentation,diagnosis,clinical_status,clinical_status,Clinical Status,STRING,,,,active|resolved|inactive|recurrence|remission|unknown,transactional_data,Current clinical state of the diagnosis as documented by the provider. Active indicates an ongoing condition; resolved indicates the condition has been treated or cleared; chronic conditions may persist across encounters.,HL7 FHIR R4 Condition.clinicalStatus; SNOMED CT Clinical Finding Hierarchy
clinical,clinical_documentation,diagnosis,coding_date,coding_date,Coding Date,DATE,,,,,transactional_data,"The date on which the ICD-10-CM code was assigned or finalized by the HIM coder. Used for coding turnaround time reporting, revenue cycle management, and compliance audits.",AHIMA Coding Guidelines; CMS Timely Filing Requirements; Joint Commission RC.02.01.01
clinical,clinical_documentation,diagnosis,coding_status,coding_status,Coding Status,STRING,,,,unreviewed|coded|queried|finalized|amended,transactional_data,Indicates the Health Information Management (HIM) coding workflow status for this diagnosis. Finalized diagnoses are ready for claim submission; amended diagnoses reflect post-coding corrections.,AHIMA Coding Guidelines; Joint Commission RC.02.01.01; CMS Conditions of Participation
clinical,clinical_documentation,diagnosis,complication_comorbidity_flag,complication_comorbidity_flag,Complication or Comorbidity (CC/MCC) Flag,BOOLEAN,,,,,transactional_data,Indicates whether this secondary diagnosis qualifies as a Complication (CC) or Major Complication/Comorbidity (MCC) under CMS DRG grouping logic. CC/MCC status elevates DRG weight and reimbursement.,CMS MS-DRG Definitions Manual; 3M Health Information Systems Grouper; CMS ICD-10-CM/PCS MS-DRG v41
