domain,subdomain,product,attribute,column_name,business_glossary_term,type,is_primary_key,foreign_key_to,tags,value_regex,data_type,description,reference
foodsafety,audit_governance,audit_finding,audit_finding_id,audit_finding_id,Audit Finding ID,BIGINT,Y,,,,transactional_data,System-generated unique identifier for the audit finding record.,Primary Key
foodsafety,audit_governance,audit_finding,cost_center_id,cost_center_id,Cost Center Id (Foreign Key),BIGINT,,finance.cost_center.cost_center_id,,,transactional_data,Foreign key linking to finance.cost_center. Business justification: Remediation cost allocation: corrective actions for findings are budgeted against a cost center.,Internal - LLM Generated Cross-Domain Link
foodsafety,audit_governance,audit_finding,employee_id,employee_id,Responsible Party ID,BIGINT,,workforce.employee.employee_id,"confidential,pii",,transactional_data,Identifier of the employee or contractor accountable for corrective action.,Employee Master Data
foodsafety,audit_governance,audit_finding,food_safety_audit_id,food_safety_audit_id,Food Safety Audit Id (Foreign Key),BIGINT,,foodsafety.food_safety_audit.food_safety_audit_id,,,transactional_data,Foreign key linking to foodsafety.food_safety_audit. Business justification: Audit findings are recorded under a specific food safety audit; adding food_safety_audit_id links findings to their audit.,Internal - LLM Generated Cross-Domain Link
foodsafety,audit_governance,audit_finding,responsible_party_employee_id,responsible_party_employee_id,Responsible Party ID,BIGINT,,workforce.employee.employee_id,,,transactional_data,Identifier of the employee or contractor accountable for corrective action.,Employee Master Data
foodsafety,audit_governance,audit_finding,restaurant_unit_id,restaurant_unit_id,Restaurant ID,BIGINT,,restaurant.unit.unit_id,,,transactional_data,Identifier of the restaurant unit where the audit was performed.,Restaurant Master Data
foodsafety,audit_governance,audit_finding,unit_id,unit_id,Restaurant ID,BIGINT,,restaurant.unit.unit_id,,,transactional_data,Identifier of the restaurant unit where the audit was performed.,Restaurant Master Data
foodsafety,audit_governance,audit_finding,audit_finding_description,audit_finding_description,Finding Description,STRING,,,,,transactional_data,Detailed narrative of the violation or observation.,Zenput Audit Module
foodsafety,audit_governance,audit_finding,audit_finding_status,audit_finding_status,Finding Status,STRING,,,,open|in_progress|closed|deferred|rejected,transactional_data,Current lifecycle status of the finding.,Zenput Audit Module
foodsafety,audit_governance,audit_finding,corrective_action,corrective_action,Corrective Action,STRING,,,,,transactional_data,Prescribed action required to remediate the finding.,Zenput Audit Module
foodsafety,audit_governance,audit_finding,created_timestamp,created_timestamp,Record Created Timestamp,TIMESTAMP,,,,,transactional_data,Timestamp when the finding record was first created in the system.,System Audit
foodsafety,audit_governance,audit_finding,due_date,due_date,Corrective Action Due Date,DATE,,,,,transactional_data,Date by which the corrective action must be completed.,Zenput Audit Module
foodsafety,audit_governance,audit_finding,finding_category,finding_category,Finding Category,STRING,,,,haccp|food_safety|sanitation|allergen|equipment|facility,transactional_data,"High‑level domain of the finding (e.g., HACCP, sanitation).",Zenput Audit Module
foodsafety,audit_governance,audit_finding,finding_number,finding_number,Finding Number,STRING,,,,,transactional_data,Human‑readable identifier assigned to the finding within the audit.,Zenput Audit Module
foodsafety,audit_governance,audit_finding,finding_timestamp,finding_timestamp,Finding Timestamp,TIMESTAMP,,,,,transactional_data,Date and time when the finding was recorded during the audit.,Zenput Audit Module
foodsafety,audit_governance,audit_finding,has_attachment,has_attachment,Attachment Flag,BOOLEAN,,,,,transactional_data,"Indicates whether supporting documentation (photos, files) is attached.",Zenput Audit Module
foodsafety,audit_governance,audit_finding,regulatory_reference,regulatory_reference,Regulatory Reference,STRING,,,,,transactional_data,"Code or citation of the applicable regulation (e.g., FDA Food Code section).",Regulatory Standards
foodsafety,audit_governance,audit_finding,resolution_date,resolution_date,Resolution Date,DATE,,,,,transactional_data,Date when the finding was closed or resolved.,Zenput Audit Module
