domain,subdomain,product,attribute,column_name,business_glossary_term,type,is_primary_key,foreign_key_to,tags,value_regex,data_type,description,reference
field,monitoring_evaluation,assessment,assessment_id,assessment_id,Assessment ID,BIGINT,Y,,,,master_data,Unique identifier for the field assessment record. Primary key.,Core Humanitarian Standard (CHS)
field,monitoring_evaluation,assessment,award_id,award_id,Award Id (Foreign Key),BIGINT,,grant.award.award_id,,,master_data,"Foreign key linking to grant.award. Business justification: Assessments (needs, baseline, endline, PDM) are typically award-funded activities requiring donor reporting and cost tracking. Critical for MEL frameworks, donor compliance, and linking assessment fin",Internal - LLM Generated Cross-Domain Link
field,monitoring_evaluation,assessment,cost_center_id,cost_center_id,Cost Center Id (Foreign Key),BIGINT,,finance.cost_center.cost_center_id,,,master_data,"Foreign key linking to finance.cost_center. Business justification: Assessments are charged to cost centers. Finance needs this for expense tracking, budget management, and cost allocation.",Internal - LLM Generated Cross-Domain Link
field,monitoring_evaluation,assessment,country_office_id,country_office_id,Country Office Id (Foreign Key),BIGINT,,field.country_office.country_office_id,,,master_data,"Foreign key linking to field.country_office. Business justification: Assessments are conducted within the operational scope of a country office. While assessment already links to project_site (and project_site links to country_office), some assessments may be country-o",Internal - LLM Generated Cross-Domain Link
field,monitoring_evaluation,assessment,distribution_event_id,distribution_event_id,Distribution Event ID,BIGINT,,field.distribution_event.distribution_event_id,,,master_data,Reference to the distribution event being monitored. Applicable for Post-Distribution Monitoring (PDM) assessments only.,Sphere Humanitarian Standards
field,monitoring_evaluation,assessment,evaluation_id,evaluation_id,Evaluation Id (Foreign Key),BIGINT,,mel.evaluation.evaluation_id,,,master_data,"Foreign key linking to mel.evaluation. Business justification: Assessments provide primary data for evaluations. Evaluators use assessment data (needs, PDM, baseline) as evidence. Essential for evaluation methodology traceability and DAC criteria verification in ",Internal - LLM Generated Cross-Domain Link
field,monitoring_evaluation,assessment,finance_fund_id,finance_fund_id,Finance Fund Id (Foreign Key),BIGINT,,finance.finance_fund.finance_fund_id,,,master_data,Foreign key linking to finance.finance_fund. Business justification: Assessments are funded activities charged to specific funds. Finance needs to track assessment costs against fund budgets for donor reporting and fund management.,Internal - LLM Generated Cross-Domain Link
field,monitoring_evaluation,assessment,indicator_id,indicator_id,Indicator Id (Foreign Key),BIGINT,,mel.indicator.indicator_id,,,master_data,"Foreign key linking to mel.indicator. Business justification: Assessments (baseline, endline, needs) directly measure indicator progress. Nonprofit M&E requires linking assessment findings to specific indicators for results reporting and donor compliance. No exi",Internal - LLM Generated Cross-Domain Link
field,monitoring_evaluation,assessment,internal_review_id,internal_review_id,Compliance Review Id (Foreign Key),BIGINT,,compliance.internal_review.internal_review_id,,,master_data,"Foreign key linking to compliance.internal_review. Business justification: Assessments undergo internal compliance reviews for methodology quality, data integrity, and adherence to donor/organizational standards. Compliance teams review assessment protocols and findings befo",Internal - LLM Generated Cross-Domain Link
field,monitoring_evaluation,assessment,intervention_id,intervention_id,Intervention Id (Foreign Key),BIGINT,,program.intervention.intervention_id,,,master_data,"Foreign key linking to program.intervention. Business justification: Assessments (needs assessments, PDM, post-distribution monitoring) inform intervention design, measure intervention effectiveness, and provide evidence for program amendments. While some assessments l",Internal - LLM Generated Cross-Domain Link
field,monitoring_evaluation,assessment,partner_org_id,partner_org_id,Partner Org Id (Foreign Key),BIGINT,,partnership.partner_org.partner_org_id,,,master_data,"Foreign key linking to partnership.partner_org. Business justification: Assessments (needs assessments, PDM, evaluations) are frequently conducted by or jointly with partner organizations. Tracking the partner assessor enables data quality control, capacity building plann",Internal - LLM Generated Cross-Domain Link
field,monitoring_evaluation,assessment,plan_id,plan_id,Communication Plan Id (Foreign Key),BIGINT,,communication.plan.plan_id,,,master_data,"Foreign key linking to communication.communication_plan. Business justification: Assessments drive communication strategies for needs-based advocacy, donor reporting, and community feedback loops. Links assessment findings to planned stakeholder messaging and media engagement in h",Internal - LLM Generated Cross-Domain Link
field,monitoring_evaluation,assessment,project_site_id,project_site_id,Project Site ID,BIGINT,,field.project_site.project_site_id,,,master_data,Reference to the project site where this assessment was conducted.,OCHA Humanitarian Programme Cycle (HPC)
field,monitoring_evaluation,assessment,safeguarding_incident_id,safeguarding_incident_id,Safeguarding Incident Id (Foreign Key),BIGINT,,safeguarding.safeguarding_incident.safeguarding_incident_id,,,master_data,"Foreign key linking to safeguarding.safeguarding_incident. Business justification: Field assessments involve beneficiary interviews and data collection with inherent safeguarding risks. Incident reporting during assessments is mandatory for ethical research protocols, protection mai",Internal - LLM Generated Cross-Domain Link
field,monitoring_evaluation,assessment,system_platform_id,system_platform_id,KoboToolbox Form ID,BIGINT,,technology.system_platform.system_platform_id,,,master_data,The unique form identifier in KoboToolbox or CommCare system used for this assessment. Enables traceability to source data collection instrument.,KoboToolbox API Documentation
field,monitoring_evaluation,assessment,team_lead_staff_member_id,team_lead_staff_member_id,Assessment Team Lead Staff Member Id (Foreign Key),BIGINT,,workforce.staff_member.staff_member_id,"confidential,pii",,master_data,"Foreign key linking to workforce.staff_member. Business justification: Assessments require designated team lead for operational accountability, coordination, and donor reporting compliance. Essential for tracking who is responsible for assessment quality and findings val",Internal - LLM Generated Cross-Domain Link
field,monitoring_evaluation,assessment,adequacy_score,adequacy_score,Adequacy Score,"DECIMAL(5,2)",,,,,master_data,"For PDM assessments: score representing beneficiary assessment of whether the distributed items met their needs in terms of quantity, quality, and timeliness. Typically on a scale of 1-5 or 1-10.",Sphere Humanitarian Standards
field,monitoring_evaluation,assessment,assessment_code,assessment_code,Assessment Code,STRING,,,,"^[A-Z0-9]{6,20}$",master_data,"Externally-known unique business identifier for the assessment, used in reporting and coordination with partners.",Inter-Agency Standing Committee (IASC) Assessment Framework
field,monitoring_evaluation,assessment,assessment_date,assessment_date,Assessment Date,DATE,,,,,master_data,The date when the field assessment was conducted or initiated. Principal business event timestamp for this assessment.,OCHA Situation Report (SitRep) Standards
field,monitoring_evaluation,assessment,assessment_name,assessment_name,Assessment Name,STRING,,,,,master_data,"Human-readable name or title of the assessment, describing its purpose and scope.",Core Humanitarian Standard (CHS)
field,monitoring_evaluation,assessment,assessment_status,assessment_status,Assessment Status,STRING,,,,planned|in_progress|completed|validated|cancelled,master_data,Current lifecycle status of the assessment. Tracks progression from planning through validation.,Monitoring Evaluation and Learning (MEL) Framework
field,monitoring_evaluation,assessment,assessment_type,assessment_type,Assessment Type,STRING,,,,,master_data,"Classification of the assessment methodology. FGD (Focus Group Discussion), KII (Key Informant Interview), PDM (Post-Distribution Monitoring), MUAC (Mid-Upper Arm Circumference) screening for malnutrition. [ENUM-REF-CANDIDATE: FGD|KII|household_survey|rapid_needs_assessment|PDM|market_assessment|MUAC_screening|baseline_assessment|endline_assessment|midterm_review — 10 candidates stripped; promote to reference product]",IASC Needs Assessment Framework
field,monitoring_evaluation,assessment,beneficiary_satisfaction_score,beneficiary_satisfaction_score,Beneficiary Satisfaction Score,"DECIMAL(5,2)",,,,,master_data,Overall satisfaction rating provided by beneficiaries regarding the program or distribution. Supports Accountability to Affected Populations (AAP) and CHS compliance.,Core Humanitarian Standard (CHS) Commitment 5
field,monitoring_evaluation,assessment,cluster_coordination_body,cluster_coordination_body,Cluster Coordination Body,STRING,,,,,master_data,"The OCHA cluster or sector coordination group to which this assessment is reported (e.g., WASH Cluster, Health Cluster, Food Security Cluster).",OCHA Cluster Coordination Standards
field,monitoring_evaluation,assessment,complaints_received_count,complaints_received_count,Complaints Received Count,INT,,,,,master_data,Number of complaints or grievances raised by beneficiaries during the assessment. Critical for accountability and feedback mechanisms.,Humanitarian Accountability Partnership (HAP) Standards
field,monitoring_evaluation,assessment,created_timestamp,created_timestamp,Created Timestamp,TIMESTAMP,,,,,master_data,Date and time when this assessment record was first created in the system.,Data Governance Standards
field,monitoring_evaluation,assessment,data_collection_tool,data_collection_tool,Data Collection Tool,STRING,,,,,master_data,The digital or physical tool used to capture assessment data in the field. [ENUM-REF-CANDIDATE: KoboToolbox|CommCare|ODK|paper_form|mobile_app|DHIS2|other — 7 candidates stripped; promote to reference product],ICT4D (Information and Communication Technology for Development) Standards
field,monitoring_evaluation,assessment,data_quality_score,data_quality_score,Data Quality Score,"DECIMAL(5,2)",,,,,master_data,"Internal quality score assessing completeness, accuracy, and reliability of the assessment data. Used for MEL quality control.",Data Quality Assessment Framework
