domain,subdomain,product,attribute,column_name,business_glossary_term,type,is_primary_key,foreign_key_to,tags,value_regex,data_type,description,reference
curriculum,course_delivery,requirement_course_rule,requirement_course_rule_id,requirement_course_rule_id,Requirement Course Rule - Requirement Course Rule Id,BIGINT,Y,,,,association_data,Primary key for the requirement_course_rule association,Internal - M:N Association PK
curriculum,course_delivery,requirement_course_rule,course_id,course_id,Requirement Course Rule - Course Id,BIGINT,,curriculum.course.course_id,,,association_data,Foreign key linking to the catalog course record approved to fulfill the requirement block.,Internal - M:N Association FK
curriculum,course_delivery,requirement_course_rule,degree_requirement_id,degree_requirement_id,Requirement Course Rule - Degree Requirement Id,BIGINT,,curriculum.degree_requirement.degree_requirement_id,,,association_data,Foreign key linking to the degree requirement block that this course is approved to satisfy.,Internal - M:N Association FK
curriculum,course_delivery,requirement_course_rule,allow_substitution,allow_substitution,Substitution Permitted Indicator,BOOLEAN,,,,,association_data,"Indicates whether an academic advisor may approve a substitute course in place of this specific course for this specific requirement block. This is a pairing-level rule that overrides or refines the block-level allow_substitution flag on degree_requirement, enabling fine-grained control per course-requirement combination.",Internal - M:N Association Attribute
curriculum,course_delivery,requirement_course_rule,credit_hours_awarded,credit_hours_awarded,Credit Hours Awarded Toward Requirement,DECIMAL,,,,,association_data,"The number of credit hours this course contributes toward the requirement block when completed. For variable-credit courses this may differ from the course catalog credit_hours value, and for cross-listed or co-listed courses the awarded hours may be capped by the requirement block rule. Belongs to the pairing, not to either entity alone.","DECIMAL(4,2)"
curriculum,course_delivery,requirement_course_rule,is_required,is_required,Required Course Indicator,BOOLEAN,,,,,association_data,"Indicates whether this specific course is mandatory within the requirement block (true) or is one of several elective options that can satisfy the block (false). This is a pairing-level flag — the same course may be required in one block and optional in another — and therefore belongs to the association, not to the course or the requirement block alone.",Internal - M:N Association Attribute
curriculum,course_delivery,requirement_course_rule,min_grade,min_grade,Minimum Fulfillment Grade,STRING,,,,,association_data,"The minimum letter grade a student must earn in this specific course for it to count toward this specific requirement block. This is a pairing-level rule — the same course may have different minimum grade thresholds across different requirement blocks — and therefore belongs to the association, not to the course catalog or the requirement block alone.",Internal - M:N Association Attribute
curriculum,course_delivery,requirement_course_rule,sequence_number,sequence_number,Course Sequence Order,BIGINT,,,,,association_data,"The display and processing sequence of this course within the requirement block, used by degree audit systems to order the approved course list and by academic advisors to present recommended course sequences. Belongs to the pairing because the same course may appear at different sequence positions in different requirement blocks.",Internal - M:N Association Attribute
curriculum,course_delivery,section,section_id,section_id,Section - Section Id,BIGINT,Y,,,,association_data,Primary key for the section association,Internal - M:N Association PK
curriculum,course_delivery,section,cost_center_id,cost_center_id,Cost Center Id (Foreign Key),BIGINT,,finance.cost_center.cost_center_id,,,association_data,"Foreign key linking to finance.cost_center. Business justification: Section-level instructional cost tracking (adjunct pay, room costs, technology) is tracked to a cost center for per-section cost analysis and enrollment-driven budget models. Standard higher-ed ERP op",Internal - LLM Generated Cross-Domain Link
