domain,subdomain,product,attribute,column_name,business_glossary_term,type,is_primary_key,foreign_key_to,tags,value_regex,data_type,description,reference
campaign,campaign_planning,approval,approval_id,approval_id,Campaign Approval ID,BIGINT,Y,,,,transactional_data,Unique identifier for the campaign approval record. Primary key.,
campaign,campaign_planning,approval,approval_assigned_reviewer_user_worker_id,approval_assigned_reviewer_user_worker_id,Assigned Reviewer User ID,BIGINT,,talent.worker.worker_id,,,transactional_data,Identifier of the user assigned to review and decide on the approval request.,
campaign,campaign_planning,approval,approval_created_by_user_worker_id,approval_created_by_user_worker_id,Created By User ID,BIGINT,,talent.worker.worker_id,,,transactional_data,Identifier of the system user who created this approval record.,
campaign,campaign_planning,approval,approval_escalated_to_user_worker_id,approval_escalated_to_user_worker_id,Escalated To User ID,BIGINT,,talent.worker.worker_id,,,transactional_data,Identifier of the higher-authority user to whom the approval was escalated. Populated only when escalation_flag is True.,
campaign,campaign_planning,approval,approval_modified_by_user_worker_id,approval_modified_by_user_worker_id,Modified By User ID,BIGINT,,talent.worker.worker_id,,,transactional_data,Identifier of the system user who last modified this approval record.,
campaign,campaign_planning,approval,approval_worker_id,approval_worker_id,Requested By User ID,BIGINT,,talent.worker.worker_id,,,transactional_data,Identifier of the user who initiated the approval request.,
campaign,campaign_planning,approval,campaign_brief_id,campaign_brief_id,Campaign Brief Id (Foreign Key),BIGINT,,campaign.campaign_brief.campaign_brief_id,,,transactional_data,"Foreign key linking to campaign.campaign_brief. Business justification: Campaign briefs require client approval before campaign execution (campaign_brief has approved_by_client_flag, client_approval_date, client_approver_name). approval.parent_entity_type can include camp",Internal - LLM Generated Cross-Domain Link
campaign,campaign_planning,approval,campaign_id,campaign_id,Parent Entity ID,BIGINT,,campaign.campaign.campaign_id,,,transactional_data,"The unique identifier of the parent entity (campaign, media plan, IO, etc.) that requires approval.",
campaign,campaign_planning,approval,flight_id,flight_id,Flight Id (Foreign Key),BIGINT,,campaign.flight.flight_id,,,transactional_data,Foreign key linking to campaign.flight. Business justification: approval has parent_entity_type attribute indicating it can apply to various entities including flights. Currently only has campaign_id FK. Flights have flight_status and require approval workflows be,Internal - LLM Generated Cross-Domain Link
campaign,campaign_planning,approval,line_item_id,line_item_id,Line Item Id (Foreign Key),BIGINT,,campaign.line_item.line_item_id,,,transactional_data,Foreign key linking to campaign.line_item. Business justification: approval has parent_entity_type attribute indicating it can apply to various entities including line items. Line items have trafficking_status and delivery_status requiring approval workflows. Adding ,Internal - LLM Generated Cross-Domain Link
campaign,campaign_planning,approval,trafficking_order_id,trafficking_order_id,Trafficking Order Id (Foreign Key),BIGINT,,campaign.trafficking_order.trafficking_order_id,,,transactional_data,"Foreign key linking to campaign.trafficking_order. Business justification: Trafficking orders require QA and approval workflows before going live (trafficking_order has qa_status, qa_completed_timestamp). approval.parent_entity_type can include trafficking orders. Adding tra",Internal - LLM Generated Cross-Domain Link
campaign,campaign_planning,approval,amount_threshold,amount_threshold,Approval Amount Threshold,"DECIMAL(18,2)",,,,,transactional_data,The monetary threshold (in campaign currency) that triggered this approval requirement. Used for budget change and IO execution approvals.,
campaign,campaign_planning,approval,approval_status,approval_status,Approval Status,STRING,,,,pending|approved|rejected|escalated|withdrawn,transactional_data,"Current status of the approval request: pending (awaiting decision), approved (authorized to proceed), rejected (denied), escalated (sent to higher authority), or withdrawn (request cancelled).",IAB (Interactive Advertising Bureau) Workflow Standards
campaign,campaign_planning,approval,approval_type,approval_type,Approval Type,STRING,,,,campaign_launch|budget_change|creative_approval|io_execution|media_plan_signoff|compliance_review,transactional_data,"The category of approval being requested: campaign launch, budget change, creative approval, IO (Insertion Order) execution, media plan sign-off, or compliance review.",IAB (Interactive Advertising Bureau) Workflow Standards
campaign,campaign_planning,approval,assigned_reviewer_name,assigned_reviewer_name,Assigned Reviewer Name,STRING,,,,,transactional_data,Full name of the user assigned to review the approval request.,
campaign,campaign_planning,approval,authority_level,authority_level,Approval Authority Level,STRING,,,,,transactional_data,"The organizational authority tier required for this approval (e.g., Manager, Director, VP, C-Level, Board).",
campaign,campaign_planning,approval,compliance_framework,compliance_framework,Compliance Framework,STRING,,,,,transactional_data,"The regulatory or industry compliance framework governing this approval (e.g., GDPR, CCPA, IAB Standards, FTC Guidelines, Brand Safety Standards). Populated primarily for compliance_review approval types.","GDPR (General Data Protection Regulation), CCPA (California Consumer Privacy Act), IAB (Interactive Advertising Bureau), FTC (Federal Trade Commission)"
