domain,subdomain,product,attribute,column_name,business_glossary_term,type,is_primary_key,foreign_key_to,tags,value_regex,data_type,description,reference
conflict,conflict_screening,check,check_id,check_id,Conflict Check ID,BIGINT,Y,,,,transactional_data,Unique identifier for the conflict-of-interest screening request. Primary key sourced from Intapp Conflicts system.,Intapp Conflicts System
conflict,conflict_screening,check,aml_kyc_program_id,aml_kyc_program_id,Aml Kyc Program Id (Foreign Key),BIGINT,,compliance.aml_kyc_program.aml_kyc_program_id,,,transactional_data,Foreign key linking to compliance.aml_kyc_program. Business justification: Conflict checks for new clients trigger AML/KYC program requirements (client due diligence). Conflict clearance is gated on completion of KYC checks per AML program. Links check to AML program.,Internal - LLM Generated Cross-Domain Link
conflict,conflict_screening,check,assessment_id,assessment_id,Assessment Id (Foreign Key),BIGINT,,risk.assessment.assessment_id,,,transactional_data,"Foreign key linking to risk.assessment. Business justification: A conflict check triggers a formal risk assessment in legal practice. When a conflict is identified, the firm must assess severity and treatment options. Legal risk managers expect the check record to",Internal - LLM Generated Cross-Domain Link
conflict,conflict_screening,check,engagement_opportunity_id,engagement_opportunity_id,Engagement Opportunity Id (Foreign Key),BIGINT,,intake.engagement_opportunity.engagement_opportunity_id,,,transactional_data,Foreign key linking to intake.engagement_opportunity. Business justification: Firms run preliminary conflict checks at the engagement opportunity stage before a formal intake request is submitted. intake.engagement_opportunity has conflict_check_status and conflict_check_comple,Internal - LLM Generated Cross-Domain Link
conflict,conflict_screening,check,governing_policy_id,governing_policy_id,Governing Policy Id (Foreign Key),BIGINT,,compliance.policy.policy_id,,,transactional_data,"Foreign key linking to compliance.policy. Business justification: Client acceptance and conflicts-of-interest policies govern every conflict check — the policy defines screening scope, waiver conditions, and documentation requirements. Compliance officers and audito",Internal - LLM Generated Cross-Domain Link
conflict,conflict_screening,check,legal_service_id,legal_service_id,Legal Service Id (Foreign Key),BIGINT,,service.legal_service.legal_service_id,,,transactional_data,"Foreign key linking to service.legal_service. Business justification: Conflict checks are initiated for a specific legal service engagement (legal_service.requires_conflict_check = true). Linking check to legal_service enables service-level conflict reporting, SLA bench",Internal - LLM Generated Cross-Domain Link
conflict,conflict_screening,check,matter_risk_profile_id,matter_risk_profile_id,Matter Risk Profile Id (Foreign Key),BIGINT,,risk.matter_risk_profile.matter_risk_profile_id,,,transactional_data,Foreign key linking to risk.matter_risk_profile. Business justification: The conflict check outcome directly populates the conflict_risk_level field on the matter risk profile. Legal risk managers expect the check to reference the matter risk profile so that conflict clear,Internal - LLM Generated Cross-Domain Link
conflict,conflict_screening,check,outside_counsel_guideline_id,outside_counsel_guideline_id,Outside Counsel Guideline Id (Foreign Key),BIGINT,,client.outside_counsel_guideline.outside_counsel_guideline_id,,,transactional_data,Foreign key linking to client.outside_counsel_guideline. Business justification: Conflict checks must verify OCG staffing restrictions and practice area limitations before clearance. Legal ops teams cross-reference the applicable OCG during conflict review to confirm no prohibited,Internal - LLM Generated Cross-Domain Link
conflict,conflict_screening,check,practice_area_id,practice_area_id,Practice Area Id (Foreign Key),BIGINT,,service.practice_area.practice_area_id,,,transactional_data,Foreign key linking to service.practice_area. Business justification: Conflict checks apply practice-area-specific rules and sensitivity thresholds. Automated conflict screening systems filter rule sets by practice area. Essential for routing checks to appropriate ethic,Internal - LLM Generated Cross-Domain Link
conflict,conflict_screening,check,profile_id,profile_id,Client ID,BIGINT,,client.profile.profile_id,,,transactional_data,"Reference to the existing client entity involved in the conflict check, if the check relates to an existing client relationship.",Elite 3E Client/Matter Management
conflict,conflict_screening,check,prospect_id,prospect_id,Prospect ID,BIGINT,,intake.prospect.prospect_id,,,transactional_data,Reference to the prospective client entity being screened for conflicts during new business intake.,Intapp Conflicts System
conflict,conflict_screening,check,register_id,register_id,Risk Register Id (Foreign Key),BIGINT,,risk.register.register_id,,,transactional_data,"Foreign key linking to risk.risk_register. Business justification: Conflict checks identifying material risks (adverse relationships, ethical concerns, waiver requirements) trigger risk register entries for ongoing monitoring. Standard conflict-to-risk escalation wor",Internal - LLM Generated Cross-Domain Link
conflict,conflict_screening,check,regulatory_obligation_id,regulatory_obligation_id,Regulatory Obligation Id (Foreign Key),BIGINT,,compliance.regulatory_obligation.regulatory_obligation_id,,,transactional_data,"Foreign key linking to compliance.regulatory_obligation. Business justification: Conflict checks must verify compliance with specific regulatory obligations (SRA rules, ABA ethics rules). Clearance workflow references applicable obligations to determine waiver requirements and eth",Internal - LLM Generated Cross-Domain Link
conflict,conflict_screening,check,request_id,request_id,Intake Request ID,BIGINT,,intake.request.request_id,,,transactional_data,"Reference to the new business intake request that triggered this conflict check, if applicable.",Intapp Conflicts System
conflict,conflict_screening,check,rfp_submission_id,rfp_submission_id,Rfp Submission Id (Foreign Key),BIGINT,,intake.rfp_submission.rfp_submission_id,,,transactional_data,Foreign key linking to intake.rfp_submission. Business justification: Firms run conflict checks before responding to RFPs to avoid committing resources to a pitch that will be blocked by conflicts. intake.rfp_submission has denormalized conflict_check_status and conflic,Internal - LLM Generated Cross-Domain Link
conflict,conflict_screening,check,sla_template_id,sla_template_id,Sla Template Id (Foreign Key),BIGINT,,service.sla_template.sla_template_id,,,transactional_data,"Foreign key linking to service.sla_template. Business justification: Conflict checks have explicit SLA targets (sla_target_hours, sla_met_flag). These targets should be governed by the firm's SLA templates. Linking check to sla_template enables template-driven turnarou",Internal - LLM Generated Cross-Domain Link
conflict,conflict_screening,check,actual_turnaround_hours,actual_turnaround_hours,Actual Turnaround Hours,"DECIMAL(10,2)",,,,,transactional_data,"Actual elapsed time in hours from submission to final disposition, used for Service Level Agreement (SLA) compliance monitoring and process improvement.",Intapp Conflicts System
conflict,conflict_screening,check,assigned_timestamp,assigned_timestamp,Conflict Check Assigned Timestamp,TIMESTAMP,,,,,transactional_data,Date and time when the conflict check was assigned to the primary reviewer for analysis.,Intapp Conflicts System
conflict,conflict_screening,check,check_number,check_number,Conflict Check Number,STRING,,,,,transactional_data,"Business-facing unique identifier for the conflict check request, typically displayed to users and referenced in communications.",Intapp Conflicts System
conflict,conflict_screening,check,check_type,check_type,Conflict Check Type,STRING,,,,aba_rule_1_7_current_client|aba_rule_1_9_former_client|aba_rule_1_10_imputed_disqualification|lateral_hire|matter_opening|new_business_intake,transactional_data,"Classification of the conflict check based on the triggering event and applicable American Bar Association (ABA) Model Rules of Professional Conduct. ABA Rule 1.7 addresses concurrent conflicts of interest with current clients, Rule 1.9 addresses conflicts with former clients, and Rule 1.10 addresses imputed disqualification within the firm.","ABA Model Rules of Professional Conduct 1.7, 1.9, 1.10"
conflict,conflict_screening,check,clearance_status,clearance_status,Conflict Clearance Status,STRING,,,,cleared|rejected|pending_review|conditional_clearance|escalated|withdrawn,transactional_data,"Current lifecycle status of the conflict check indicating whether the matter or engagement has been cleared to proceed, rejected due to conflicts, or is pending further review.",Intapp Conflicts System; ABA Model Rules of Professional Conduct
conflict,conflict_screening,check,cleared_timestamp,cleared_timestamp,Conflict Check Cleared Timestamp,TIMESTAMP,,,,,transactional_data,"Date and time when the conflict check received final clearance approval, allowing the matter or engagement to proceed.",Intapp Conflicts System
conflict,conflict_screening,check,client_waiver_obtained,client_waiver_obtained,Client Waiver Obtained Flag,BOOLEAN,,,,,transactional_data,Indicates whether the required client waiver has been obtained and documented in accordance with professional conduct rules.,ABA Model Rules of Professional Conduct 1.7
conflict,conflict_screening,check,client_waiver_required,client_waiver_required,Client Waiver Required Flag,BOOLEAN,,,,,transactional_data,Indicates whether informed consent and waiver from affected clients is required to proceed with the engagement despite identified conflicts.,ABA Model Rules of Professional Conduct 1.7
conflict,conflict_screening,check,conflict_description,conflict_description,Conflict Description,STRING,,,confidential,,transactional_data,"Detailed narrative description of the identified conflicts, including parties involved, nature of the conflict, and potential risks to Legal Professional Privilege (LPP) and firm ethics obligations.",Intapp Conflicts System
conflict,conflict_screening,check,conflict_severity,conflict_severity,Conflict Severity Level,STRING,,,,none|low|medium|high|critical,transactional_data,"Assessment of the severity or risk level of identified conflicts, used to prioritize review and determine escalation requirements.",Intapp Conflicts System
conflict,conflict_screening,check,created_timestamp,created_timestamp,Record Created Timestamp,TIMESTAMP,,,,,transactional_data,Timestamp when this conflict check record was first created in the system.,Intapp Conflicts System
conflict,conflict_screening,check,disposition,disposition,Final Disposition,STRING,,,,approved|rejected|conditional_approval|waived|ethical_wall_required|withdrawn,transactional_data,"Final outcome of the conflict check process, including any conditions or mitigation measures such as ethical wall implementation or client waiver requirements.",Intapp Conflicts System; ABA Model Rules of Professional Conduct
conflict,conflict_screening,check,ethical_wall_required,ethical_wall_required,Ethical Wall Required Flag,BOOLEAN,,,,,transactional_data,Indicates whether an ethical wall (information barrier) must be established to mitigate conflicts and protect Legal Professional Privilege (LPP) and client confidentiality.,ABA Model Rules of Professional Conduct 1.10; Intapp Conflicts System
conflict,conflict_screening,check,ethics_partner_disposition,ethics_partner_disposition,Ethics Partner Disposition,STRING,,,,approved|rejected|conditional_approval|escalated|pending,transactional_data,Final recommendation or decision rendered by the ethics partner regarding clearance of the conflict check.,Intapp Conflicts System
conflict,conflict_screening,check,ethics_partner_name,ethics_partner_name,Ethics Partner Full Name,STRING,,,"restricted,pii_name",,transactional_data,Full name of the ethics partner responsible for final review and approval authority.,Intapp Conflicts System
conflict,conflict_screening,check,mitigation_measures,mitigation_measures,Conflict Mitigation Measures,STRING,,,confidential,,transactional_data,"Description of measures implemented to mitigate identified conflicts, such as ethical walls, client waivers, or engagement scope limitations.",Intapp Conflicts System; ABA Model Rules of Professional Conduct
conflict,conflict_screening,check,modified_timestamp,modified_timestamp,Record Modified Timestamp,TIMESTAMP,,,,,transactional_data,Timestamp when this conflict check record was last modified or updated.,Intapp Conflicts System
conflict,conflict_screening,check,primary_reviewer_disposition,primary_reviewer_disposition,Primary Reviewer Disposition,STRING,,,,approved|rejected|conditional_approval|escalated|pending,transactional_data,Recommendation or decision rendered by the primary reviewer regarding clearance of the conflict check.,Intapp Conflicts System
conflict,conflict_screening,check,primary_reviewer_name,primary_reviewer_name,Primary Reviewer Full Name,STRING,,,"restricted,pii_name",,transactional_data,Full name of the primary reviewer assigned to conduct the conflict analysis.,Intapp Conflicts System
conflict,conflict_screening,check,priority_level,priority_level,Conflict Check Priority Level,STRING,,,,urgent|high|normal|low,transactional_data,"Priority classification assigned to the conflict check based on business urgency, client expectations, or strategic importance.",Intapp Conflicts System
conflict,conflict_screening,check,rejected_timestamp,rejected_timestamp,Conflict Check Rejected Timestamp,TIMESTAMP,,,,,transactional_data,Date and time when the conflict check was formally rejected due to unresolvable conflicts or failure to obtain required waivers.,Intapp Conflicts System
conflict,conflict_screening,check,requestor_email,requestor_email,Requestor Email Address,STRING,,,"restricted,pii_email","^[a-zA-Z0-9._%+-]+@[a-zA-Z0-9.-]+\.[a-zA-Z]{2,}$",transactional_data,Email address of the conflict check requestor for communication and notification purposes.,Intapp Conflicts System
conflict,conflict_screening,check,requestor_name,requestor_name,Requestor Full Name,STRING,,,"restricted,pii_name",,transactional_data,Full name of the individual who submitted the conflict check request.,Intapp Conflicts System
conflict,conflict_screening,check,reviewed_timestamp,reviewed_timestamp,Conflict Check Reviewed Timestamp,TIMESTAMP,,,,,transactional_data,Date and time when the primary reviewer completed their analysis and rendered a disposition.,Intapp Conflicts System
conflict,conflict_screening,check,reviewer_notes,reviewer_notes,Reviewer Notes,STRING,,,confidential,,transactional_data,Internal notes and analysis documented by the conflicts review team during the screening and clearance process.,Intapp Conflicts System
conflict,conflict_screening,check,sla_met_flag,sla_met_flag,Service Level Agreement (SLA) Met Flag,BOOLEAN,,,,,transactional_data,Indicates whether the conflict check was completed within the target Service Level Agreement (SLA) timeframe.,Intapp Conflicts System; Firm SLA Policy
conflict,conflict_screening,check,sla_target_hours,sla_target_hours,Service Level Agreement (SLA) Target Hours,INT,,,,,transactional_data,"Target number of hours within which the conflict check should be completed, based on firm Service Level Agreement (SLA) policies and priority level.",Intapp Conflicts System; Firm SLA Policy
conflict,conflict_screening,check,submitted_timestamp,submitted_timestamp,Conflict Check Submitted Timestamp,TIMESTAMP,,,,,transactional_data,Date and time when the conflict check request was submitted into the Intapp Conflicts system.,Intapp Conflicts System
conflict,conflict_screening,check,supervising_partner_disposition,supervising_partner_disposition,Supervising Partner Disposition,STRING,,,,approved|rejected|conditional_approval|escalated|pending,transactional_data,Recommendation or decision rendered by the supervising partner regarding acceptance of the engagement subject to conflict clearance.,Intapp Conflicts System
conflict,conflict_screening,check,supervising_partner_name,supervising_partner_name,Supervising Partner Full Name,STRING,,,"restricted,pii_name",,transactional_data,Full name of the supervising partner who will manage the engagement if approved.,Intapp Conflicts System
conflict,conflict_screening,check,triggering_event,triggering_event,Triggering Event Description,STRING,,,,,transactional_data,"Detailed description of the business event that initiated the conflict check, such as new matter intake, lateral hire onboarding, merger or acquisition activity, or client relationship change.",Intapp Conflicts System
conflict,conflict_screening,check,waiver_obtained_date,waiver_obtained_date,Waiver Obtained Date,DATE,,,,,transactional_data,Date on which the client waiver was formally obtained and documented.,Intapp Conflicts System
conflict,conflict_screening,clearance,clearance_id,clearance_id,Clearance ID,BIGINT,Y,,,,transactional_data,"Unique identifier for the conflict clearance decision record. Primary key. Inferred role: TRANSACTION_HEADER (clearance is a discrete business event with a clear lifecycle: requested, reviewed, cleared/declined/deferred).",ABA Model Rules of Professional Conduct
conflict,conflict_screening,clearance,aml_kyc_program_id,aml_kyc_program_id,Aml Kyc Program Id (Foreign Key),BIGINT,,compliance.aml_kyc_program.aml_kyc_program_id,,,transactional_data,Foreign key linking to compliance.aml_kyc_program. Business justification: Clearances for high-risk clients require enhanced due diligence per AML program. Clearance conditions include AML program compliance verification. Links clearance to AML program.,Internal - LLM Generated Cross-Domain Link
conflict,conflict_screening,clearance,assessment_id,assessment_id,Assessment Id (Foreign Key),BIGINT,,risk.assessment.assessment_id,,,transactional_data,"Foreign key linking to risk.assessment. Business justification: A clearance decision (cleared, conditional, denied) is a direct input to the matter risk assessment. Legal risk managers conduct a risk assessment to evaluate residual risk after clearance conditions ",Internal - LLM Generated Cross-Domain Link
conflict,conflict_screening,clearance,check_id,check_id,,BIGINT,,conflict.check.check_id,,,transactional_data,FK to conflict.conflict_check.conflict_check_id — Each clearance decision concludes exactly one conflict check. This is the terminal state record for the check lifecycle.,
