domain,subdomain,product,attribute,column_name,business_glossary_term,type,is_primary_key,foreign_key_to,tags,value_regex,data_type,description,reference
distribution,facility_management,distribution_cycle_count,distribution_cycle_count_id,distribution_cycle_count_id,Distribution Cycle Count ID,BIGINT,Y,,,,transactional_data,Unique identifier for the cycle count event record. Primary key for the distribution cycle count entity.,Internal Data Management Standard
distribution,facility_management,distribution_cycle_count,compliance_obligation_id,compliance_obligation_id,Compliance Obligation Id (Foreign Key),BIGINT,,regulatory.compliance_obligation.compliance_obligation_id,,,transactional_data,"Foreign key linking to regulatory.compliance_obligation. Business justification: Cycle counts for regulated products (controlled substances, hazmat) are mandated by compliance obligations specifying count frequency and method. Linking cycle count records to the governing complianc",Internal - LLM Generated Cross-Domain Link
distribution,facility_management,distribution_cycle_count,cost_center_id,cost_center_id,Cost Center Id (Foreign Key),BIGINT,,finance.cost_center.cost_center_id,,,transactional_data,"Foreign key linking to finance.cost_center. Business justification: Cycle count variances generate inventory adjustment costs charged to cost centers. Consumer goods DC finance teams track count-driven write-offs and adjustments by cost center for shrinkage reporting,",Internal - LLM Generated Cross-Domain Link
distribution,facility_management,distribution_cycle_count,distribution_facility_id,distribution_facility_id,Distribution Facility Id (Foreign Key),BIGINT,,distribution.distribution_facility.distribution_facility_id,,,transactional_data,"Foreign key linking to distribution.distribution_facility. Business justification: Cycle count events are scoped to a specific distribution center. Although distribution_cycle_count links to distribution_storage_location (which in turn links to distribution_facility), a direct FK to",Internal - LLM Generated Cross-Domain Link
distribution,facility_management,distribution_cycle_count,gl_account_id,gl_account_id,Gl Account Id (Foreign Key),BIGINT,,finance.gl_account.gl_account_id,,,transactional_data,Foreign key linking to finance.gl_account. Business justification: Inventory adjustments from cycle counts post to specific GL accounts (inventory adjustment/shrinkage accounts). Consumer goods finance requires this link to ensure count variances are posted to the co,Internal - LLM Generated Cross-Domain Link
distribution,facility_management,distribution_cycle_count,inventory_cycle_count_id,inventory_cycle_count_id,Inventory Cycle Count Id (Foreign Key),BIGINT,,inventory.inventory_cycle_count.inventory_cycle_count_id,,,transactional_data,Foreign key linking to inventory.inventory_cycle_count. Business justification: WMS-ERP cycle count reconciliation: distribution WMS cycle counts must be reconciled against ERP inventory_cycle_count records. Consumer goods operations require this cross-system link for variance re,Internal - LLM Generated Cross-Domain Link
distribution,facility_management,distribution_cycle_count,inventory_storage_location_id,inventory_storage_location_id,Storage Location ID,BIGINT,,inventory.inventory_storage_location.inventory_storage_location_id,,,transactional_data,"Identifier of the specific storage location (bin, rack, aisle) within the DC where the count was performed.",Blue Yonder WMS Location Master
distribution,facility_management,distribution_cycle_count,journal_entry_id,journal_entry_id,Journal Entry Id (Foreign Key),BIGINT,,finance.journal_entry.journal_entry_id,,,transactional_data,Foreign key linking to finance.journal_entry. Business justification: Approved cycle count variances generate journal entries for inventory write-up or write-down. Consumer goods auditors require traceability from physical count results to the corresponding financial po,Internal - LLM Generated Cross-Domain Link
distribution,facility_management,distribution_cycle_count,lot_batch_id,lot_batch_id,Lot/Batch ID,BIGINT,,inventory.lot_batch.lot_batch_id,,,transactional_data,"Identifier of the specific lot or batch being counted, critical for FEFO/FIFO inventory rotation and traceability.",GS1 Batch/Lot Number Standard
distribution,facility_management,distribution_cycle_count,product_recall_id,product_recall_id,Product Recall Id (Foreign Key),BIGINT,,regulatory.product_recall.product_recall_id,,,transactional_data,Foreign key linking to regulatory.product_recall. Business justification: Cycle counts are triggered by product recalls to verify recalled inventory quantities on hand. Linking cycle count to product_recall supports recall effectiveness verification and quantity reconciliat,Internal - LLM Generated Cross-Domain Link
