domain,subdomain,product,attribute,column_name,business_glossary_term,type,is_primary_key,foreign_key_to,tags,value_regex,data_type,description,reference
asset,asset_registry,asset_container,asset_container_id,asset_container_id,Container Identification (CID),BIGINT,Y,,,,master_data,Unique identifier for the waste container. Primary key. This is the system-generated surrogate key that uniquely identifies each container record in the enterprise data warehouse.,ISO 11179 Metadata Registry Standard
asset,asset_registry,asset_container,approved_waste_profile_id,approved_waste_profile_id,Approved Waste Profile Id (Foreign Key),BIGINT,,hazmat.waste_profile.waste_profile_id,,,master_data,"Foreign key linking to hazmat.waste_profile. Business justification: Containers must be approved for specific waste profiles based on material compatibility, DOT ratings, and waste characteristics. Links containers to approved waste profiles for safe deployment, regula",Internal - LLM Generated Cross-Domain Link
asset,asset_registry,asset_container,class_id,class_id,Asset Class Id (Foreign Key),BIGINT,,asset.class.class_id,,,master_data,"Foreign key linking to asset.asset_class. Business justification: Container types (front-load, rear-load, roll-off) should be classified within the asset class hierarchy for consistent depreciation rules, capitalization thresholds, and GL account mapping. Currently ",Internal - LLM Generated Cross-Domain Link
asset,asset_registry,asset_container,customer_account_id,customer_account_id,Customer Account Identifier,BIGINT,,customer.customer_account.customer_account_id,,,master_data,Foreign key reference to the customer account that is currently being serviced by this container. Links to customer.customer_account. Null if container is not currently assigned to a customer.,Salesforce CRM Account Registry
asset,asset_registry,asset_container,fixed_asset_id,fixed_asset_id,Fixed Asset Id (Foreign Key),BIGINT,,asset.fixed_asset.fixed_asset_id,,,master_data,"Foreign key linking to asset.fixed_asset. Business justification: Container is a specialized type of fixed asset. Containers have acquisition_date, acquisition_cost, depreciation_method, useful_life_years, accumulated_depreciation, net_book_value, sap_asset_number, ",Internal - LLM Generated Cross-Domain Link
asset,asset_registry,asset_container,route_id,route_id,Collection Route Identifier,BIGINT,,collection.route.route_id,,,master_data,Foreign key reference to the collection route that services this container. Links to collection.route. Used for route optimization and service scheduling.,AMCS Platform Route Management
asset,asset_registry,asset_container,service_address_id,service_address_id,Service Address Identifier,BIGINT,,customer.service_address.service_address_id,"restricted,pii_address",,master_data,"Foreign key reference to the service address where this container is currently deployed. Links to customer.service_address. Null if container is not currently deployed (e.g., in inventory or maintenance).",Waste Logics Service Address Registry
asset,asset_registry,asset_container,service_vehicle_id,service_vehicle_id,Service Vehicle Id (Foreign Key),BIGINT,,fleet.vehicle.vehicle_id,,,master_data,"Foreign key linking to fleet.vehicle. Business justification: Containers are serviced by specific vehicles on routes. While route_id exists, direct vehicle linkage enables container-to-vehicle assignment validation, RFID read reconciliation for billing disputes,",Internal - LLM Generated Cross-Domain Link
asset,asset_registry,asset_container,accumulated_depreciation,accumulated_depreciation,Accumulated Depreciation in United States Dollars (USD),"DECIMAL(10,2)",,,confidential,,master_data,The total depreciation expense recognized to date for this container asset in USD. Used to calculate net book value. Confidential financial data.,GAAP ASC 360 Property Plant and Equipment
asset,asset_registry,asset_container,acquisition_cost,acquisition_cost,Container Acquisition Cost in United States Dollars (USD),"DECIMAL(10,2)",,,confidential,,master_data,"The original purchase price or capitalized cost of the container in USD. Used for depreciation calculations, asset valuation, and financial reporting. Confidential business financial data.",GAAP ASC 360 Property Plant and Equipment
asset,asset_registry,asset_container,acquisition_date,acquisition_date,Container Acquisition Date,DATE,,,,,master_data,"The date the container was acquired by Waste Management, either through purchase or lease inception. Used for depreciation calculations and asset lifecycle tracking.",GAAP ASC 360 Property Plant and Equipment
asset,asset_registry,asset_container,amcs_container_reference,amcs_container_reference,AMCS Platform Container Reference,STRING,,,,,master_data,The external identifier for this container in the AMCS Platform system. Used for integration and cross-system reconciliation between the enterprise data warehouse and the operational AMCS system.,AMCS Platform API Integration Specification
asset,asset_registry,asset_container,capacity_cubic_yards,capacity_cubic_yards,Container Capacity in Cubic Yards,"DECIMAL(6,2)",,,,,master_data,"The volumetric capacity of the container measured in cubic yards. Standard sizes include 2, 4, 6, 8 cubic yards for front/rear-load dumpsters; 10, 20, 30, 40 cubic yards for roll-off boxes; and 32, 64, 96 gallons (converted to cubic yards) for residential carts. This is the principal quantitative measurement for the container resource.",ASTM D5033 Standard for Container Volume Measurement
asset,asset_registry,asset_container,cid,cid,Container Identification (CID) Number,STRING,,,,"^[A-Z0-9]{8,12}$",master_data,"The externally-known unique business identifier for the container, typically an alphanumeric code printed on the container and used by field operations, customer service, and AMCS Platform for tracking. This is the operational identifier used in day-to-day business processes.",AMCS Platform Container Tracking Standard
asset,asset_registry,asset_container,color,color,Container Color,STRING,,,,,master_data,"The exterior color of the container, often used to designate waste stream type (e.g., blue for recycling, green for organics, black for MSW). Color coding helps drivers and customers identify the correct container for each waste stream. [ENUM-REF-CANDIDATE: green|blue|black|gray|brown|yellow|red — 7 candidates stripped; promote to reference product]",Municipal Solid Waste Color Coding Best Practices
asset,asset_registry,asset_container,compaction_ratio,compaction_ratio,Compaction Ratio,"DECIMAL(4,2)",,,,,master_data,"The volume reduction ratio achieved by compactor units. For example, a ratio of 4.0 means the compactor reduces waste volume by 4:1. Only applicable to compactor_unit container types. Used to calculate effective capacity and optimize service frequency.",SWANA Compaction Equipment Performance Standards
asset,asset_registry,asset_container,condition_grade,condition_grade,Container Condition Grade,STRING,,,,excellent|good|fair|poor|critical,master_data,Assessment of the physical condition of the container based on inspection findings. Excellent means like-new; good means minor wear; fair means functional with visible wear; poor means needs repair soon; critical means unsafe or non-functional.,Infor EAM Asset Condition Assessment Standard
asset,asset_registry,asset_container,container_type,container_type,Container Type,STRING,,,,front_load_dumpster|rear_load_dumpster|roll_off_box|residential_cart|compactor_unit|recycling_cart,master_data,"Classification of the container by its operational design and collection method. Front-load dumpsters are serviced by Front End Loader (FEL) trucks, rear-load by Rear End Loader (REL) trucks, roll-offs by specialized roll-off trucks, residential carts by Automated Side Loader (ASL) trucks, and compactor units are stationary compression equipment.",SWANA Container Classification Standard
asset,asset_registry,asset_container,created_timestamp,created_timestamp,Record Created Timestamp,TIMESTAMP,,,,,master_data,The timestamp when this container record was first created in the system. Used for audit trail and data lineage tracking. Immutable after initial creation.,ISO 8601 Timestamp Standard
asset,asset_registry,asset_container,deployment_date,deployment_date,Container Deployment Date,DATE,,,,,master_data,The date this container was most recently deployed to a customer service address. Used to track deployment history and calculate time-in-service metrics.,AMCS Platform Container Deployment Tracking
asset,asset_registry,asset_container,gps_device_code,gps_device_code,Global Positioning System (GPS) Device Identifier,STRING,,,"internal,pii",,master_data,Identifier for the GPS tracking device installed on high-value containers (typically roll-offs and compactors) for real-time location monitoring via Geotab Fleet Telematics or similar systems.,Geotab Fleet Telematics Device Registry
asset,asset_registry,asset_container,infor_eam_asset_reference,infor_eam_asset_reference,Infor Enterprise Asset Management (EAM) Asset Identifier,STRING,,,,,master_data,"The asset identifier for this container in the Infor EAM system. Used for maintenance work order management, preventive maintenance scheduling, and parts inventory tracking.",Infor EAM Asset Registry
asset,asset_registry,asset_container,is_gps_enabled,is_gps_enabled,GPS Enabled Flag,BOOLEAN,,,,,master_data,Boolean flag indicating whether this container is equipped with an active GPS tracking device. True means GPS device is installed and transmitting; false means no GPS tracking.,Geotab Fleet Telematics Device Registry
asset,asset_registry,asset_container,is_rfid_enabled,is_rfid_enabled,RFID Enabled Flag,BOOLEAN,,,,,master_data,Boolean flag indicating whether this container is equipped with an active RFID tag for automated scanning. True means RFID tag is attached and functional; false means no RFID capability.,AMCS Platform RFID Tracking Configuration
asset,asset_registry,asset_container,last_inspection_date,last_inspection_date,Last Inspection Date,DATE,,,,,master_data,"The date of the most recent physical inspection of the container. Regular inspections are required for safety, compliance, and preventive maintenance. Inspection frequency varies by container type and regulatory requirements.",OSHA 29 CFR 1910 Safety Inspection Requirements
