domain,subdomain,product,attribute,column_name,business_glossary_term,type,is_primary_key,foreign_key_to,tags,value_regex,data_type,description,reference
development,capital_execution,construction_budget,construction_budget_id,construction_budget_id,Construction Budget ID,BIGINT,Y,,,,master_data,Unique surrogate identifier for the construction budget record in the lakehouse Silver layer. Primary key for this entity.,Procore Budget Module; SAP S/4HANA Project Systems
development,capital_execution,construction_budget,area_uom_id,area_uom_id,Area Uom Id (Foreign Key),BIGINT,,reference.uom.uom_id,,,master_data,Foreign key linking to reference.uom. Business justification: Construction budgets express cost benchmarks on a per-area basis (cost per sqft or sqm). International projects require explicit area UOM to correctly compute and compare cost-per-area metrics in budg,Internal - LLM Generated Cross-Domain Link
development,capital_execution,construction_budget,asset_id,asset_id,Property ID,BIGINT,,property.asset.asset_id,,,master_data,"Reference to the property asset associated with this construction budget, enabling linkage to the property master for portfolio-level CAPEX reporting.",Yardi Voyager Fixed Assets; Procore Project Management
development,capital_execution,construction_budget,budget_id,budget_id,Procore Budget ID,BIGINT,,finance.budget.budget_id,,,master_data,Source system identifier for this budget record in Procore Construction Management platform. Enables bidirectional reconciliation between the lakehouse Silver layer and the Procore operational system of record.,Procore Budget Module API; Data Integration Standards
development,capital_execution,construction_budget,building_id,building_id,Building Id (Foreign Key),BIGINT,,property.building.building_id,,,master_data,"Foreign key linking to property.building. Business justification: Multi-building development projects require construction budgets allocated per building for cost reporting, lender draw reconciliation, and capitalization. Development accountants and project managers",Internal - LLM Generated Cross-Domain Link
development,capital_execution,construction_budget,chart_of_accounts_id,chart_of_accounts_id,Chart Of Accounts Id (Foreign Key),BIGINT,,finance.chart_of_accounts.chart_of_accounts_id,,,master_data,Foreign key linking to finance.chart_of_accounts. Business justification: Construction budget line items map to GL accounts for CAPEX posting. Finance teams require COA mapping for budget-to-GL reconciliation and CAPEX/OPEX classification. gl_account_code is a denormalized ,Internal - LLM Generated Cross-Domain Link
development,capital_execution,construction_budget,compliance_assessment_id,compliance_assessment_id,Compliance Assessment Id (Foreign Key),BIGINT,,compliance.assessment.assessment_id,,,master_data,"Foreign key linking to compliance.assessment. Business justification: Remediation cost estimates from compliance assessments (Phase I/II ESA, structural audits) feed directly into construction budget line items. Lenders and project accountants require the budget to refe",Internal - LLM Generated Cross-Domain Link
development,capital_execution,construction_budget,cost_center_id,cost_center_id,Cost Center Id (Foreign Key),BIGINT,,finance.cost_center.cost_center_id,,,master_data,Foreign key linking to finance.cost_center. Business justification: Construction budgets are allocated to cost centers for GL posting and CAPEX financial reporting. Real estate development accounting requires cost center assignment on every budget for NOI/CAPEX tracki,Internal - LLM Generated Cross-Domain Link
development,capital_execution,construction_budget,currency_code_id,currency_code_id,Currency Code Id (Foreign Key),BIGINT,,reference.currency_code.currency_code_id,,,master_data,"Foreign key linking to reference.currency_code. Business justification: Construction budgets are denominated in a specific currency. Multi-currency portfolio budget consolidation, lender reporting, and FX variance analysis require a normalized currency reference. currency",Internal - LLM Generated Cross-Domain Link
development,capital_execution,construction_budget,debt_facility_id,debt_facility_id,Debt Facility Id (Foreign Key),BIGINT,,investment.debt_facility.debt_facility_id,,,master_data,"Foreign key linking to investment.debt_facility. Business justification: The construction budget is funded against a specific debt facility (construction loan). Lender-required budget-to-loan reconciliation, LTV compliance monitoring, and draw request approvals all require",Internal - LLM Generated Cross-Domain Link
development,capital_execution,construction_budget,debt_instrument_id,debt_instrument_id,Debt Instrument Id (Foreign Key),BIGINT,,finance.debt_instrument.debt_instrument_id,,,master_data,"Foreign key linking to finance.debt_instrument. Business justification: Construction budgets are funded by specific construction loan debt instruments. Budget-to-loan linkage is required for lender draw reporting, loan covenant compliance tracking, and reconciling budgete",Internal - LLM Generated Cross-Domain Link
development,capital_execution,construction_budget,dev_project_id,dev_project_id,Development Project ID,BIGINT,,development.dev_project.dev_project_id,,,master_data,Reference to the parent development or capital improvement project to which this construction budget belongs. Links to the development project master record.,Procore Project Management; SAP S/4HANA Project Systems (PS)
development,capital_execution,construction_budget,fund_id,fund_id,Fund Id (Foreign Key),BIGINT,,investment.fund.fund_id,,,master_data,"Foreign key linking to investment.fund. Business justification: Construction budgets are funded by capital calls from a specific investment fund. Fund-level budget-to-actual reporting, capital call scheduling, and investor reporting on committed costs all require ",Internal - LLM Generated Cross-Domain Link
