domain,subdomain,product,attribute,column_name,business_glossary_term,type,is_primary_key,foreign_key_to,tags,value_regex,data_type,description,reference
candidate,candidate_identity,availability,availability_id,availability_id,Availability ID,BIGINT,Y,,,,master_data,Unique surrogate identifier for the candidate availability and preference record. Primary key for this data product.,
candidate,candidate_identity,availability,job_category_id,job_category_id,Job Category Id (Foreign Key),BIGINT,,joborder.job_category.job_category_id,,,master_data,Foreign key linking to joborder.job_category. Business justification: Available-candidate-by-job-category matching is a core daily staffing operation. Recruiters run 'show me available candidates for job category X' reports. Linking availability to job_category enables ,Internal - LLM Generated Cross-Domain Link
candidate,candidate_identity,availability,profile_id,profile_id,Candidate ID,BIGINT,,candidate.profile.profile_id,,,master_data,Reference to the candidate whose availability and placement preferences this record describes. Links to the candidate master profile in the Candidate domain.,
candidate,candidate_identity,availability,availability_status,availability_status,Availability Status,STRING,,,,available|on_assignment|bench|unavailable|do_not_contact,master_data,Current placement availability state of the candidate. available indicates actively seeking work; on_assignment indicates currently placed; bench indicates between assignments but still engaged; unavailable indicates not seeking work; do_not_contact indicates candidate has opted out of outreach. Critical for bench tracking and redeployment workflows in Bullhorn ATS.,
candidate,candidate_identity,availability,available_end_date,available_end_date,Available End Date,DATE,,,,,master_data,"The date through which the candidate has indicated availability, if bounded. Null indicates open-ended availability. Useful for temporary or project-based candidates with known commitment windows.",
candidate,candidate_identity,availability,available_start_date,available_start_date,Available Start Date,DATE,,,,,master_data,The earliest date on which the candidate is available to begin a new assignment or placement. Used by recruiters for job order matching and dispatch scheduling. Sourced from Bullhorn ATS candidate record.,
candidate,candidate_identity,availability,confirmed_date,confirmed_date,Availability Confirmed Date,DATE,,,,,master_data,Date on which the candidates current availability status was last confirmed by a recruiter or by the candidate directly. Distinct from preference_last_updated_date; specifically tracks confirmation of the availability_status field.,
candidate,candidate_identity,availability,desired_bill_rate_aware,desired_bill_rate_aware,Desired Bill Rate Awareness Flag,BOOLEAN,,,,,master_data,Indicates whether the candidate has been informed of or is aware of the client bill rate associated with their placement. True = candidate is aware of bill rate; False = candidate has not been informed. Relevant for co-employment risk management and transparency compliance.,
candidate,candidate_identity,availability,desired_pay_rate_max,desired_pay_rate_max,Desired Maximum Pay Rate,"DECIMAL(10,2)",,,confidential,,master_data,"Maximum hourly or annual pay rate the candidate is targeting, expressed in USD. Represents the upper bound of the candidates compensation expectation. Used alongside desired_pay_rate_min for range-based matching.",
candidate,candidate_identity,availability,desired_pay_rate_min,desired_pay_rate_min,Desired Minimum Pay Rate,"DECIMAL(10,2)",,,confidential,,master_data,"Minimum hourly or annual pay rate the candidate is willing to accept, expressed in USD. Used by recruiters to qualify candidates against job order pay rate budgets and to calculate spread and gross margin. Confidential compensation data.",
candidate,candidate_identity,availability,do_not_place_flag,do_not_place_flag,Do Not Place Flag,BOOLEAN,,,,,master_data,"Indicates whether the candidate has been flagged as ineligible for placement (e.g., due to performance issues, compliance violations, or client restrictions). True = do not place; False = eligible for placement. Critical compliance and risk management control.",
candidate,candidate_identity,availability,do_not_place_reason,do_not_place_reason,Do Not Place Reason,STRING,,,,,master_data,"Reason code or description explaining why the candidate has been flagged as do-not-place. Populated only when do_not_place_flag is True. Examples: client_restriction, compliance_violation, performance_issue, voluntary_withdrawal.",
candidate,candidate_identity,availability,geo_city,geo_city,Geographic Availability City,STRING,,,,,master_data,City within which the candidate is willing to accept placements. Used for geographic matching in job order dispatch and sourcing outreach workflows.,
candidate,candidate_identity,availability,geo_radius_miles,geo_radius_miles,Geographic Search Radius (Miles),INT,,,,,master_data,Maximum commute radius in miles from the candidates home location that they are willing to travel for an assignment. Used in proximity-based job order matching and sourcing outreach.,
candidate,candidate_identity,availability,geo_state,geo_state,Geographic Availability State,STRING,,,,,master_data,"U.S. state (two-letter USPS abbreviation) within which the candidate is willing to accept placements. Supports state-level labor law compliance checks (e.g., SUTA, state wage-hour laws).",
candidate,candidate_identity,availability,last_contact_date,last_contact_date,Last Recruiter Contact Date,DATE,,,,,master_data,Date on which a recruiter last made contact with the candidate to confirm or update their availability status. Used to identify stale availability records and trigger re-engagement outreach. Supports candidate engagement analytics.,
candidate,candidate_identity,availability,notes,notes,Availability Notes,STRING,,,,,master_data,"Free-text recruiter notes regarding the candidates availability, special circumstances, or placement preferences not captured in structured fields (e.g., Candidate available after current project ends mid-month; prefers no weekends).",
candidate,candidate_identity,availability,notice_period_days,notice_period_days,Notice Period (Days),INT,,,,,master_data,Number of days of notice the candidate requires before starting a new assignment or must give to their current employer. Used to calculate realistic Time to Start (TTS) for job order fulfillment planning.,
candidate,candidate_identity,availability,open_to_per_diem,open_to_per_diem,Open to Per Diem Flag,BOOLEAN,,,,,master_data,"Indicates whether the candidate is willing to accept per diem compensation arrangements (daily allowances for travel, lodging, meals). True = willing to accept per diem; False = not interested. Relevant for travel nursing, field services, and project-based placements.",
candidate,candidate_identity,availability,open_to_temp_to_perm,open_to_temp_to_perm,Open to Temp-to-Perm Flag,BOOLEAN,,,,,master_data,Indicates whether the candidate is open to a Temp-to-Perm (contract-to-hire) arrangement where a temporary assignment may convert to a permanent position. True = open to conversion; False = not interested in conversion. Drives conversion fee eligibility tracking.,
candidate,candidate_identity,availability,pay_rate_type,pay_rate_type,Pay Rate Type,STRING,,,,hourly|annual|daily,master_data,"Indicates whether the candidates desired pay rate is expressed as an hourly rate, annual salary, or daily per diem rate. Required to normalize compensation comparisons across job orders with different pay structures.",
candidate,candidate_identity,availability,preference_last_updated_date,preference_last_updated_date,Preference Last Updated Date,DATE,,,,,master_data,"Date on which the candidate last updated their placement preferences (job titles, industries, pay rate, work arrangement, etc.). Used to assess preference data freshness and trigger re-engagement when preferences are stale.",
