domain,subdomain,product,attribute,column_name,business_glossary_term,type,is_primary_key,foreign_key_to,tags,value_regex,data_type,description,reference
design,change_control,change_impact,change_impact_id,change_impact_id,Change Impact - Change Impact Id,BIGINT,Y,,,,association_data,Primary key for the change_impact association,Internal - M:N Association PK
design,change_control,change_impact,asset_id,asset_id,Change Impact - Asset Id,BIGINT,,equipment.asset.asset_id,,,association_data,FK to the equipment asset impacted by the change,Internal - M:N Association FK
design,change_control,change_impact,change_notice_id,change_notice_id,Change Impact - Change Notice Id,BIGINT,,design.change_notice.change_notice_id,,,association_data,FK to the change notice that creates the impact,Internal - M:N Association FK
design,change_control,change_impact,cost_impact_amount,cost_impact_amount,Asset Cost Impact,DECIMAL,,,,,association_data,Monetary cost impact of the change on the specific asset,
design,change_control,change_impact,impact_description,impact_description,Impact Description,STRING,,,,,association_data,Narrative describing how the change affects the specific asset,
design,change_control,change_notice,change_notice_id,change_notice_id,Change Notice ID,BIGINT,Y,,,,transactional_data,Unique identifier for the engineering change notice (ECN) or design change notice. Primary key for the change_notice product.,ISO 9001 Quality Management Systems
design,change_control,change_notice,agreement_id,agreement_id,Agreement Id (Foreign Key),BIGINT,,contract.agreement.agreement_id,,,transactional_data,Foreign key linking to contract.agreement. Business justification: Ensures each change notice is tied to the governing agreement for impact analysis and contractual approval workflow.,Internal - LLM Generated Cross-Domain Link
design,change_control,change_notice,carbon_target_id,carbon_target_id,Carbon Target Id (Foreign Key),BIGINT,,sustainability.carbon_target.carbon_target_id,,,transactional_data,Foreign key linking to sustainability.carbon_target. Business justification: Change notices may modify project carbon reduction targets; linking ensures target updates are tracked in the change management process.,Internal - LLM Generated Cross-Domain Link
design,change_control,change_notice,compliance_permit_id,compliance_permit_id,Permit Id (Foreign Key),BIGINT,,compliance.compliance_permit.compliance_permit_id,,,transactional_data,Foreign key linking to compliance.permit. Business justification: Change notices may require amendment of a permit; linking ensures the impacted permit is identified for regulatory follow‑up.,Internal - LLM Generated Cross-Domain Link
design,change_control,change_notice,construction_project_id,construction_project_id,Project ID,BIGINT,,project.construction_project.construction_project_id,,,transactional_data,Reference to the construction project to which this change notice applies.,PMI PMBOK
