domain,subdomain,product,attribute,column_name,business_glossary_term,type,is_primary_key,foreign_key_to,tags,value_regex,data_type,description,reference
distribution,facility_operations,center,center_id,center_id,Distribution Center (DC) ID,BIGINT,Y,,,,master_data,Unique identifier for the distribution center. Primary key for the distribution center master record.,Internal Data Standard
distribution,facility_operations,center,company_code_id,company_code_id,Company Code Id (Foreign Key),BIGINT,,finance.company_code.company_code_id,,,master_data,"Foreign key linking to finance.company_code. Business justification: In multi-entity F&B companies, each DC belongs to a legal entity (company code) driving intercompany billing, tax jurisdiction assignment, and statutory financial reporting. Domain experts expect comp",Internal - LLM Generated Cross-Domain Link
distribution,facility_operations,center,cost_center_id,cost_center_id,Cost Center Id (Foreign Key),BIGINT,,finance.cost_center.cost_center_id,,,master_data,"Foreign key linking to finance.cost_center. Business justification: Each DC is a cost center in F&B — warehouse labor, utilities, and lease costs are allocated by cost center. Finance runs cost-per-case and overhead absorption reports by DC. A domain expert would expe",Internal - LLM Generated Cross-Domain Link
distribution,facility_operations,center,establishment_registration_id,establishment_registration_id,Establishment Registration Id (Foreign Key),BIGINT,,regulatory.establishment_registration.establishment_registration_id,,,master_data,"Foreign key linking to regulatory.establishment_registration. Business justification: Distribution centers storing food products must be registered as food facilities under FDA 21 CFR Part 1, Subpart H. Linking center to its establishment_registration enables renewal tracking, inspecti",Internal - LLM Generated Cross-Domain Link
distribution,facility_operations,center,market_id,market_id,Market Id (Foreign Key),BIGINT,,marketing.market.market_id,,,master_data,"Foreign key linking to marketing.market. Business justification: Distribution centers are assigned to serve specific geographic markets. Brand and marketing teams use DC-to-market mapping for launch readiness, distribution coverage analysis, and ACV reporting — a s",Internal - LLM Generated Cross-Domain Link
distribution,facility_operations,center,territory_id,territory_id,Territory Id (Foreign Key),BIGINT,,sales.territory.territory_id,,,master_data,"Foreign key linking to sales.territory. Business justification: DC-to-territory alignment drives sales quota assignment, route planning, and coverage reporting in F&B. The center has primary_service_region as a denormalized text field; a proper FK to sales.territo",Internal - LLM Generated Cross-Domain Link
distribution,facility_operations,center,address_line_1,address_line_1,Address Line 1,STRING,,,"confidential,pii_address",,master_data,Primary street address line for the distribution center physical location including street number and name.,ISO 19160-1 Addressing Standard
distribution,facility_operations,center,address_line_2,address_line_2,Address Line 2,STRING,,,"confidential,pii_address",,master_data,"Secondary address line for additional location details such as building, suite, or unit number. Nullable.",ISO 19160-1 Addressing Standard
distribution,facility_operations,center,ambient_zone_flag,ambient_zone_flag,Ambient Zone Flag,BOOLEAN,,,,,master_data,Indicates whether the distribution center has ambient temperature storage zones for dry goods and shelf-stable products.,Internal Facility Specification
distribution,facility_operations,center,center_name,center_name,Distribution Center Name,STRING,,,,,master_data,Official business name of the distribution center facility.,Internal Data Standard
distribution,facility_operations,center,city,city,City,STRING,,,"confidential,pii_address",,master_data,City or municipality where the distribution center is located.,ISO 19160-1 Addressing Standard
distribution,facility_operations,center,contact_email_address,contact_email_address,Contact Email Address,STRING,,,"confidential,pii_email","^[a-zA-Z0-9._%+-]+@[a-zA-Z0-9.-]+\.[a-zA-Z]{2,}$",master_data,Primary contact email address for the distribution center facility for operational communications and coordination.,Internal Contact Standard
distribution,facility_operations,center,contact_phone_number,contact_phone_number,Contact Phone Number,STRING,,,"confidential,pii_phone",,master_data,Primary contact phone number for the distribution center facility for operational coordination and emergency contact.,Internal Contact Standard
distribution,facility_operations,center,country_code,country_code,Country Code,STRING,,,,^[A-Z]{3}$,master_data,"Three-letter ISO country code for the distribution center location (e.g., USA, CAN, MEX).",ISO 3166-1 Alpha-3
distribution,facility_operations,center,created_timestamp,created_timestamp,Created Timestamp,TIMESTAMP,,,,,master_data,Timestamp when the distribution center record was first created in the system. Used for data lineage and audit trail.,Internal Data Governance Standard
distribution,facility_operations,center,cross_dock_capable_flag,cross_dock_capable_flag,Cross-Dock Capable Flag,BOOLEAN,,,,,master_data,Indicates whether the distribution center has cross-docking capabilities to transfer products directly from inbound to outbound without storage.,Internal Facility Capability Standard
distribution,facility_operations,center,cubic_capacity,cubic_capacity,Cubic Capacity,"DECIMAL(15,2)",,,,,master_data,Total cubic footage storage capacity of the distribution center for volumetric capacity planning.,Internal Facility Measurement Standard
distribution,facility_operations,center,dc_code,dc_code,Distribution Center (DC) Code,STRING,,,,"^[A-Z0-9]{4,12}$",master_data,Business identifier code for the distribution center used across operational systems and external communications. Typically alphanumeric facility code.,SAP WM Location Master
distribution,facility_operations,center,direct_store_delivery_hub_flag,direct_store_delivery_hub_flag,Direct Store Delivery (DSD) Hub Flag,BOOLEAN,,,,,master_data,Indicates whether the distribution center serves as a hub for Direct Store Delivery operations to retail locations.,Internal Distribution Network Standard
distribution,facility_operations,center,dock_door_count,dock_door_count,Dock Door Count,INT,,,,,master_data,Total number of loading dock doors available for inbound and outbound shipments. Critical for throughput capacity analysis.,Internal Facility Specification
distribution,facility_operations,center,ecommerce_fulfillment_flag,ecommerce_fulfillment_flag,E-commerce Fulfillment Flag,BOOLEAN,,,,,master_data,Indicates whether the distribution center handles direct-to-consumer e-commerce order fulfillment and last-mile delivery.,Internal Distribution Network Standard
distribution,facility_operations,center,erp_plant_code,erp_plant_code,Enterprise Resource Planning (ERP) Plant Code,STRING,,,,,master_data,Plant or location code in the ERP system (SAP S/4HANA) representing this distribution center for financial and supply chain transactions.,SAP S/4HANA Plant Master
distribution,facility_operations,center,facility_type,facility_type,Facility Type,STRING,,,,ambient|refrigerated|frozen|multi_temperature|cross_dock|consolidation,master_data,"Classification of the distribution center based on primary storage and handling capability. Ambient for dry goods, refrigerated for chilled products, frozen for sub-zero storage, multi-temperature for mixed zones, cross-dock for flow-through operations, consolidation for order aggregation.",Internal Facility Classification Standard
distribution,facility_operations,center,frozen_zone_flag,frozen_zone_flag,Frozen Zone Flag,BOOLEAN,,,,,master_data,Indicates whether the distribution center has frozen storage zones for products requiring sub-zero temperature storage.,Internal Facility Specification
distribution,facility_operations,center,haccp_certified_flag,haccp_certified_flag,Hazard Analysis Critical Control Points (HACCP) Certified Flag,BOOLEAN,,,,,master_data,Indicates whether the distribution center has HACCP certification for food safety management. Required for facilities handling high-risk food products.,Codex Alimentarius HACCP Principles
distribution,facility_operations,center,inbound_dock_door_count,inbound_dock_door_count,Inbound Dock Door Count,INT,,,,,master_data,Number of dock doors dedicated to receiving inbound shipments from suppliers and manufacturing plants.,Internal Facility Specification
distribution,facility_operations,center,iso_9001_certified_flag,iso_9001_certified_flag,International Organization for Standardization (ISO) 9001 Certified Flag,BOOLEAN,,,,,master_data,Indicates whether the distribution center has ISO 9001 quality management system certification.,ISO 9001 Quality Management Standard
distribution,facility_operations,center,last_modified_timestamp,last_modified_timestamp,Last Modified Timestamp,TIMESTAMP,,,,,master_data,Timestamp when the distribution center record was last updated in the system. Used for change tracking and data quality monitoring.,Internal Data Governance Standard
distribution,facility_operations,center,latitude,latitude,Latitude,"DECIMAL(10,7)",,,"restricted,pii_address",,master_data,Geographic latitude coordinate of the distribution center in decimal degrees for geospatial analysis and route optimization.,WGS 84 Coordinate System
distribution,facility_operations,center,lease_expiry_date,lease_expiry_date,Lease Expiry Date,DATE,,,,,master_data,Expiration date of the facility lease agreement for leased distribution centers. Nullable for owned facilities. Used for real estate planning and renewal management.,Internal Real Estate Management Standard
distribution,facility_operations,center,longitude,longitude,Longitude,"DECIMAL(10,7)",,,"restricted,pii_address",,master_data,Geographic longitude coordinate of the distribution center in decimal degrees for geospatial analysis and route optimization.,WGS 84 Coordinate System
distribution,facility_operations,center,operating_hours_weekday,operating_hours_weekday,Operating Hours Weekday,STRING,,,,,master_data,"Standard operating hours for weekdays (Monday-Friday) in format HH:MM-HH:MM (e.g., 06:00-22:00). Used for scheduling and service level planning.",Internal Operations Standard
distribution,facility_operations,center,operating_hours_weekend,operating_hours_weekend,Operating Hours Weekend,STRING,,,,,master_data,Standard operating hours for weekends (Saturday-Sunday) in format HH:MM-HH:MM. Nullable if facility does not operate on weekends.,Internal Operations Standard
distribution,facility_operations,center,operational_start_date,operational_start_date,Operational Start Date,DATE,,,,,master_data,Date when the distribution center began operational activities and started processing inventory and shipments.,Internal Facility Lifecycle Standard
distribution,facility_operations,center,operational_status,operational_status,Operational Status,STRING,,,,active|inactive|under_construction|decommissioned|seasonal|temporarily_closed,master_data,"Current operational state of the distribution center in its lifecycle. Active indicates full operations, inactive for non-operational but maintained, under construction for facilities being built, decommissioned for permanently closed, seasonal for periodic operations, temporarily closed for short-term shutdowns.",Internal Facility Lifecycle Standard
distribution,facility_operations,center,outbound_dock_door_count,outbound_dock_door_count,Outbound Dock Door Count,INT,,,,,master_data,"Number of dock doors dedicated to shipping outbound orders to customers, retail stores, and distribution points.",Internal Facility Specification
distribution,facility_operations,center,ownership_model,ownership_model,Ownership Model,STRING,,,,company_owned|third_party_logistics|leased|co_managed,master_data,"Ownership and operational control model for the distribution center. Company-owned for internal facilities, third-party logistics (3PL) for outsourced operations, leased for rented facilities with internal operations, co-managed for hybrid arrangements.",Internal Facility Management Standard
distribution,facility_operations,center,pallet_position_capacity,pallet_position_capacity,Pallet Position Capacity,INT,,,,,master_data,Maximum number of pallet positions available for storage in the distribution center. Key metric for inventory capacity planning.,Warehouse Management System (WMS) Standard
distribution,facility_operations,center,postal_code,postal_code,Postal Code,STRING,,,"confidential,pii_address",,master_data,Postal or ZIP code for the distribution center location used for shipping and logistics routing.,Universal Postal Union Standards
distribution,facility_operations,center,refrigerated_zone_flag,refrigerated_zone_flag,Refrigerated Zone Flag,BOOLEAN,,,,,master_data,Indicates whether the distribution center has refrigerated storage zones for chilled products requiring cold chain management.,Internal Facility Specification
distribution,facility_operations,center,state_province,state_province,State or Province,STRING,,,,,master_data,"State, province, or primary administrative division where the distribution center is located.",ISO 3166-2 Subdivision Codes
distribution,facility_operations,center,storage_square_footage,storage_square_footage,Storage Square Footage,"DECIMAL(12,2)",,,,,master_data,"Square footage dedicated to product storage areas excluding staging, dock, and administrative space.",Internal Facility Measurement Standard
distribution,facility_operations,center,temperature_zone_count,temperature_zone_count,Temperature Zone Count,INT,,,,,master_data,Number of distinct temperature-controlled zones within the distribution center for managing products with different storage requirements.,Internal Facility Specification
distribution,facility_operations,center,third_party_logistics_provider,third_party_logistics_provider,Third-Party Logistics (3PL) Provider,STRING,,,,,master_data,Name of the third-party logistics provider managing the facility if ownership model is 3PL or co-managed. Null for company-owned facilities.,Procurement Supplier Master
distribution,facility_operations,center,time_zone,time_zone,Time Zone,STRING,,,,,master_data,"IANA time zone identifier for the distribution center location used for scheduling and operational time calculations (e.g., America/New_York, America/Chicago).",IANA Time Zone Database
distribution,facility_operations,center,total_square_footage,total_square_footage,Total Square Footage,"DECIMAL(12,2)",,,,,master_data,"Total building square footage of the distribution center facility including all storage, staging, and administrative areas.",Internal Facility Measurement Standard
distribution,facility_operations,center,twenty_four_seven_operation_flag,twenty_four_seven_operation_flag,24/7 Operation Flag,BOOLEAN,,,,,master_data,"Indicates whether the distribution center operates 24 hours a day, 7 days a week for continuous fulfillment operations.",Internal Operations Standard
distribution,facility_operations,center,wms_system_identifier,wms_system_identifier,Warehouse Management System (WMS) System Identifier,STRING,,,,,master_data,Identifier for the Warehouse Management System instance managing this distribution center. Used for system integration and data reconciliation.,SAP WM / Blue Yonder WMS Integration Standard
distribution,facility_operations,location,location_id,location_id,Location Identifier,BIGINT,Y,,,,master_data,Primary key for location,
distribution,facility_operations,location,establishment_registration_id,establishment_registration_id,Establishment Registration Id (Foreign Key),BIGINT,,regulatory.establishment_registration.establishment_registration_id,,,master_data,"Foreign key linking to regulatory.establishment_registration. Business justification: Distribution locations (warehouses, cross-docks, staging areas) handling food products require FDA food facility registration under 21 CFR Part 1. Linking location to establishment_registration enable",Internal - LLM Generated Cross-Domain Link
