domain,subdomain,product,attribute,column_name,business_glossary_term,type,is_primary_key,foreign_key_to,tags,value_regex,data_type,description,reference
design,design_library,design_ip_core,design_ip_core_id,design_ip_core_id,Intellectual Property (IP) Core ID,BIGINT,Y,,,,master_data,Unique surrogate identifier for each IP core record in the master catalog. Primary key for the ip_core data product.,IEEE 1685 (IP-XACT Standard for IP Core Metadata)
design,design_library,design_ip_core,eccn_classification_id,eccn_classification_id,Eccn Classification Id (Foreign Key),BIGINT,,compliance.eccn_classification.eccn_classification_id,,,master_data,Foreign key linking to compliance.eccn_classification. Business justification: ECCN classification determines export restrictions for IP cores; needed for generating export licenses and compliance reports.,Internal - LLM Generated Cross-Domain Link
design,design_library,design_ip_core,ip_core_development_id,ip_core_development_id,Ip Core Development Id (Foreign Key),BIGINT,,research.ip_core_development.ip_core_development_id,,,master_data,"Foreign key linking to research.ip_core_development. Business justification: IP Core Lifecycle Management links each IP core to its development record for status, cost, and release planning.",Internal - LLM Generated Cross-Domain Link
design,design_library,design_ip_core,pdk_id,pdk_id,Pdk Id (Foreign Key),BIGINT,,design.pdk.pdk_id,,,master_data,Foreign key linking to design.pdk. Business justification: An IP core is defined for a specific Process Design Kit; linking ip_core to pdk eliminates redundant version fields and enables direct lookup of process details.,Internal - LLM Generated Cross-Domain Link
design,design_library,design_ip_core,product_ip_core_id,product_ip_core_id,Product Ip Core Id (Foreign Key),BIGINT,,product.product_ip_core.product_ip_core_id,,,master_data,"Foreign key linking to product.product_ip_core. Business justification: Needed for IP commercialization tracking: links each designed IP core to its product record for royalty, licensing, and revenue reporting.",Internal - LLM Generated Cross-Domain Link
design,design_library,design_ip_core,supplier_id,supplier_id,Supplier Id (Foreign Key),BIGINT,,supply.supplier.supplier_id,,,master_data,"Foreign key linking to supply.supplier. Business justification: IP core licensing vendor relationship; needed for royalty tracking, compliance, and supplier risk assessment.",Internal - LLM Generated Cross-Domain Link
design,design_library,design_ip_core,area_um2,area_um2,Silicon Area Square Micrometers (PPA - Area),"DECIMAL(18,4)",,,,,master_data,Physical silicon area occupied by the IP core in square micrometers (µm²) for the characterized process node. Part of the PPA characterization data used for die size estimation and floorplanning in Cadence Innovus.,Cadence Innovus Physical Design; IEEE 1685 (IP-XACT); SEMI
design,design_library,design_ip_core,created_timestamp,created_timestamp,Record Creation Timestamp,TIMESTAMP,,,,,master_data,Timestamp when this IP core record was first created in the master catalog (yyyy-MM-ddTHH:mm:ss.SSSXXX). Provides audit trail for data governance and lineage tracking in the Databricks Silver Layer.,SOX; ISO 9001 Record Control; GDPR Article 5 (Data Integrity)
design,design_library,design_ip_core,datasheet_url,datasheet_url,Intellectual Property (IP) Core Datasheet URL,STRING,,,,^https?://.+$,master_data,"URL link to the official IP core datasheet or technical reference manual stored in the PLM document management system or vendor portal. Provides design teams with access to integration guidelines, timing specifications, and interface documentation.",Siemens Teamcenter PLM Document Management; Oracle Agile PLM
design,design_library,design_ip_core,design_ip_core_name,design_ip_core_name,Intellectual Property (IP) Core Name,STRING,,,,,master_data,"Human-readable name of the IP core as used in design documentation, EDA tool libraries, and vendor datasheets (e.g., 'Cortex-A55 CPU Cluster', 'DesignWare PCIe Gen5 Controller').",IEEE 1685 (IP-XACT); Oracle Agile PLM Item Master
design,design_library,design_ip_core,dfm_compliant,dfm_compliant,Design for Manufacturability (DFM) Compliance,BOOLEAN,,,,,master_data,Indicates whether the IP core has passed Design for Manufacturability (DFM) rule checks for the target process node (True = DFM-compliant; False = DFM issues present or not checked). DFM compliance reduces yield risk during wafer fabrication.,SEMI DFM Standards; Cadence Innovus DFM; Synopsys IC Compiler DFM
design,design_library,design_ip_core,dft_compliant,dft_compliant,Design for Testability (DFT) Compliance,BOOLEAN,,,,,master_data,"Indicates whether the IP core includes Design for Testability (DFT) structures (scan chains, BIST, boundary scan) compliant with the project's DFT architecture (True = DFT-compliant; False = not compliant or not applicable). Affects ATPG test coverage and ATE test time.",IEEE 1149.1 (JTAG Boundary Scan); IEEE 1500 (Embedded Core Test); JEDEC; Siemens Tessent DFT
design,design_library,design_ip_core,eda_tool_compatibility,eda_tool_compatibility,Electronic Design Automation (EDA) Tool Compatibility,STRING,,,,,master_data,"Comma-separated list of EDA tools and versions with which this IP core has been validated (e.g., 'Cadence Virtuoso 23.1, Synopsys DC 2023.03, Cadence Innovus 22.1'). Ensures design teams select compatible tool versions for integration.",Cadence Virtuoso; Synopsys Design Compiler; Cadence Innovus; IEEE 1685 (IP-XACT)
design,design_library,design_ip_core,export_control_classification,export_control_classification,Export Control Classification Number (ECCN) / ITAR Classification,STRING,,,,EAR99|ECCN_3E001|ECCN_3E002|ECCN_3E003|ITAR_controlled,master_data,Export control classification of the IP core under US Export Administration Regulations (EAR) or International Traffic in Arms Regulations (ITAR). Determines licensing requirements for cross-border IP transfers and design collaboration with foreign nationals. EAR99 = no license required; ECCN codes require BIS license review; ITAR_controlled = State Dept. license required.,BIS/EAR (Export Administration Regulations); ITAR (International Traffic in Arms Regulations); CHIPS Act Compliance
design,design_library,design_ip_core,foundry_compatibility,foundry_compatibility,Foundry Compatibility,STRING,,,,,master_data,"Comma-separated list of semiconductor foundries for which this IP core has been qualified and is available (e.g., 'TSMC, Samsung, GlobalFoundries'). Determines which fabrication facilities can manufacture designs incorporating this IP.",SEMI Standards; PDK Qualification; Siemens Teamcenter PLM
design,design_library,design_ip_core,function_category,function_category,Intellectual Property (IP) Core Function Category,STRING,,,,,master_data,"Functional classification of the IP core indicating its primary design purpose (e.g., CPU, GPU, NPU, SerDes, PHY, memory_controller, analog, RF, security, interconnect, IO). Used for IP portfolio management and design-in selection. [ENUM-REF-CANDIDATE: CPU|GPU|NPU|SerDes|PHY|memory_controller|analog|RF|security|interconnect|IO|other — promote to reference product]",IEEE 1685 (IP-XACT); JEDEC; SEMI IP Classification
design,design_library,design_ip_core,functional_description,functional_description,Intellectual Property (IP) Core Functional Description,STRING,,,,,master_data,"Detailed technical description of the IP core's functionality, architecture, and key features as documented in the IP datasheet. Provides design engineers with the information needed to evaluate IP suitability for a given SoC design.",IEEE 1685 (IP-XACT); Siemens Teamcenter PLM; Oracle Agile PLM
design,design_library,design_ip_core,gate_count,gate_count,Gate Count (Logic Complexity),BIGINT,,,,,master_data,"Equivalent gate count of the IP core representing its logic complexity, expressed in number of 2-input NAND gate equivalents. Used for die area estimation, synthesis resource planning, and complexity benchmarking in Synopsys Design Compiler.",Synopsys Design Compiler; IEEE 1685 (IP-XACT); SEMI
design,design_library,design_ip_core,gds_available,gds_available,Graphic Data System II (GDSII) Layout Availability,BOOLEAN,,,,,master_data,Indicates whether a GDSII (Graphic Data System II) physical layout file is available for this IP core (True = GDSII provided; False = not available). GDSII availability is required for hard macro integration and tapeout submission.,GDSII (Graphic Data System II) Standard; Cadence Virtuoso; SEMI
design,design_library,design_ip_core,interface_standard,interface_standard,Interface Standard Compliance,STRING,,,,,master_data,"Industry interface protocol standards supported by this IP core (e.g., AMBA AXI4, PCIe Gen5, USB 3.2, DDR5, MIPI CSI-2). Ensures interoperability with SoC interconnect fabric and system-level integration. [ENUM-REF-CANDIDATE: AMBA_AXI4|PCIe_Gen5|USB3.2|DDR5|MIPI_CSI2|Ethernet|CAN|I2C|SPI|other — promote to reference product]",JEDEC; IEEE 802; MIPI Alliance; PCI-SIG; USB-IF; AMBA Specification (ARM)
design,design_library,design_ip_core,ip_core_code,ip_core_code,Intellectual Property (IP) Core Code,STRING,,,,"^[A-Z0-9_-]{3,30}$",master_data,"Externally-known unique alphanumeric code identifying the IP core in the internal IP library and vendor catalogs (e.g., ARM Cortex-A55, SNPS-PCIE-GEN5). Used as the business key across EDA tool flows, PLM, and design project references.",IEEE 1685 (IP-XACT); JEDEC; Siemens Teamcenter PLM Part Number Convention
design,design_library,design_ip_core,ip_type,ip_type,Intellectual Property (IP) Core Type,STRING,,,,hard_macro|soft_ip|firm_ip,master_data,"Classification of the IP core by its delivery form: hard_macro (fixed physical layout, process-specific GDS), soft_ip (synthesizable RTL, process-portable), or firm_ip (partially optimized netlist, semi-portable). Determines integration methodology and EDA tool flow requirements.",IEEE 1685 (IP-XACT); SEMI IP Reuse Standards
design,design_library,design_ip_core,lef_available,lef_available,Library Exchange Format (LEF) Availability,BOOLEAN,,,,,master_data,Indicates whether a Library Exchange Format (LEF) abstract view is available for this IP core (True = LEF provided; False = not available). LEF files are required for place-and-route integration in Cadence Innovus and Synopsys IC Compiler.,LEF/DEF Standard; Cadence Innovus; Synopsys IC Compiler
