domain,subdomain,product,attribute,column_name,business_glossary_term,type,is_primary_key,foreign_key_to,tags,value_regex,data_type,description,reference
asset,asset_registry,asset,asset_id,asset_id,Asset Identifier,BIGINT,Y,,,,master_data,Primary key for asset,
asset,asset_registry,asset,parent_asset_id,parent_asset_id,,BIGINT,,asset.asset.asset_id,,,master_data,"Identifier of the parent asset in a hierarchical relationship, if applicable.",
asset,asset_registry,asset,asset_description,asset_description,,STRING,,,,,master_data,"Free‑form description of the asset, including purpose and key characteristics.",
asset,asset_registry,asset,asset_name,asset_name,,STRING,,,,,master_data,Human‑readable name or title of the asset.,
asset,asset_registry,asset,asset_status,asset_status,,STRING,,,,,master_data,Current lifecycle status of the asset.,
asset,asset_registry,asset,asset_type,asset_type,,STRING,,,,,master_data,Category of the physical asset.,
asset,asset_registry,asset,capital_expenditure,capital_expenditure,,"DECIMAL(18,2)",,,,,master_data,Capital cost incurred to acquire or construct the asset.,
asset,asset_registry,asset,category_code,category_code,,STRING,,,,,master_data,Code representing the asset's category within internal taxonomy.,
asset,asset_registry,asset,commissioning_date,commissioning_date,,DATE,,,,,master_data,Date the asset entered operational service.,
asset,asset_registry,asset,compliance_last_audit_date,compliance_last_audit_date,,DATE,,,,,master_data,Date of the most recent compliance audit.,
asset,asset_registry,asset,country_code,country_code,,STRING,,,,,master_data,Three‑letter ISO country code where the asset is located.,
asset,asset_registry,asset,created_timestamp,created_timestamp,,TIMESTAMP,,,,,master_data,Timestamp when the asset record was first created in the system.,
asset,asset_registry,asset,current_value,current_value,,"DECIMAL(18,2)",,,,,master_data,Net book value of the asset after depreciation.,
asset,asset_registry,asset,decommission_date,decommission_date,,DATE,,,,,master_data,"Date the asset was permanently removed from service, if applicable.",
asset,asset_registry,asset,depreciation_method,depreciation_method,,STRING,,,,,master_data,Method used to depreciate the asset over its useful life.,
asset,asset_registry,asset,depreciation_start_date,depreciation_start_date,,DATE,,,,,master_data,Date when depreciation of the asset began.,
asset,asset_registry,asset,environmental_impact_rating,environmental_impact_rating,,STRING,,,,,master_data,Rating of the asset's environmental impact.,
asset,asset_registry,asset,installation_date,installation_date,,DATE,,,,,master_data,Date the asset was installed at its location.,
asset,asset_registry,asset,is_critical_asset,is_critical_asset,,BOOLEAN,,,,,master_data,Indicates whether the asset is deemed critical to operations (true) or not (false).,
asset,asset_registry,asset,last_maintenance_date,last_maintenance_date,,DATE,,,,,master_data,Date the most recent maintenance activity was performed.,
