domain,subdomain,product,attribute,column_name,business_glossary_term,type,is_primary_key,foreign_key_to,tags,value_regex,data_type,description,reference
asset,capital_accounting,capital_project,capital_project_id,capital_project_id,Capital Project ID,BIGINT,Y,,,,master_data,Unique identifier for the capital expenditure project. Primary key for the capital project entity.,SAP S/4HANA Project System (PS) - Project Definition
asset,capital_accounting,capital_project,asset_registry_id,asset_registry_id,,BIGINT,,asset.registry.registry_id,,,master_data,FK to asset.asset_registry.asset_registry_id — Capital projects create or refurbish assets. Linking project to resulting asset enables CAPEX-to-RAB traceability and in-service date tracking.,
asset,capital_accounting,capital_project,irp_scenario_id,irp_scenario_id,Irp Scenario Id (Foreign Key),BIGINT,,forecast.irp_scenario.irp_scenario_id,,,master_data,"Foreign key linking to forecast.irp_scenario. Business justification: Capital projects are planned and justified based on specific IRP scenarios. Project timing, scope, and budget are driven by IRP load growth, capacity needs, and retirement assumptions. Standard utilit",Internal - LLM Generated Cross-Domain Link
asset,capital_accounting,capital_project,network_segment_id,network_segment_id,Network Segment Id (Foreign Key),BIGINT,,distribution.network_segment.network_segment_id,,,master_data,"Foreign key linking to distribution.network_segment. Business justification: Capital projects for reconductoring, undergrounding, and line upgrades are tied to specific network segments. Existing capital_project links to feeder and substation but not segment-level, which is ne",Internal - LLM Generated Cross-Domain Link
asset,capital_accounting,capital_project,planning_period_id,planning_period_id,Planning Period Id (Foreign Key),BIGINT,,forecast.planning_period.planning_period_id,,,master_data,"Foreign key linking to forecast.planning_period. Business justification: Capital projects are budgeted, approved, and tracked within specific planning periods (annual budget cycles, multi-year capital plans). Standard utility financial planning and regulatory reporting req",Internal - LLM Generated Cross-Domain Link
asset,capital_accounting,capital_project,ppa_contract_id,ppa_contract_id,Ppa Contract Id (Foreign Key),BIGINT,,renewable.ppa_contract.ppa_contract_id,,,master_data,"Foreign key linking to renewable.ppa_contract. Business justification: Utility capital projects for renewable procurement (transmission upgrades, substation expansions enabling PPA delivery) must link to associated PPA contracts for regulatory cost recovery, rate base tr",Internal - LLM Generated Cross-Domain Link
asset,capital_accounting,capital_project,rate_case_id,rate_case_id,Rate Case Id (Foreign Key),BIGINT,,compliance.rate_case.rate_case_id,,,master_data,"Foreign key linking to compliance.rate_case. Business justification: Capital projects are justified and approved for cost recovery in rate cases. Utilities must track which rate case authorized capital investments for regulatory accounting, prudency reviews, and rate b",Internal - LLM Generated Cross-Domain Link
asset,capital_accounting,capital_project,transformer_id,transformer_id,Transformer Id (Foreign Key),BIGINT,,distribution.transformer.transformer_id,,,master_data,"Foreign key linking to distribution.transformer. Business justification: Capital projects for transformer replacement or upgrade (capacity increase, PCB remediation, smart transformer installation) must link to the specific transformer being replaced. Existing capital_proj",Internal - LLM Generated Cross-Domain Link
asset,capital_accounting,capital_project,transmission_line_id,transmission_line_id,Transmission Line Id (Foreign Key),BIGINT,,transmission.line.line_id,,,master_data,"Foreign key linking to transmission.line. Business justification: Capital projects are executed on specific transmission lines (reconductoring, uprating, line extensions). Required for transmission capital planning, FERC rate case support, and RAB inclusion tracking",Internal - LLM Generated Cross-Domain Link
asset,capital_accounting,capital_project,transmission_substation_id,transmission_substation_id,Transmission Substation Id (Foreign Key),BIGINT,,transmission.transmission_substation.transmission_substation_id,,,master_data,"Foreign key linking to transmission.transmission_substation. Business justification: Capital projects are executed at transmission substations (breaker replacement, transformer additions, substation expansion). capital_project has distribution_substation_id but no transmission_substat",Internal - LLM Generated Cross-Domain Link
