domain,subdomain,product,attribute,column_name,business_glossary_term,type,is_primary_key,foreign_key_to,tags,value_regex,data_type,description,reference
campaign,campaign_planning,budget_allocation,budget_allocation_id,budget_allocation_id,Budget Allocation ID,BIGINT,Y,,,,transactional_data,Unique identifier for the budget allocation record. Primary key for this entity.,Internal Data Management Standard
campaign,campaign_planning,budget_allocation,campaign_id,campaign_id,Campaign ID,BIGINT,,campaign.campaign.campaign_id,,,transactional_data,Reference to the parent campaign for which budget is being allocated.,Campaign Management Standard
campaign,campaign_planning,budget_allocation,contract_insertion_order_id,contract_insertion_order_id,Contract Insertion Order Id (Foreign Key),BIGINT,,contract.contract_insertion_order.contract_insertion_order_id,,,transactional_data,Foreign key linking to contract.contract_insertion_order. Business justification: Budget allocations must reconcile against IO-authorized spend (total_authorized_spend). Direct FK enables IO-level budget utilization reports — comparing allocated/actual spend against IO commitments ,Internal - LLM Generated Cross-Domain Link
campaign,campaign_planning,budget_allocation,cost_center_id,cost_center_id,Cost Center Id (Foreign Key),BIGINT,,finance.cost_center.cost_center_id,,,transactional_data,"Foreign key linking to finance.cost_center. Business justification: Campaign budget allocations must be charged to specific cost centers for internal accounting. In advertising agencies, each budget allocation (by channel, flight, or line item) maps to a cost center f",Internal - LLM Generated Cross-Domain Link
campaign,campaign_planning,budget_allocation,flight_id,flight_id,Flight ID,BIGINT,,campaign.flight.flight_id,,,transactional_data,Reference to the parent flight within the campaign for which budget is allocated.,Campaign Management Standard
campaign,campaign_planning,budget_allocation,gl_account_id,gl_account_id,Gl Account Id (Foreign Key),BIGINT,,finance.gl_account.gl_account_id,,,transactional_data,"Foreign key linking to finance.gl_account. Business justification: Budget allocations in advertising are posted to GL accounts (e.g., media spend, production costs, agency fees) for financial reporting and audit compliance. A gl_account_id FK enables proper GL postin",Internal - LLM Generated Cross-Domain Link
campaign,campaign_planning,budget_allocation,line_item_id,line_item_id,Line Item ID,BIGINT,,campaign.line_item.line_item_id,,,transactional_data,Reference to the specific line item receiving this budget allocation.,Media Planning Standard
campaign,campaign_planning,budget_allocation,pacing_rule_id,pacing_rule_id,Pacing Rule Id (Foreign Key),BIGINT,,campaign.pacing_rule.pacing_rule_id,,,transactional_data,Foreign key linking to campaign.pacing_rule. Business justification: budget_allocation currently has pacing_rule_name (STRING) which is a denormalized reference. Should normalize to FK relationship with pacing_rule.pacing_rule_id. This enables joining to get full pacin,Internal - LLM Generated Cross-Domain Link
campaign,campaign_planning,budget_allocation,project_budget_id,project_budget_id,Project Budget Id (Foreign Key),BIGINT,,project.project_budget.project_budget_id,,,transactional_data,"Foreign key linking to project.project_budget. Business justification: Finance reconciliation in advertising agencies requires matching campaign media spend allocations against project budgets (which include labor, production, and media). This link enables the CFO-level ",Internal - LLM Generated Cross-Domain Link
campaign,campaign_planning,budget_allocation,actual_spend,actual_spend,Actual Spend Amount,"DECIMAL(18,2)",,,,,transactional_data,"The actual amount spent to date against this budget allocation, based on delivered impressions and clicks.",Finance and Accounting Standard
campaign,campaign_planning,budget_allocation,allocation_method,allocation_method,Allocation Method,STRING,,,,percentage|fixed|dynamic|proportional|weighted,transactional_data,"The method used to distribute budget across periods or channels (e.g., percentage-based, fixed amount, dynamic optimization).",Media Planning Standard
campaign,campaign_planning,budget_allocation,allocation_reference,allocation_reference,Allocation Reference Number,STRING,,,,,transactional_data,"Business-facing reference number or code for this budget allocation, used for tracking and reconciliation.",Finance and Accounting Standard
campaign,campaign_planning,budget_allocation,allocation_status,allocation_status,Allocation Status,STRING,,,,draft|active|paused|completed|cancelled,transactional_data,"The current lifecycle status of this budget allocation (e.g., draft, active, paused, completed, cancelled).",Campaign Management Standard
