domain,subdomain,product,attribute,column_name,business_glossary_term,type,is_primary_key,foreign_key_to,tags,value_regex,data_type,description,reference
conflict,,audit_log,audit_log_id,audit_log_id,Audit Log Identifier,BIGINT,Y,,,,transactional_data,Primary key for audit_log,
conflict,,audit_log,acting_timekeeper_id,acting_timekeeper_id,Reviewer ID,BIGINT,,workforce.timekeeper.timekeeper_id,,,transactional_data,"Identifier of the reviewer assigned to or responding to a conflict hit, if the action_type is reviewer_assigned or reviewer_response. Null for other action types.",
conflict,,audit_log,audit_actor_timekeeper_id,audit_actor_timekeeper_id,Actor ID,BIGINT,,workforce.timekeeper.timekeeper_id,,,transactional_data,Identifier of the individual or system account that performed the action. References timekeeper or system user record.,
conflict,,audit_log,audit_engagement_id,audit_engagement_id,Audit Engagement Id (Foreign Key),BIGINT,,compliance.audit_engagement.audit_engagement_id,,,transactional_data,Foreign key linking to compliance.audit_engagement. Business justification: Conflict system audit logs are reviewed during compliance audit engagements to verify access controls and process adherence. External auditors sample conflict audit logs as evidence for SOC 2 / ISO 27,
conflict,,audit_log,audit_session_id,audit_session_id,Session ID,BIGINT,,conflict.audit_session.audit_session_id,,,transactional_data,Unique identifier of the user session or system transaction in which the action occurred. Enables correlation of related audit events.,
conflict,,audit_log,check_id,check_id,Conflict Check ID,BIGINT,,conflict.check.check_id,,,transactional_data,Identifier of the conflict check to which this audit event pertains. Used for partitioning and per-matter audit retrieval.,
conflict,,audit_log,clearance_id,clearance_id,Clearance Id (Foreign Key),BIGINT,,conflict.clearance.clearance_id,,,transactional_data,"Foreign key linking to conflict.clearance. Business justification: Links audit events to specific clearance records. audit_log currently has clearance_decision (STRING) but no FK to clearance entity. This FK enables tracking all audit events (submission, review, appr",
conflict,,audit_log,conflict_exception_id,conflict_exception_id,Conflict Exception Id (Foreign Key),BIGINT,,conflict.conflict_exception.conflict_exception_id,,,transactional_data,"Foreign key linking to conflict.exception. Business justification: Links audit events to specific conflict exceptions. When exceptions are approved, invoked, or revoked, the audit log should reference the exception record. Removes redundant exception_approval_level a",
conflict,,audit_log,data_subject_request_id,data_subject_request_id,Data Subject Request Id (Foreign Key),BIGINT,,compliance.data_subject_request.data_subject_request_id,,,transactional_data,Foreign key linking to compliance.data_subject_request. Business justification: Conflict audit logs are searched to fulfill DSR requests (right to know who accessed my data). DSR fulfillment includes audit log extracts showing access history. Links audit log to DSR record.,
conflict,,audit_log,docket_id,docket_id,Docket Id (Foreign Key),BIGINT,,matter.docket.docket_id,dbx_pii=true,,transactional_data,"Foreign key linking to court.docket. Business justification: Audit trail for conflict decisions on litigation matters. Real process: regulatory audit (SRA, state bar) requires tracing conflict decisions to specific court cases for professional responsibility co",
