domain,subdomain,product,attribute,column_name,business_glossary_term,type,is_primary_key,foreign_key_to,tags,value_regex,data_type,description,reference
content,asset_library,asset_version,asset_version_id,asset_version_id,Asset Version Identifier,BIGINT,Y,,,,transactional_data,Unique surrogate key for each asset version record.,Product Information Management System (PIM) - Asset Version Entity
content,asset_library,asset_version,content_ab_test_id,content_ab_test_id,A/B Test Identifier,BIGINT,,content.content_ab_test.content_ab_test_id,,,transactional_data,Identifier of the A/B test experiment that utilizes this version.,Marketing Automation Platform
content,asset_library,asset_version,content_digital_asset_id,content_digital_asset_id,Asset Identifier,BIGINT,,content.content_digital_asset.content_digital_asset_id,,,transactional_data,Identifier of the digital asset to which this version belongs.,Product Information Management System (PIM)
content,asset_library,asset_version,customer_profile_id,customer_profile_id,Editor Identifier,BIGINT,,customer.customer_profile.customer_profile_id,,,transactional_data,System identifier of the user who created or modified the version.,Enterprise Identity Management
content,asset_library,asset_version,approval_timestamp,approval_timestamp,Approval Timestamp,TIMESTAMP,,,,,transactional_data,Date‑time when the version was approved for publishing.,Product Information Management System (PIM)
content,asset_library,asset_version,asset_version_description,asset_version_description,Version Description,STRING,,,,,transactional_data,Free‑form notes describing the purpose or changes of this version.,Product Information Management System (PIM)
content,asset_library,asset_version,asset_version_status,asset_version_status,Version Status,STRING,,,,draft|approved|archived|rejected,transactional_data,Current lifecycle state of the asset version.,Product Information Management System (PIM)
content,asset_library,asset_version,cdn_url,cdn_url,CDN Published URL,STRING,,,,^https?://.*$,transactional_data,Public URL where the versioned asset is hosted on the CDN.,Content Delivery Network (CDN) Integration
content,asset_library,asset_version,change_type,change_type,Change Type,STRING,,,,crop|recolor|reformat|retranslate|metadata_update|other,transactional_data,Category of modification applied in this version.,Product Information Management System (PIM)
content,asset_library,asset_version,checksum_md5,checksum_md5,MD5 Checksum,STRING,,,,^[a-fA-F0-9]{32}$,transactional_data,MD5 hash of the asset file for integrity verification.,Product Information Management System (PIM)
content,asset_library,asset_version,created_timestamp,created_timestamp,Creation Timestamp,TIMESTAMP,,,,,transactional_data,Date‑time when the version record was initially created.,Product Information Management System (PIM)
content,asset_library,asset_version,editor_name,editor_name,Editor Name,STRING,,,,,transactional_data,Full name of the editor responsible for the version.,Enterprise Identity Management
content,asset_library,asset_version,expiration_timestamp,expiration_timestamp,Expiration Timestamp,TIMESTAMP,,,,,transactional_data,Date‑time after which the version should no longer be served.,Product Information Management System (PIM)
content,asset_library,asset_version,file_format,file_format,File Format,STRING,,,,jpg|png|gif|mp4|webm|svg,transactional_data,Technical format of the asset file.,Product Information Management System (PIM)
content,asset_library,asset_version,file_size_bytes,file_size_bytes,File Size (Bytes),BIGINT,,,,,transactional_data,Size of the asset file in bytes.,Product Information Management System (PIM)
content,asset_library,asset_version,is_a_b_test_variant,is_a_b_test_variant,A/B Test Variant Flag,BOOLEAN,,,,,transactional_data,True if this version is used as a variant in an A/B test.,Product Information Management System (PIM)
content,asset_library,asset_version,is_primary,is_primary,Primary Version Flag,BOOLEAN,,,,,transactional_data,Indicates whether this version is the currently active primary version for the asset.,Product Information Management System (PIM)
content,asset_library,asset_version,language_code,language_code,Language Code,STRING,,,,^[a-z]{2}$,transactional_data,Two‑letter ISO code indicating the language of the asset content.,International Standards (ISO 639‑1)
content,asset_library,asset_version,resolution,resolution,Resolution,STRING,,,,,transactional_data,"Pixel dimensions of the asset (e.g., 1920x1080).",Product Information Management System (PIM)
content,asset_library,asset_version,source_system,source_system,Source System,STRING,,,,,transactional_data,"Name of the upstream system that originated the asset version (e.g., PIM, DAM).",Product Information Management System (PIM)
content,asset_library,asset_version,updated_timestamp,updated_timestamp,Last Updated Timestamp,TIMESTAMP,,,,,transactional_data,Date‑time of the most recent modification to the version record.,Product Information Management System (PIM)
content,asset_library,asset_version,version_label,version_label,Version Label,STRING,,,,,transactional_data,"Human‑readable label for the version (e.g., v1.0, v2‑beta).",Product Information Management System (PIM)
content,asset_library,asset_version,version_number,version_number,Version Number,INT,,,,,transactional_data,Sequential integer representing the version order of the asset.,Product Information Management System (PIM)
content,asset_library,content_digital_asset,content_digital_asset_id,content_digital_asset_id,Digital Asset Identifier,BIGINT,Y,,,,master_data,Unique system-generated identifier for the digital asset.,
content,asset_library,content_digital_asset,asset_general_ledger_id,asset_general_ledger_id,Asset General Ledger Id (Foreign Key),BIGINT,,finance.general_ledger.general_ledger_id,,,master_data,"Foreign key linking to finance.general_ledger. Business justification: Required for asset accounting: digital media assets are expensed/depreciated against a GL account, enabling financial reporting of media costs.",Internal - LLM Generated Cross-Domain Link
content,asset_library,content_digital_asset,rights_license_id,rights_license_id,Rights License Id (Foreign Key),BIGINT,,content.rights_license.rights_license_id,,,master_data,Foreign key linking to content.rights_license. Business justification: Digital assets have a rights_license string; replace with FK to rights_license table for proper licensing management.,Internal - LLM Generated Cross-Domain Link
content,asset_library,content_digital_asset,seller_profile_id,seller_profile_id,Seller Profile Id (Foreign Key),BIGINT,,seller.seller_profile.seller_profile_id,,,master_data,"Foreign key linking to seller.seller_profile. Business justification: REQUIRED: Asset ownership report – each digital asset must be linked to the seller who uploaded it for royalty, compliance, and dispute tracking.",Internal - LLM Generated Cross-Domain Link
content,asset_library,content_digital_asset,supplier_id,supplier_id,Supplier Id (Foreign Key),BIGINT,,procurement.supplier.supplier_id,,,master_data,"Foreign key linking to procurement.supplier. Business justification: Asset acquisition process requires linking each digital asset to its supplying vendor for cost, compliance, and rights tracking.",Internal - LLM Generated Cross-Domain Link
content,asset_library,content_digital_asset,a_b_test_name,a_b_test_name,A/B Test Name,STRING,,,,,master_data,Name of the A/B test associated with this asset.,
content,asset_library,content_digital_asset,a_b_test_variant,a_b_test_variant,A/B Test Variant,STRING,,,,A|B|C|D|E|F,master_data,Variant identifier for A/B testing of the asset.,
content,asset_library,content_digital_asset,alt_text,alt_text,Alt Text,STRING,,,,,master_data,Alternative text for accessibility and SEO.,
content,asset_library,content_digital_asset,aspect_ratio,aspect_ratio,Aspect Ratio,STRING,,,,,master_data,"Width to height ratio (e.g., 16:9).",
content,asset_library,content_digital_asset,asset_type,asset_type,Asset Type,STRING,,,,image|video|icon|banner|document,master_data,Category of the digital asset.,
content,asset_library,content_digital_asset,cache_ttl_seconds,cache_ttl_seconds,Cache TTL (Seconds),INT,,,,,master_data,Time‑to‑live for CDN caching in seconds.,
content,asset_library,content_digital_asset,cdn_url,cdn_url,CDN URL,STRING,,,,,master_data,Public CDN URL where the asset is served.,
content,asset_library,content_digital_asset,checksum_md5,checksum_md5,MD5 Checksum,STRING,,,,,master_data,MD5 hash for file integrity verification.,
content,asset_library,content_digital_asset,color_profile,color_profile,Color Profile,STRING,,,,,master_data,"Color space information (e.g., sRGB, AdobeRGB).",
content,asset_library,content_digital_asset,content_digital_asset_description,content_digital_asset_description,Asset Description,STRING,,,,,master_data,Free‑form description of the asset for editorial use.,
content,asset_library,content_digital_asset,content_digital_asset_name,content_digital_asset_name,Digital Asset Name,STRING,,,,,master_data,Human‑readable name of the asset used in catalogs and UI.,
content,asset_library,content_digital_asset,content_digital_asset_status,content_digital_asset_status,Asset Status,STRING,,,,active|inactive|archived|deleted,master_data,Current lifecycle status of the asset.,
content,asset_library,content_digital_asset,created_timestamp,created_timestamp,Record Creation Timestamp,TIMESTAMP,,,,,master_data,Timestamp when the digital asset record was first created in the system.,
content,asset_library,content_digital_asset,duration_seconds,duration_seconds,Duration (Seconds),INT,,,,,master_data,Length of video or audio asset in seconds.,
content,asset_library,content_digital_asset,edge_region,edge_region,Edge Region,STRING,,,,,master_data,Geographic CDN edge region serving the asset.,
content,asset_library,content_digital_asset,expiry_date,expiry_date,Expiry Date,DATE,,,,,master_data,Date after which the asset may no longer be used.,
content,asset_library,content_digital_asset,file_name,file_name,File Name,STRING,,,,,master_data,Original file name of the uploaded asset.,
content,asset_library,content_digital_asset,file_size_bytes,file_size_bytes,File Size (Bytes),BIGINT,,,,,master_data,Size of the asset file in bytes.,
content,asset_library,content_digital_asset,height_px,height_px,Height (Pixels),INT,,,,,master_data,Pixel height of the asset (applicable to images and video).,
content,asset_library,content_digital_asset,is_primary,is_primary,Primary Asset Flag,BOOLEAN,,,,,master_data,Indicates if this asset is the primary representation for its product.,
content,asset_library,content_digital_asset,language_code,language_code,Language Code,STRING,,,,,master_data,ISO 639‑1 language code of the asset content.,
content,asset_library,content_digital_asset,locale,locale,Locale,STRING,,,,,master_data,"Locale identifier (e.g., en_US) for localized assets.",
content,asset_library,content_digital_asset,mime_type,mime_type,MIME Type,STRING,,,,,master_data,"Internet media type (e.g., image/jpeg, video/mp4).",
content,asset_library,content_digital_asset,resolution,resolution,Resolution,STRING,,,,,master_data,"Combined width x height string (e.g., 1920x1080).",
content,asset_library,content_digital_asset,seo_description,seo_description,SEO Description,STRING,,,,,master_data,Search‑engine‑optimized description for the asset.,
content,asset_library,content_digital_asset,seo_title,seo_title,SEO Title,STRING,,,,,master_data,Search‑engine‑optimized title for the asset.,
content,asset_library,content_digital_asset,source_system,source_system,Source System,STRING,,,,,master_data,"Originating system that supplied the asset (e.g., PIM, CMS).",
content,asset_library,content_digital_asset,storage_path,storage_path,Storage Path,STRING,,,,,master_data,Internal storage location or bucket path for the asset.,
content,asset_library,content_digital_asset,tags,tags,Asset Tags,STRING,,,,,master_data,Comma‑separated list of business tags for categorization.,
content,asset_library,content_digital_asset,updated_timestamp,updated_timestamp,Record Update Timestamp,TIMESTAMP,,,,,master_data,Timestamp of the most recent update to the digital asset record.,
content,asset_library,content_digital_asset,upload_timestamp,upload_timestamp,Upload Timestamp,TIMESTAMP,,,,,master_data,Date‑time when the asset was initially uploaded.,
content,asset_library,content_digital_asset,version_approval_timestamp,version_approval_timestamp,Version Approval Timestamp,TIMESTAMP,,,,,master_data,Date‑time when the version was approved for publishing.,
content,asset_library,content_digital_asset,version_cdn_url,version_cdn_url,Version CDN URL,STRING,,,,,master_data,CDN URL for this specific version of the asset.,
content,asset_library,content_digital_asset,version_change_type,version_change_type,Version Change Type,STRING,,,,crop|recolor|reformat|retranslate|metadata_update,master_data,Nature of the change applied in this version.,
content,asset_library,content_digital_asset,version_editor,version_editor,Version Editor,STRING,,,,,master_data,User or system that edited this version.,
