domain,subdomain,product,attribute,column_name,business_glossary_term,type,is_primary_key,foreign_key_to,tags,value_regex,data_type,description,reference
fulfillment,carrier_shipping,carrier,carrier_id,carrier_id,Carrier Identifier,BIGINT,Y,,,,master_data,Primary key for carrier,
fulfillment,carrier_shipping,carrier,api_integration_flag,api_integration_flag,Application Programming Interface (API) Integration Flag,BOOLEAN,,,,,master_data,"Indicates whether the carrier provides API integration capabilities for real-time rate shopping, booking, and tracking.",Internal Integration Standards
fulfillment,carrier_shipping,carrier,base_rate_per_lb,base_rate_per_lb,Base Rate Per Pound,"DECIMAL(10,4)",,,confidential,,master_data,"Negotiated base shipping rate per pound for standard service level, before surcharges and adjustments.",Carrier Contract Terms
fulfillment,carrier_shipping,carrier,bopis_ready_flag,bopis_ready_flag,Buy Online Pick Up In Store (BOPIS) Ready Flag,BOOLEAN,,,,,master_data,Indicates whether the carrier supports BOPIS fulfillment logistics including store-to-customer handoff coordination.,NRF Omnichannel Standards
fulfillment,carrier_shipping,carrier,carrier_code,carrier_code,Carrier Code,STRING,,,,"^[A-Z0-9]{2,10}$",master_data,Internal short code or abbreviation used to identify the carrier in operational systems.,Internal MDM Standard
fulfillment,carrier_shipping,carrier,carrier_name,carrier_name,Carrier Legal Name,STRING,,,,,master_data,The legal business name of the carrier or third-party logistics (3PL) provider.,GS1 Global Standards
fulfillment,carrier_shipping,carrier,carrier_status,carrier_status,Carrier Status,STRING,,,,active|inactive|suspended|pending_approval,master_data,Current operational status of the carrier relationship indicating whether the carrier is available for shipment assignment.,Internal MDM Standard
fulfillment,carrier_shipping,carrier,carrier_type,carrier_type,Carrier Type,STRING,,,,parcel|ltl|ftl|last_mile|same_day|3pl,master_data,"Classification of the carrier based on service model: parcel (small package), LTL (Less Than Truckload), FTL (Full Truckload), last-mile delivery, same-day delivery, or third-party logistics (3PL) provider.",NRF Logistics Standards
fulfillment,carrier_shipping,carrier,contact_email,contact_email,Primary Contact Email Address,STRING,,,"confidential,pii_email","^[a-zA-Z0-9._%+-]+@[a-zA-Z0-9.-]+\.[a-zA-Z]{2,}$",master_data,Email address of the primary carrier contact for operational communication and escalations.,Internal Vendor Management
fulfillment,carrier_shipping,carrier,contact_name,contact_name,Primary Contact Name,STRING,,,confidential,,master_data,Name of the primary account representative or contact person at the carrier for operational coordination and issue resolution.,Internal Vendor Management
fulfillment,carrier_shipping,carrier,contact_phone,contact_phone,Primary Contact Phone Number,STRING,,,"confidential,pii_phone",,master_data,Phone number of the primary carrier contact for urgent operational issues and coordination.,Internal Vendor Management
fulfillment,carrier_shipping,carrier,contract_end_date,contract_end_date,Contract End Date,DATE,,,,,master_data,Date when the carrier service contract expires or is scheduled for renewal.,Carrier Contract Terms
fulfillment,carrier_shipping,carrier,contract_start_date,contract_start_date,Contract Start Date,DATE,,,,,master_data,Date when the carrier service contract or agreement became effective.,Carrier Contract Terms
fulfillment,carrier_shipping,carrier,created_timestamp,created_timestamp,Record Created Timestamp,TIMESTAMP,,,,,master_data,Timestamp when the carrier master record was first created in the system.,Internal Audit Standards
fulfillment,carrier_shipping,carrier,cutoff_time_local,cutoff_time_local,Cutoff Time Local,STRING,,,,^([01]?[0-9]|2[0-3]):[0-5][0-9]$,master_data,Daily cutoff time in local warehouse time zone (HH:MM format) by which shipments must be tendered to the carrier to qualify for same-day pickup and service level commitment.,Carrier Service Level Agreement (SLA)
fulfillment,carrier_shipping,carrier,dimensional_weight_factor,dimensional_weight_factor,Dimensional Weight Factor,"DECIMAL(8,2)",,,,,master_data,Divisor used to calculate dimensional weight from package dimensions (length x width x height / factor). Common values are 139 for domestic and 166 for international.,Carrier Rate Card
fulfillment,carrier_shipping,carrier,edi_capable_flag,edi_capable_flag,Electronic Data Interchange (EDI) Capable Flag,BOOLEAN,,,,,master_data,"Indicates whether the carrier supports Electronic Data Interchange (EDI) for automated shipment booking, tracking, and invoicing.",GS1 EDI Standards
fulfillment,carrier_shipping,carrier,extended_area_surcharge,extended_area_surcharge,Extended Area Surcharge,"DECIMAL(8,2)",,,confidential,,master_data,Additional fee charged for deliveries to remote or extended service areas beyond standard coverage zones.,Carrier Rate Card
fulfillment,carrier_shipping,carrier,fuel_surcharge_percentage,fuel_surcharge_percentage,Fuel Surcharge Percentage,"DECIMAL(5,2)",,,confidential,,master_data,"Current fuel surcharge percentage applied to base shipping rates, typically adjusted monthly based on fuel price indices.",Carrier Rate Card
fulfillment,carrier_shipping,carrier,geographic_coverage,geographic_coverage,Geographic Coverage,STRING,,,,,master_data,Description of the geographic regions and countries where the carrier provides service coverage. May include restrictions or limitations.,Carrier Service Agreement
fulfillment,carrier_shipping,carrier,hazmat_certified_flag,hazmat_certified_flag,Hazardous Materials (HAZMAT) Certified Flag,BOOLEAN,,,,,master_data,Indicates whether the carrier is certified and authorized to transport hazardous materials under Department of Transportation (DOT) regulations.,DOT HAZMAT Regulations
fulfillment,carrier_shipping,carrier,insurance_coverage_flag,insurance_coverage_flag,Insurance Coverage Available Flag,BOOLEAN,,,,,master_data,Indicates whether the carrier offers shipment insurance or declared value coverage for high-value packages.,Carrier Service Agreement
fulfillment,carrier_shipping,carrier,max_height_inches,max_height_inches,Maximum Height in Inches,"DECIMAL(8,2)",,,,,master_data,Maximum package height dimension in inches that the carrier will accept for shipment.,Carrier Service Agreement
fulfillment,carrier_shipping,carrier,max_length_inches,max_length_inches,Maximum Length in Inches,"DECIMAL(8,2)",,,,,master_data,Maximum package length dimension in inches that the carrier will accept for shipment.,Carrier Service Agreement
fulfillment,carrier_shipping,carrier,max_weight_lbs,max_weight_lbs,Maximum Weight in Pounds (lbs),"DECIMAL(10,2)",,,,,master_data,Maximum package weight in pounds that the carrier will accept for shipment under standard service terms.,Carrier Service Agreement
fulfillment,carrier_shipping,carrier,max_width_inches,max_width_inches,Maximum Width in Inches,"DECIMAL(8,2)",,,,,master_data,Maximum package width dimension in inches that the carrier will accept for shipment.,Carrier Service Agreement
fulfillment,carrier_shipping,carrier,negotiated_discount_percentage,negotiated_discount_percentage,Negotiated Discount Percentage,"DECIMAL(5,2)",,,confidential,,master_data,Volume-based discount percentage negotiated off published carrier rates based on annual shipping commitment.,Carrier Contract Terms
fulfillment,carrier_shipping,carrier,rate_effective_date,rate_effective_date,Rate Effective Date,DATE,,,,,master_data,Date when the current rate card and pricing terms became effective.,Carrier Contract Terms
fulfillment,carrier_shipping,carrier,rate_expiry_date,rate_expiry_date,Rate Expiry Date,DATE,,,,,master_data,Date when the current rate card expires and requires renegotiation or renewal.,Carrier Contract Terms
fulfillment,carrier_shipping,carrier,residential_delivery_surcharge,residential_delivery_surcharge,Residential Delivery Surcharge,"DECIMAL(8,2)",,,confidential,,master_data,Additional flat fee charged for deliveries to residential addresses versus commercial addresses.,Carrier Rate Card
