domain,subdomain,product,attribute,column_name,business_glossary_term,type,is_primary_key,foreign_key_to,tags,value_regex,data_type,description,reference
assortment,category_planning,assortment_item,assortment_item_id,assortment_item_id,Assortment Item ID,BIGINT,Y,,,,master_data,Unique identifier for the assortment item record. Primary key for this entity.,
assortment,category_planning,assortment_item,assortment_category_id,assortment_category_id,Subcategory ID,BIGINT,,assortment.category.category_id,,,master_data,Reference to the merchandise subcategory for finer-grained assortment segmentation. Enables detailed space allocation and assortment breadth analysis within categories.,Oracle Retail Merchandising System - Category Hierarchy
assortment,category_planning,assortment_item,brand_id,brand_id,,BIGINT,,product.brand.brand_id,internal,,master_data,FK to product.brand,
assortment,category_planning,assortment_item,new_item_intro_id,new_item_intro_id,New Item Intro Id (Foreign Key),BIGINT,,assortment.new_item_intro.new_item_intro_id,,,master_data,Foreign key linking to assortment.new_item_intro. Business justification: An assortment_item with new_item_flag=true originates from a new_item_intro lifecycle record. Adding new_item_intro_id to assortment_item creates a direct traceable link from the approved assortment l,Internal - LLM Generated Cross-Domain Link
assortment,category_planning,assortment_item,plan_id,plan_id,Assortment Plan ID,BIGINT,,assortment.plan.plan_id,,,master_data,Reference to the parent assortment plan that this item belongs to. Links this SKU inclusion decision to the broader merchandise planning strategy.,Oracle Retail Merchandising System - Assortment Planning
assortment,category_planning,assortment_item,planogram_id,planogram_id,Planogram ID,BIGINT,,assortment.planogram.planogram_id,,,master_data,Reference to the planogram that defines the physical shelf layout for this assortment item. Links assortment strategy to visual merchandising execution.,Planogram Management System
assortment,category_planning,assortment_item,primary_assortment_category_id,primary_assortment_category_id,Category ID,BIGINT,,assortment.category.category_id,,,master_data,Reference to the merchandise category this item belongs to. Links assortment decisions to category management strategies and category captain collaboration.,Oracle Retail Merchandising System - Category Hierarchy
assortment,category_planning,assortment_item,store_cluster_id,store_cluster_id,Store Cluster ID,BIGINT,,assortment.store_cluster.store_cluster_id,,,master_data,"Reference to the store cluster for which this assortment item is defined. Enables localized assortment strategies by grouping stores with similar demographics, format, or demand patterns.",Oracle Retail Merchandising System - Allocation
assortment,category_planning,assortment_item,store_location_id,store_location_id,Store ID,BIGINT,,store.store_location.store_location_id,,,master_data,Reference to an individual store for store-specific assortment overrides. Null when the item applies to the entire cluster; populated for hyper-local exceptions.,SAP Retail - Store Master
assortment,category_planning,assortment_item,supplier_id,supplier_id,Vendor ID,BIGINT,,vendor.supplier.supplier_id,,,master_data,"Reference to the primary vendor or supplier for this SKU. Supports vendor assortment analysis, category captain collaboration, and DSD item management.",SAP Retail - Vendor Master
assortment,category_planning,assortment_item,vendor_item_id,vendor_item_id,Vendor Item Id (Foreign Key),BIGINT,,vendor.vendor_item.vendor_item_id,,,master_data,"Foreign key linking to vendor.vendor_item. Business justification: An authorized assortment item must link to the vendor_item record to enable replenishment order generation, cost-based margin reporting, and vendor compliance checks. Category managers and replenishme",Internal - LLM Generated Cross-Domain Link
assortment,category_planning,assortment_item,approval_date,approval_date,Approval Date,DATE,,,,,master_data,Date when this assortment item was approved for inclusion in the plan. Tracks decision timing and supports audit trails for assortment changes.,Merchandising Governance Process
assortment,category_planning,assortment_item,approved_by,approved_by,Approved By,STRING,,,,,master_data,Name or identifier of the merchandising manager or category manager who approved this assortment item inclusion. Supports governance and accountability for assortment decisions.,Merchandising Governance Process
assortment,category_planning,assortment_item,assortment_tier,assortment_tier,Assortment Tier,STRING,,,,tier_1_must_carry|tier_2_recommended|tier_3_optional|tier_4_test,master_data,"Strategic importance tier of this SKU within the assortment. Defines priority for space allocation, inventory investment, and promotional support.",Assortment Strategy Framework
assortment,category_planning,assortment_item,created_timestamp,created_timestamp,Created Timestamp,TIMESTAMP,,,,,master_data,Timestamp when this assortment item record was first created in the system. Supports audit trails and data lineage tracking.,Data Governance Standards
assortment,category_planning,assortment_item,effective_end_date,effective_end_date,Effective End Date,DATE,,,,,master_data,"Date when this assortment item is discontinued or removed from the plan. Null for ongoing items. Enables SKU rationalization, seasonal exits, and planned discontinuations.",Oracle Retail Merchandising System - Effective Dating
assortment,category_planning,assortment_item,effective_start_date,effective_start_date,Effective Start Date,DATE,,,,,master_data,"Date when this assortment item becomes active and should be carried in stores. Supports phased rollouts, seasonal transitions, and new item introduction timing.",Oracle Retail Merchandising System - Effective Dating
