domain,subdomain,product,attribute,column_name,business_glossary_term,type,is_primary_key,foreign_key_to,tags,value_regex,data_type,description,reference
actuarial,actuarial_assumptions,assumption_detail,assumption_detail_id,assumption_detail_id,Assumption Detail Identifier (ID),BIGINT,Y,,,,master_data,Unique identifier for each assumption detail record. Primary key for the assumption detail product.,"NAIC Actuarial Standards, ACORD Data Standards"
actuarial,actuarial_assumptions,assumption_detail,assumption_set_id,assumption_set_id,Assumption Set Identifier (ID),BIGINT,,actuarial.assumption_set.assumption_set_id,,,master_data,Foreign key reference to the parent assumption set that governs this detail record. Links this detail to its controlling assumption set for valuation runs and experience studies.,"NAIC Actuarial Standards, VM-20 PBR Requirements"
actuarial,actuarial_assumptions,assumption_detail,mortality_table_id,mortality_table_id,Mortality Table Id (Foreign Key),BIGINT,,actuarial.mortality_table.mortality_table_id,,,master_data,Foreign key linking to actuarial.mortality_table. Business justification: assumption_detail.mortality_table_reference (STRING) is a denormalized reference to the mortality table underlying a mortality-type assumption detail record. Adding mortality_table_id → actuarial.mort,Internal - LLM Generated Cross-Domain Link
actuarial,actuarial_assumptions,assumption_detail,prior_assumption_detail_id,prior_assumption_detail_id,,BIGINT,,actuarial.assumption_detail.assumption_detail_id,self_ref_fk,,master_data,Self-referencing FK on assumption_detail (prior_assumption_detail_id),
actuarial,actuarial_assumptions,assumption_detail,risk_class_id,risk_class_id,Risk Class Id (Foreign Key),BIGINT,,underwriting.risk_class.risk_class_id,,,master_data,"Foreign key linking to underwriting.risk_class. Business justification: Actuarial assumption details (mortality rates, lapse rates) are segmented by underwriting risk class per PBR/VM-20 requirements. Direct FK to the canonical risk_class definition ensures assumption seg",Internal - LLM Generated Cross-Domain Link
actuarial,actuarial_assumptions,assumption_detail,underwriting_class_id,underwriting_class_id,Underwriting Class Id (Foreign Key),BIGINT,,product.underwriting_class.underwriting_class_id,,,master_data,"Foreign key linking to product.underwriting_class. Business justification: assumption_detail.underwriting_class is a plain denormalized attribute. Actuarial assumptions (mortality rates, lapse rates) are set at the underwriting class level. Linking to underwriting_class enab",Internal - LLM Generated Cross-Domain Link
actuarial,actuarial_assumptions,assumption_detail,approval_date,approval_date,Approval Date,DATE,,,,,master_data,The date on which this assumption detail record was formally approved by the appointed actuary or assumption governance committee.,"NAIC Actuarial Standards, SOX Compliance"
actuarial,actuarial_assumptions,assumption_detail,assumption_basis,assumption_basis,Assumption Basis,STRING,,,,best_estimate|conservative|prescribed|company_experience|industry_table|blended,master_data,"The basis or philosophy underlying this assumption detail. Indicates whether the assumption is best-estimate, conservative, prescribed by regulation, based on company experience, industry table, or a blended approach.","NAIC Actuarial Standards, VM-20 PBR Requirements, ASC 944"
actuarial,actuarial_assumptions,assumption_detail,assumption_detail_status,assumption_detail_status,Assumption Detail Status,STRING,,,,draft|active|superseded|retired|under_review,master_data,"Current lifecycle status of this assumption detail record. Indicates whether the assumption is in draft, actively used in valuations, superseded by a newer version, retired, or under review.","NAIC Actuarial Standards, ACORD Data Standards"
actuarial,actuarial_assumptions,assumption_detail,assumption_subtype,assumption_subtype,Assumption Subtype,STRING,,,,,master_data,"Granular subtype within the assumption type. Examples: qx (mortality rate), lapse_rate, disability_incidence, per_policy_expense, credited_rate, credibility_weight. Provides additional specificity for the assumption being modeled.","NAIC Actuarial Standards, VM-20 PBR Requirements"
actuarial,actuarial_assumptions,assumption_detail,assumption_type,assumption_type,Assumption Type,STRING,,,,mortality|lapse|morbidity|expense|interest_rate|credibility,master_data,Type discriminator indicating the category of assumption this detail record represents. Determines which dimensional attributes are applicable and how the rate value should be interpreted.,"NAIC Actuarial Standards, VM-20 PBR Requirements, ASC 944"
actuarial,actuarial_assumptions,assumption_detail,assumption_version,assumption_version,Assumption Version,STRING,,,,,master_data,"Version identifier for this assumption detail record. Supports assumption change tracking and audit trails. Examples: v1.0, v2.1, 2024Q1.","NAIC Actuarial Standards, ACORD Data Standards"
actuarial,actuarial_assumptions,assumption_detail,attained_age,attained_age,Attained Age,INT,,,,,master_data,"The attained age of the insured for which this assumption rate applies. Used for age-based segmentation in mortality, lapse, and morbidity assumptions. Null if assumption is not age-dependent.","NAIC Actuarial Standards, VM-20 PBR Requirements"
actuarial,actuarial_assumptions,assumption_detail,comments,comments,Comments,STRING,,,,,master_data,"Free-text comments or notes regarding this assumption detail record. Used for documenting rationale, special considerations, or assumptions about the assumption.",NAIC Actuarial Standards
actuarial,actuarial_assumptions,assumption_detail,created_timestamp,created_timestamp,Created Timestamp,TIMESTAMP,,,,,master_data,The timestamp when this assumption detail record was first created in the system. Supports audit trail and data lineage requirements.,"SOX Compliance, NAIC Actuarial Standards"
actuarial,actuarial_assumptions,assumption_detail,credibility_factor,credibility_factor,Credibility Factor,"DECIMAL(5,4)",,,,,master_data,"Credibility weight applied to company experience versus industry tables. Value between 0 and 1, where 1 represents full credibility to company experience. Used in PBR credibility blending calculations.","NAIC Actuarial Standards, VM-20 PBR Requirements"
