domain,subdomain,product,attribute,column_name,business_glossary_term,type,is_primary_key,foreign_key_to,tags,value_regex,data_type,description,reference
design,execution_artifacts,milestone,milestone_id,milestone_id,Design Milestone ID,BIGINT,Y,,,,transactional_data,Unique surrogate identifier for each design milestone or gate review record in the IC design lifecycle. Primary key for the design_milestone data product.,Siemens Teamcenter PLM; Oracle Agile PLM
design,execution_artifacts,milestone,cost_center_id,cost_center_id,Cost Center Id (Foreign Key),BIGINT,,finance.cost_center.cost_center_id,,,transactional_data,"Foreign key linking to finance.cost_center. Business justification: Milestone completion triggers cost center budget consumption and variance analysis. Semiconductor project finance requires cost center linkage for actual-vs-planned cost tracking, resource allocation ",Internal - LLM Generated Cross-Domain Link
design,execution_artifacts,milestone,customer_design_win_id,customer_design_win_id,Customer Design Win Id (Foreign Key),BIGINT,,customer.customer_design_win.customer_design_win_id,,,transactional_data,"Foreign key linking to customer.customer_design_win. Business justification: Design milestones (RTL freeze, tapeout authorization, silicon bring-up) are reported to customers as part of design win program management. This FK enables customer-facing program status reports, mile",Internal - LLM Generated Cross-Domain Link
design,execution_artifacts,milestone,fab_tool_id,fab_tool_id,Fab Tool Id (Foreign Key),BIGINT,,equipment.fab_tool.fab_tool_id,,,transactional_data,"Foreign key linking to equipment.fab_tool. Business justification: Semiconductor design gate reviews (PDK freeze, tapeout readiness) require confirming the target fab tool is available, qualified, and not in extended downtime. Program managers reference the specific ",Internal - LLM Generated Cross-Domain Link
design,execution_artifacts,milestone,fabrication_technology_node_id,fabrication_technology_node_id,Fabrication Technology Node Id (Foreign Key),BIGINT,,fabrication.fabrication_technology_node.fabrication_technology_node_id,,,transactional_data,"Foreign key linking to fabrication.fabrication_technology_node. Business justification: Design milestone gate reviews (PDK readiness, process qualification status, tapeout authorization) require knowing which fabrication technology node the design targets. Design program managers track m",Internal - LLM Generated Cross-Domain Link
design,execution_artifacts,milestone,ic_catalog_id,ic_catalog_id,Ic Catalog Id (Foreign Key),BIGINT,,product.ic_catalog.ic_catalog_id,,,transactional_data,Foreign key linking to product.ic_catalog. Business justification: NPI (New Product Introduction) reporting tracks design milestone status per catalog product. Product roadmap management requires querying all milestones for a given catalog entry. Product managers and,Internal - LLM Generated Cross-Domain Link
design,execution_artifacts,milestone,internal_order_id,internal_order_id,Internal Order Id (Foreign Key),BIGINT,,finance.internal_order.internal_order_id,,,transactional_data,Foreign key linking to finance.internal_order. Business justification: Design milestones trigger budget releases and cost commitments tracked via internal orders for NRE project accounting. Semiconductor finance links milestone completion to internal order budget consump,Internal - LLM Generated Cross-Domain Link
design,execution_artifacts,milestone,milestone_ic_design_project_id,milestone_ic_design_project_id,,BIGINT,,design.ic_design_project.ic_design_project_id,,,transactional_data,FK to design.ic_design_project.ic_design_project_id — Design milestones belong to a specific IC design project. Required for project schedule tracking.,
design,execution_artifacts,milestone,mpw_shuttle_id,mpw_shuttle_id,Multi-Project Wafer (MPW) Shuttle ID,BIGINT,,design.mpw_shuttle.mpw_shuttle_id,,,transactional_data,Reference to the MPW (Multi-Project Wafer) shuttle run assignment associated with this tapeout milestone. Applicable when the design is submitted as part of a shared wafer shuttle rather than a dedicated production run. Links milestone to the specific shuttle schedule.,SEMI Standards; Siemens Teamcenter PLM; Camstar MES
design,execution_artifacts,milestone,primary_design_project_ic_design_project_id,primary_design_project_ic_design_project_id,Design Project ID,BIGINT,,design.ic_design_project.ic_design_project_id,,,transactional_data,"Reference to the parent IC design project to which this milestone belongs. Links the milestone to the overall design program, enabling schedule tracking and gate governance at the project level.",Siemens Teamcenter PLM; Oracle Agile PLM
