domain,subdomain,product,attribute,column_name,business_glossary_term,type,is_primary_key,foreign_key_to,tags,value_regex,data_type,description,reference
assurance,fault_management,alarm_event,alarm_event_id,alarm_event_id,Alarm Event Identifier (ID),BIGINT,Y,,,,transactional_data,Unique identifier for the network alarm event record. Primary key for the alarm event entity.,TM Forum SID - Alarm Management ABE
assurance,fault_management,alarm_event,addon_id,addon_id,Addon Id (Foreign Key),BIGINT,,product.addon.addon_id,,,transactional_data,"Foreign key linking to product.addon. Business justification: Alarms are raised for specific add-on service failures (e.g., VoIP add-on connectivity alarm, roaming add-on activation failure alarm). Add-on-level alarm tracking enables targeted fault management an",Internal - LLM Generated Cross-Domain Link
assurance,fault_management,alarm_event,affected_ip_address_pool_id,affected_ip_address_pool_id,Affected Ip Address Pool Id (Foreign Key),BIGINT,,inventory.ip_address_pool.ip_address_pool_id,"restricted,pii_address",,transactional_data,"Foreign key linking to inventory.ip_address_pool. Business justification: IP pool exhaustion and CGNAT threshold breach alarms are raised in OSS/NMS systems. Linking alarm_event to ip_address_pool supports IP resource capacity management, automated pool expansion triggers, ",Internal - LLM Generated Cross-Domain Link
assurance,fault_management,alarm_event,affected_svc_instance_id,affected_svc_instance_id,Affected Svc Instance Id (Foreign Key),BIGINT,,service.svc_instance.svc_instance_id,,,transactional_data,"Foreign key linking to service.svc_instance. Business justification: Network element alarms affect specific service instances. Required for proactive customer notification, service impact assessment, and correlating network events to customer experience degradation.",Internal - LLM Generated Cross-Domain Link
assurance,fault_management,alarm_event,kpi_threshold_id,kpi_threshold_id,Alarm Suppression Rule Identifier (ID),BIGINT,,assurance.kpi_threshold.kpi_threshold_id,,,transactional_data,"Reference to the alarm suppression rule applied to this alarm event, if any. Used for managing alarm storms and maintenance windows.",TM Forum SID - Alarm Management ABE
assurance,fault_management,alarm_event,managed_object_cpe_asset_id,managed_object_cpe_asset_id,Managed Object Cpe Asset Id (Foreign Key),BIGINT,,inventory.cpe_asset.cpe_asset_id,,,transactional_data,"Foreign key linking to inventory.cpe_asset. Business justification: When managed_object_class='CPE', correlates customer equipment alarms (offline, low signal, reboot loops) with specific device serial numbers for remote troubleshooting, warranty claims, and proactive",Internal - LLM Generated Cross-Domain Link
assurance,fault_management,alarm_event,managed_object_network_equipment_id,managed_object_network_equipment_id,Managed Object Network Equipment Id (Foreign Key),BIGINT,,inventory.network_equipment.network_equipment_id,,,transactional_data,"Foreign key linking to inventory.network_equipment. Business justification: NOC alarm-to-asset correlation: alarms raised against physical network equipment (routers, BTS, switches) must link to the inventory record for maintenance scheduling, MTBF analysis, and vendor escala",Internal - LLM Generated Cross-Domain Link
assurance,fault_management,alarm_event,managed_object_olt_asset_id,managed_object_olt_asset_id,Managed Object Olt Asset Id (Foreign Key),BIGINT,,inventory.olt_asset.olt_asset_id,,,transactional_data,"Foreign key linking to inventory.olt_asset. Business justification: OLT alarms (PON port failures, optical power degradation) are critical in fiber networks. Linking alarm_event to the specific OLT asset supports fiber NOC operations, OLT maintenance scheduling, and m",Internal - LLM Generated Cross-Domain Link
assurance,fault_management,alarm_event,managed_object_ont_asset_id,managed_object_ont_asset_id,Managed Object Ont Asset Id (Foreign Key),BIGINT,,inventory.ont_asset.ont_asset_id,,,transactional_data,"Foreign key linking to inventory.ont_asset. Business justification: When managed_object_class='ONT', links fiber access alarms (LOS, dying gasp, high temperature) to specific ONT serial numbers for technician dispatch optimization and vendor quality analysis.",Internal - LLM Generated Cross-Domain Link
assurance,fault_management,alarm_event,network_element_id,network_element_id,Network Element Identifier (ID),BIGINT,,network.element.element_id,,,transactional_data,"Reference to the network element (RAN, transport, core, GPON, FTTH node) that raised this alarm.",TM Forum SID - Resource Domain
