domain,subdomain,product,attribute,column_name,business_glossary_term,type,is_primary_key,foreign_key_to,tags,value_regex,data_type,description,reference
equipment,asset_registry,asset,asset_id,asset_id,Asset ID,BIGINT,Y,,,,master_data,Unique surrogate identifier for each physical mining asset record in the master register. Primary key for the asset data product.,Infor EAM Asset Master
equipment,asset_registry,asset,asset_class_id,asset_class_id,Asset Class Id (Foreign Key),BIGINT,,equipment.asset_class.asset_class_id,,,master_data,"Foreign key linking to equipment.asset_class. Business justification: The asset table currently stores asset_class as a STRING attribute, but a dedicated asset_class master table exists with PK asset_class_id. This is a classic denormalization pattern that should be nor",Internal - LLM Generated Cross-Domain Link
equipment,asset_registry,asset,cost_centre_id,cost_centre_id,Cost Centre Id (Foreign Key),BIGINT,,finance.cost_centre.cost_centre_id,,,master_data,"Foreign key linking to finance.cost_centre. Business justification: Each asset is owned by a cost centre for maintenance budget allocation, depreciation charging, and AISC unit cost reporting. The asset table carries a denormalized cost_centre_code; replacing it with ",Internal - LLM Generated Cross-Domain Link
equipment,asset_registry,asset,counterparty_id,counterparty_id,Counterparty Id (Foreign Key),BIGINT,,customer.counterparty.counterparty_id,,,master_data,"Foreign key linking to customer.counterparty. Business justification: Mining assets are frequently leased, hired, or jointly owned with external counterparties. The asset register must reference the owning/leasing counterparty for contract management, lease expiry track",Internal - LLM Generated Cross-Domain Link
equipment,asset_registry,asset,fixed_asset_id,fixed_asset_id,Fixed Asset Id (Foreign Key),BIGINT,,finance.fixed_asset.fixed_asset_id,,,master_data,"Foreign key linking to finance.fixed_asset. Business justification: Every physical mining asset (haul truck, excavator, drill rig) is capitalised in the fixed asset register for depreciation, NBV reporting, and IFRS/AASB116 compliance. EAM-to-FAR reconciliation is a m",Internal - LLM Generated Cross-Domain Link
equipment,asset_registry,asset,functional_location_id,functional_location_id,Functional Location Id (Foreign Key),BIGINT,,maintenance.functional_location.functional_location_id,,,master_data,"Foreign key linking to maintenance.functional_location. Business justification: Core EAM business process: every physical asset is installed at a functional location. Maintenance planners use asset-to-FL assignment for work order routing, PM scheduling, and statutory compliance r",Internal - LLM Generated Cross-Domain Link
equipment,asset_registry,asset,hazard_id,hazard_id,Hazard Id (Foreign Key),BIGINT,,hse.hazard.hazard_id,,,master_data,"Foreign key linking to hse.hazard. Business justification: Each mining asset (haul truck, crusher, conveyor) is associated with a primary hazard profile (rollover, entrapment, conveyor nip). Linking assets to their primary hazard enables pre-start checklist g",Internal - LLM Generated Cross-Domain Link
equipment,asset_registry,asset,legal_entity_id,legal_entity_id,Legal Entity Id (Foreign Key),BIGINT,,finance.legal_entity.legal_entity_id,,,master_data,"Foreign key linking to finance.legal_entity. Business justification: In multi-entity mining groups, assets are legally owned by specific entities for tax, insurance, and intercompany transfer purposes. Asset legal ownership drives transfer pricing, insurance valuations",Internal - LLM Generated Cross-Domain Link
equipment,asset_registry,asset,mine_site_id,mine_site_id,Mine Site Id (Foreign Key),BIGINT,,mine.mine_site.mine_site_id,,,master_data,"Foreign key linking to mine.mine_site. Business justification: Asset register management requires knowing which mine site each asset is deployed at for maintenance planning, cost allocation, and capital budgeting. A mining engineer expects every asset to have a h",Internal - LLM Generated Cross-Domain Link
equipment,asset_registry,asset,parent_asset_id,parent_asset_id,Parent Asset ID,BIGINT,,equipment.asset.asset_id,,,master_data,"Reference to the parent asset in a multi-component asset hierarchy (e.g., an engine assembly belonging to a haul truck). Enables parent-child asset relationship modelling for complex equipment units. Null for top-level assets.",Infor EAM Asset Hierarchy
equipment,asset_registry,asset,saleable_product_id,saleable_product_id,Product Id (Foreign Key),BIGINT,,product.saleable_product.saleable_product_id,,,master_data,"Foreign key linking to product.saleable_product. Business justification: Mining assets are often dedicated to specific product streams (iron ore haul trucks, coal handling equipment). Production planning, asset allocation, and performance reporting require tracking which p",Internal - LLM Generated Cross-Domain Link
equipment,asset_registry,asset,tenement_id,tenement_id,Tenement Id (Foreign Key),BIGINT,,tenement.tenement.tenement_id,,,master_data,"Foreign key linking to tenement.tenement. Business justification: Mining equipment operates within specific tenement boundaries. Real operations track which licence area each asset is deployed to for regulatory compliance, expenditure allocation, and operational pla",Internal - LLM Generated Cross-Domain Link
equipment,asset_registry,asset,tsf_id,tsf_id,Tsf Id (Foreign Key),BIGINT,,tailings.tsf.tsf_id,,,master_data,"Foreign key linking to tailings.tsf. Business justification: Assets permanently stationed at a TSF (decant pumps, slurry pipelines, monitoring equipment) must be registered against the specific facility for asset register management, closure liability attributi",Internal - LLM Generated Cross-Domain Link
equipment,asset_registry,asset,vendor_id,vendor_id,Oem Vendor Id (Foreign Key),BIGINT,,procurement.vendor.vendor_id,,,master_data,"Foreign key linking to procurement.vendor. Business justification: Mining equipment has OEM suppliers; tracking vendor enables warranty claims, parts procurement, and supplier performance analysis. Real business process: OEM parts sourcing and warranty management. Ne",Internal - LLM Generated Cross-Domain Link
equipment,asset_registry,asset,wbs_element_id,wbs_element_id,Wbs Element Id (Foreign Key),BIGINT,,finance.wbs_element.wbs_element_id,,,master_data,Foreign key linking to finance.wbs_element. Business justification: Assets under construction or acquired via capital projects are linked to a WBS element for CAPEX tracking and project cost roll-up. The asset table carries a denormalized wbs_element text field; a pro,Internal - LLM Generated Cross-Domain Link
