domain,subdomain,product,attribute,column_name,business_glossary_term,type,is_primary_key,foreign_key_to,tags,value_regex,data_type,description,reference
content,asset_catalog,content_episode,content_episode_id,content_episode_id,Content Episode Identifier (ID),BIGINT,Y,,,,master_data,Unique identifier for the episode within the content management system. Primary key for the content episode entity.,ISO/IEC 11179 - Metadata Registries
content,asset_catalog,content_episode,content_rating_id,content_rating_id,Content Rating Id (Foreign Key),BIGINT,,content.rating.rating_id,,,master_data,"Foreign key linking to content.rating. Business justification: Episodes have content ratings (TV-PG, TV-MA). Normalizes content_rating string column to reference the enterprise rating taxonomy.",Internal - LLM Generated Cross-Domain Link
content,asset_catalog,content_episode,content_season_id,content_season_id,Content Season Identifier (ID),BIGINT,,content.season.season_id,,,master_data,Reference to the specific season within the series to which this episode belongs. Enables season-level grouping and rights management.,Dalet Galaxy MAM - Season Hierarchy
content,asset_catalog,content_episode,content_series_id,content_series_id,Content Series Identifier (ID),BIGINT,,content.series.series_id,,,master_data,Reference to the parent series to which this episode belongs. Links episode to its series container.,Dalet Galaxy MAM - Series Hierarchy
content,asset_catalog,content_episode,cost_center_id,cost_center_id,Cost Center Id (Foreign Key),BIGINT,,finance.cost_center.cost_center_id,,,master_data,Foreign key linking to finance.cost_center. Business justification: Episode-level cost center assignment tracks per-episode production costs beyond the aggregate production_budget. Standard in TV production finance for tracking individual episode overages and cost var,Internal - LLM Generated Cross-Domain Link
content,asset_catalog,content_episode,genre_id,genre_id,Genre Id (Foreign Key),BIGINT,,content.genre.genre_id,,,master_data,Foreign key linking to content.genre. Business justification: Episodes have genre classification. Normalizes genre_primary/genre_secondary string columns to reference the enterprise genre taxonomy.,Internal - LLM Generated Cross-Domain Link
content,asset_catalog,content_episode,grant_id,grant_id,Grant Id (Foreign Key),BIGINT,,rights.grant.grant_id,,,master_data,Foreign key linking to rights.grant. Business justification: Episodes are exploited under specific rights grants; residuals calculation and exploitation reporting require the governing grant per episode. Episode-level grant tracking is essential for guild repor,Internal - LLM Generated Cross-Domain Link
content,asset_catalog,content_episode,license_agreement_id,license_agreement_id,License Agreement Id (Foreign Key),BIGINT,,rights.license_agreement.license_agreement_id,,,master_data,Foreign key linking to rights.license_agreement. Business justification: Episode-level syndication deals (especially for high-value episodes like finales or specials) require direct linkage to license agreements for run-count tracking and residual calculations.,Internal - LLM Generated Cross-Domain Link
content,asset_catalog,content_episode,master_media_asset_id,master_media_asset_id,Master Media Asset Id (Foreign Key),BIGINT,,mediaasset.media_asset.media_asset_id,,,master_data,Foreign key linking to mediaasset.media_asset. Business justification: Broadcast playout and VOD distribution require direct lookup of the master media asset file for each episode. Traffic systems and playout automation depend on episode-to-asset mapping for scheduling a,Internal - LLM Generated Cross-Domain Link
content,asset_catalog,content_episode,production_budget_id,production_budget_id,Production Budget Id (Foreign Key),BIGINT,,finance.production_budget.production_budget_id,,,master_data,"Foreign key linking to finance.production_budget. Business justification: High-cost episodes (pilots, finales, VFX-heavy episodes) often have dedicated budget line items. Production accountants track episodic costs for above-the-line talent overages, location expenses, and ",Internal - LLM Generated Cross-Domain Link
content,asset_catalog,content_episode,revenue_stream_id,revenue_stream_id,Revenue Stream Id (Foreign Key),BIGINT,,finance.revenue_stream.revenue_stream_id,,,master_data,Foreign key linking to finance.revenue_stream. Business justification: Episode-level revenue stream assignment supports per-episode revenue tracking for TVOD per-episode purchases and syndication per-episode licensing fees. Standard in media finance for episodic content ,Internal - LLM Generated Cross-Domain Link
content,asset_catalog,content_episode,rights_content_window_id,rights_content_window_id,Rights Content Window Id (Foreign Key),BIGINT,,rights.rights_content_window.rights_content_window_id,,,master_data,"Foreign key linking to rights.rights_content_window. Business justification: Episodes have specific rights content windows governing VOD availability, geo-blocking, and platform access. Episode-level rights content window tracking is required for availability management and ri",Internal - LLM Generated Cross-Domain Link
content,asset_catalog,content_episode,rights_territory_id,rights_territory_id,Rights Territory Id (Foreign Key),BIGINT,,rights.rights_territory.rights_territory_id,,,master_data,"Foreign key linking to rights.rights_territory. Business justification: Episodes may have territory-specific rights restrictions (geo-blocking, blackouts). Per-episode territory rights clearance and VOD availability management require this FK. Standard in broadcast operat",Internal - LLM Generated Cross-Domain Link
content,asset_catalog,content_episode,royalty_rule_id,royalty_rule_id,Royalty Rule Id (Foreign Key),BIGINT,,rights.royalty_rule.royalty_rule_id,,,master_data,Foreign key linking to rights.royalty_rule. Business justification: Per-episode royalty rules govern residuals and royalty payments. Episode-level royalty rule assignment is required for accurate royalty statement generation and guild compliance reporting. No existing,Internal - LLM Generated Cross-Domain Link
content,asset_catalog,content_episode,title_id,title_id,Title Id (Foreign Key),BIGINT,,content.title.title_id,,,master_data,Foreign key linking to content.title. Business justification: Episodes ARE titles in the master catalog. Every episode should reference its title record for unified content identification and metadata management.,Internal - LLM Generated Cross-Domain Link
content,asset_catalog,content_episode,archive_date,archive_date,Archive Date,DATE,,,,,master_data,Date when the episode master was moved to long-term archive storage. Used for asset lifecycle management and storage optimization.,Dalet Galaxy - Archive Management
content,asset_catalog,content_episode,archive_location,archive_location,Archive Location,STRING,,,,,master_data,Physical or logical location identifier for the archived master copy in the Media Asset Management (MAM) system. Supports long-term preservation and retrieval.,Dalet Galaxy - Archive Management
content,asset_catalog,content_episode,aspect_ratio,aspect_ratio,Aspect Ratio,STRING,,,,4:3|16:9|21:9|1.85:1|2.39:1,master_data,"Display aspect ratio of the episode video. Affects playout configuration, transcoding profiles, and distribution format specifications.",SMPTE ST 2067 - Aspect Ratio Standards
content,asset_catalog,content_episode,audio_description_available,audio_description_available,Audio Description Available Flag,BOOLEAN,,,,,master_data,Indicates whether audio description track is available for visually impaired viewers. Required for accessibility compliance.,FCC 47 CFR 79.3 - Video Description Requirements
content,asset_catalog,content_episode,audio_format,audio_format,Audio Format,STRING,,,,stereo|5.1|7.1|dolby_atmos|dts_x,master_data,Audio channel configuration and encoding format. Affects playout system configuration and premium content positioning.,SMPTE ST 2067 - Audio Format Standards
content,asset_catalog,content_episode,broadcast_count,broadcast_count,Broadcast Count,INT,,,,,master_data,Total number of times this episode has been broadcast on linear television. Used for residuals calculation and syndication rights management.,Rightsline - Broadcast Usage Tracking
content,asset_catalog,content_episode,closed_caption_available,closed_caption_available,Closed Caption Available Flag,BOOLEAN,,,,,master_data,Indicates whether closed captioning is available for this episode. Required for FCC compliance and accessibility standards.,FCC 47 CFR Part 79 - Closed Captioning Requirements
content,asset_catalog,content_episode,content_advisory,content_advisory,Content Advisory,STRING,,,,,master_data,"Specific content warnings or advisories for viewer guidance (e.g., violence, language, adult themes). Displayed in Electronic Program Guide (EPG) and Video On Demand (VOD) interfaces.",FCC - Content Advisory Standards
content,asset_catalog,content_episode,created_timestamp,created_timestamp,Created Timestamp,TIMESTAMP,,,,,master_data,Timestamp when the episode record was first created in the content management system. Used for audit trail and data lineage tracking.,ISO 8601 - Date and Time Format
content,asset_catalog,content_episode,eidr_identifier,eidr_identifier,Entertainment Identifier Registry (EIDR) Identifier,STRING,,,,^10\.5240/[A-F0-9]{4}-[A-F0-9]{4}-[A-F0-9]{4}-[A-F0-9]{4}-[A-F0-9]{4}-[A-Z0-9]$,master_data,Globally unique identifier for the episode registered with the Entertainment Identifier Registry. Enables universal content identification across distribution platforms and rights management systems.,EIDR ISO 26324 - Entertainment Identifier Registry Standard
content,asset_catalog,content_episode,episode_number,episode_number,Episode Number,INT,,,,,master_data,Sequential number of the episode within its season. Used for ordering and identification in Electronic Program Guide (EPG) and Video On Demand (VOD) catalogs.,ATSC A/65 - Program and System Information Protocol
content,asset_catalog,content_episode,episode_status,episode_status,Episode Status,STRING,,,,in_production|post_production|ready_for_broadcast|aired|archived|withdrawn,master_data,"Current lifecycle state of the episode. Determines availability for scheduling, playout automation, and distribution to Over-The-Top (OTT) platforms.",Dalet Galaxy - Content Lifecycle Management
content,asset_catalog,content_episode,episode_type,episode_type,Episode Type,STRING,,,,,master_data,"Classification of the episode format and purpose within the series. Affects scheduling strategy, promotional treatment, and rights valuation. [ENUM-REF-CANDIDATE: standard|special|pilot|finale|recap|bonus|behind_the_scenes — 7 candidates stripped; promote to reference product]",Industry Standard Content Classification
content,asset_catalog,content_episode,keywords,keywords,Content Keywords,STRING,,,,,master_data,"Comma-separated list of keywords and tags describing episode themes, topics, and notable elements. Supports content search, discovery, and metadata enrichment.",Dublin Core Metadata Initiative - Subject Keywords
content,asset_catalog,content_episode,modified_timestamp,modified_timestamp,Modified Timestamp,TIMESTAMP,,,,,master_data,Timestamp when the episode record was last modified. Supports change tracking and data quality monitoring.,ISO 8601 - Date and Time Format
content,asset_catalog,content_episode,music_cue_sheet_submitted,music_cue_sheet_submitted,Music Cue Sheet Submitted Flag,BOOLEAN,,,,,master_data,Indicates whether the music cue sheet has been submitted for royalty collection. Required for music rights compliance and royalty distribution.,ASCAP/BMI/SESAC - Music Cue Sheet Requirements
content,asset_catalog,content_episode,original_air_date,original_air_date,Original Air Date,DATE,,,,,master_data,"The date when the episode was first broadcast on linear television. Critical for rights windowing, residuals calculation, and syndication eligibility.",Nielsen Media Research - Broadcast Date Standards
content,asset_catalog,content_episode,premiere_flag,premiere_flag,Premiere Flag,BOOLEAN,,,,,master_data,"Indicates whether this is a premiere episode (first broadcast). Used for promotional planning, upfront advertising sales, and Nielsen sweeps period strategy.",Nielsen Media Research - Premiere Designation
content,asset_catalog,content_episode,primary_language,primary_language,Primary Language Code,STRING,,,,^[a-z]{3}$,master_data,"ISO 639-3 three-letter code for the primary audio language of the episode. Used for content cataloging, rights clearance, and distribution targeting.",ISO 639-3 - Language Codes
content,asset_catalog,content_episode,production_code,production_code,Production Code,STRING,,,,,master_data,"Internal production identifier assigned during content creation. Used for tracking production workflow, post-production tasks, and archival reference.",Dalet Galaxy - Production Workflow Management
content,asset_catalog,content_episode,rerun_flag,rerun_flag,Rerun Flag,BOOLEAN,,,,,master_data,"Indicates whether this broadcast is a rerun. Affects advertising rates, Cost Per Rating Point (CPRP) calculations, and residuals payments to talent.",Wide Orbit - Rerun Tracking Standards
content,asset_catalog,content_episode,rights_clearance_status,rights_clearance_status,Rights Clearance Status,STRING,,,,cleared|pending|restricted|expired,master_data,Current status of rights clearance for broadcast and distribution. Determines whether episode can be scheduled for playout or made available on Over-The-Top (OTT) platforms.,Rightsline - Rights Clearance Management
content,asset_catalog,content_episode,runtime_seconds,runtime_seconds,Runtime in Seconds,INT,,,,,master_data,"Total duration of the episode content in seconds, excluding commercial breaks. Used for playout scheduling, ad pod allocation, and Electronic Program Guide (EPG) display.",SMPTE ST 2067 - Interoperable Master Format
content,asset_catalog,content_episode,runtime_with_ads_seconds,runtime_with_ads_seconds,Runtime With Advertisements in Seconds,INT,,,,,master_data,Total broadcast duration including commercial ad breaks. Used for linear scheduling and daypart planning.,Wide Orbit - Traffic and Scheduling Standards
content,asset_catalog,content_episode,subtitles_available,subtitles_available,Subtitles Available Flag,BOOLEAN,,,,,master_data,Indicates whether subtitle tracks are available for this episode. Supports international distribution and localization strategies.,ISO/IEC 14496-30 - Timed Text and Subtitles
content,asset_catalog,content_episode,synopsis_long,synopsis_long,Episode Synopsis Long,STRING,,,,,master_data,"Detailed description of the episode plot, themes, and key moments. Used for Video On Demand (VOD) platforms, promotional materials, and content discovery.",ATSC A/65 - Program Information Standards
content,asset_catalog,content_episode,synopsis_short,synopsis_short,Episode Synopsis Short,STRING,,,,,master_data,"Brief summary of the episode content, typically 50-100 characters. Used for Electronic Program Guide (EPG) listings and mobile applications with limited display space.",ATSC A/65 - Program Information Standards
content,asset_catalog,content_episode,title,title,Episode Title,STRING,,,,,master_data,"The official title or name of the episode. Displayed in Electronic Program Guide (EPG), Video On Demand (VOD) interfaces, and promotional materials.",EIDR Content Registration Standard
content,asset_catalog,content_episode,video_resolution,video_resolution,Video Resolution,STRING,,,,SD|HD|FHD|UHD|4K|8K,master_data,Maximum video resolution available for this episode. Determines distribution channel eligibility and Adaptive Bitrate Streaming (ABR) profile selection.,ATSC 3.0 - Video Resolution Standards
content,asset_catalog,content_episode,vod_available_from_date,vod_available_from_date,Video On Demand (VOD) Available From Date,DATE,,,,,master_data,Date when the episode becomes available on Video On Demand (VOD) platforms. Part of windowing strategy and rights holdback management.,Rightsline - Availability Windows
content,asset_catalog,content_episode,vod_available_until_date,vod_available_until_date,Video On Demand (VOD) Available Until Date,DATE,,,,,master_data,Date when the episode is removed from Video On Demand (VOD) platforms. Enforces rights windows and exclusivity periods.,Rightsline - Availability Windows
content,asset_catalog,genre,genre_id,genre_id,Genre Identifier (ID),BIGINT,Y,,,,reference_data,Unique identifier for the genre. Primary key for the genre reference taxonomy.,ISO/IEC 11179 Metadata Registry Standard
