domain,subdomain,product,attribute,column_name,business_glossary_term,type,is_primary_key,foreign_key_to,tags,value_regex,data_type,description,reference
clinical,clinical_data,biospecimen,biospecimen_id,biospecimen_id,Biospecimen Identifier (ID),BIGINT,Y,,,,master_data,Unique identifier for the biospecimen record. Primary key for the biospecimen transactional entity.,"ICH GCP E6(R2), 21 CFR Part 11"
clinical,clinical_data,biospecimen,accounts_payable_id,accounts_payable_id,Biospecimen Accounts Payable Id (Foreign Key),BIGINT,,finance.accounts_payable.accounts_payable_id,,,master_data,"Foreign key linking to finance.accounts_payable. Business justification: Biospecimen processing and storage generate vendor invoices from central labs, biobanks, and specialty testing facilities. Required for trial cost tracking, vendor payment processing, and per-protocol",Internal - LLM Generated Cross-Domain Link
clinical,clinical_data,biospecimen,clinical_enrollment_id,clinical_enrollment_id,Enrollment Id (Foreign Key),BIGINT,,clinical.clinical_enrollment.clinical_enrollment_id,,,master_data,Foreign key linking to clinical.enrollment. Business justification: Biospecimens are collected from enrolled subjects and may be analyzed by treatment arm for exploratory biomarker endpoints. Linking biospecimen to enrollment enables treatment arm stratification of bi,Internal - LLM Generated Cross-Domain Link
clinical,clinical_data,biospecimen,crf_form_id,crf_form_id,Crf Form Id (Foreign Key),BIGINT,,clinical.crf_form.crf_form_id,,,master_data,Foreign key linking to clinical.crf_form. Business justification: Biospecimen collection is documented via CRF forms (biospecimen collection CRF) in the EDC system. Linking biospecimen to crf_form enables traceability to the data collection instrument and supports s,Internal - LLM Generated Cross-Domain Link
clinical,clinical_data,biospecimen,discovery_assay_id,discovery_assay_id,Discovery Assay Id (Foreign Key),BIGINT,,discovery.assay.assay_id,,,master_data,"Foreign key linking to discovery.assay. Business justification: Translational medicine programs run validated discovery assays (target engagement, PD biomarker assays) on clinical biospecimens. The biospecimen record must reference which discovery assay is planned",Internal - LLM Generated Cross-Domain Link
clinical,clinical_data,biospecimen,dmf_id,dmf_id,Dmf Id (Foreign Key),BIGINT,,regulatory.dmf.dmf_id,,,master_data,"Foreign key linking to regulatory.dmf. Business justification: Bioanalytical methods, reference standards, and assay validation for biospecimens are documented in Drug Master Files (Type II or III). CMC regulatory teams must reference the appropriate DMF when bio",Internal - LLM Generated Cross-Domain Link
clinical,clinical_data,biospecimen,investigational_site_id,investigational_site_id,Investigational Site Identifier (ID),BIGINT,,clinical.investigational_site.investigational_site_id,,,master_data,Reference to the investigational site where the biospecimen was collected. Links to the site master record in the Clinical Trial Management System (CTMS).,"ICH GCP E6(R2), 21 CFR Part 312"
clinical,clinical_data,biospecimen,medicinal_product_id,medicinal_product_id,Medicinal Product Id (Foreign Key),BIGINT,,product.medicinal_product.medicinal_product_id,,,master_data,"Foreign key linking to product.medicinal_product. Business justification: Biomarker studies, PK/PD analysis, and translational research require linking specimens to the product being tested. Essential for dose-response modeling, bioequivalence studies, and supporting produc",Internal - LLM Generated Cross-Domain Link
clinical,clinical_data,biospecimen,parent_biospecimen_id,parent_biospecimen_id,,BIGINT,,clinical.biospecimen.biospecimen_id,self_ref_fk,,master_data,Self-referencing FK on biospecimen (parent_biospecimen_id),
clinical,clinical_data,biospecimen,patient_id,patient_id,Subject Identifier (ID),BIGINT,,patient.patient.patient_id,,,master_data,Reference to the clinical trial subject from whom this biospecimen was collected. Links to the subject master record in the clinical trial management system.,"ICH GCP E6(R2), 21 CFR Part 312"
clinical,clinical_data,biospecimen,protocol_id,protocol_id,Protocol Id (Foreign Key),BIGINT,,clinical.protocol.protocol_id,,,master_data,"Foreign key linking to clinical.protocol. Business justification: Biospecimen collection procedures, timing, and handling are defined in the protocol. Linking biospecimen to protocol version enables verification that collection followed the protocol-specified proced",Internal - LLM Generated Cross-Domain Link
clinical,clinical_data,biospecimen,reagent_inventory_lot_id,reagent_inventory_lot_id,Reagent Inventory Lot Id (Foreign Key),BIGINT,,supply.inventory_lot.inventory_lot_id,,,master_data,Foreign key linking to supply.inventory_lot. Business justification: Biospecimen processing uses reagent/consumable lots; GCP compliance (ICH E6) requires lot traceability for data integrity and result reproducibility. Role prefix distinguishes reagent lots from clinic,Internal - LLM Generated Cross-Domain Link
clinical,clinical_data,biospecimen,shipment_id,shipment_id,Shipment Id (Foreign Key),BIGINT,,supply.shipment.shipment_id,,,master_data,Foreign key linking to supply.shipment. Business justification: Biospecimens are shipped from investigational sites to central labs. Linking biospecimen to shipment supports chain-of-custody verification and specimen integrity documentation. shipment_tracking_numb,Internal - LLM Generated Cross-Domain Link
clinical,clinical_data,biospecimen,storage_location_id,storage_location_id,Storage Location Id (Foreign Key),BIGINT,,masterdata.storage_location.storage_location_id,,,master_data,"Foreign key linking to masterdata.storage_location. Business justification: Biospecimens are stored at specific controlled locations (central labs, biobanks, -80°C freezers). Required for sample tracking, chain of custody, retrieval for analysis, temperature excursion monitor",Internal - LLM Generated Cross-Domain Link
clinical,clinical_data,biospecimen,trial_id,trial_id,Trial Identifier (ID),BIGINT,,clinical.trial.trial_id,,,master_data,Reference to the clinical trial under which this biospecimen was collected. Links to the trial master record.,"ICH GCP E6(R2), 21 CFR Part 312"
clinical,clinical_data,biospecimen,unit_of_measure_id,unit_of_measure_id,Volume Uom Id (Foreign Key),BIGINT,,masterdata.unit_of_measure.unit_of_measure_id,,,master_data,"Foreign key linking to masterdata.unit_of_measure. Business justification: Specimen volume uses standardized units (mL, µL). Required for lab processing (sufficient volume checks), aliquot planning, inventory management, and CDISC SDTM LB domain mapping. Essential for specim",Internal - LLM Generated Cross-Domain Link
clinical,clinical_data,biospecimen,visit_id,visit_id,Visit Identifier (ID),BIGINT,,clinical.visit.visit_id,,,master_data,Reference to the protocol-defined visit during which this biospecimen was collected. Links to the visit schedule in the Electronic Data Capture (EDC) system.,"ICH GCP E6(R2), CDASH"
clinical,clinical_data,biospecimen,anatomical_site,anatomical_site,Anatomical Site,STRING,,,,,master_data,"The anatomical location from which the specimen was collected, such as left arm, liver, or lung. Particularly important for tissue biopsies and tumor samples.","SNOMED CT, CDISC SDTM"
clinical,clinical_data,biospecimen,assay_planned,assay_planned,Assay Planned,STRING,,,,,master_data,"The name or code of the assay or test planned to be performed on this specimen, such as pharmacokinetic (PK) analysis, biomarker assay, or genomic sequencing. Supports laboratory planning and resource allocation.","LIMS Standard, CDISC SDTM"
clinical,clinical_data,biospecimen,chain_of_custody_verified,chain_of_custody_verified,Chain of Custody Verified,BOOLEAN,,,,,master_data,"Indicates whether the chain of custody for the specimen has been verified and documented. True if verified, False otherwise. Critical for regulatory compliance and data integrity.","ICH GCP E6(R2), 21 CFR Part 11, GLP"
clinical,clinical_data,biospecimen,collection_date,collection_date,Collection Date,DATE,,,,,master_data,The date on which the biospecimen was collected from the trial subject. Critical for protocol compliance and time-to-event analysis.,"ICH GCP E6(R2), CDISC SDTM"
clinical,clinical_data,biospecimen,collection_method,collection_method,Collection Method,STRING,,,,,master_data,"The method or procedure used to collect the specimen, such as venipuncture, biopsy, or catheterization. Ensures protocol compliance and reproducibility.","ICH GCP E6(R2), GLP"
clinical,clinical_data,biospecimen,collection_timestamp,collection_timestamp,Collection Timestamp,TIMESTAMP,,,,,master_data,The precise date and time when the biospecimen was collected. Required for pharmacokinetic (PK) and pharmacodynamic (PD) studies where timing is critical.,"ICH GCP E6(R2), CDISC SDTM"
clinical,clinical_data,biospecimen,collection_visit_name,collection_visit_name,Collection Visit Name,STRING,,,,,master_data,"The protocol-defined name of the visit during which the specimen was collected, such as Baseline, Week 4, End of Treatment. Aligns with the visit schedule in the Case Report Form (CRF).","ICH GCP E6(R2), CDISC SDTM"
clinical,clinical_data,biospecimen,consent_biobank_flag,consent_biobank_flag,Consent Biobank Flag,BOOLEAN,,,,,master_data,"Indicates whether the subject provided optional consent for long-term biobanking and future research use of this specimen. True if consent was provided, False otherwise.","ICH GCP E6(R2), 21 CFR Part 50, GDPR"
clinical,clinical_data,biospecimen,consent_genetic_testing_flag,consent_genetic_testing_flag,Consent Genetic Testing Flag,BOOLEAN,,,,,master_data,"Indicates whether the subject provided optional consent for genetic or pharmacogenomic testing on this specimen. True if consent was provided, False otherwise.","ICH GCP E6(R2), 21 CFR Part 50, GDPR"
clinical,clinical_data,biospecimen,container_type,container_type,Container Type,STRING,,,,,master_data,"The type of tube or container used for specimen collection, such as EDTA tube, serum separator tube, cryovial. Critical for ensuring proper specimen handling and assay validity.","LIMS Standard, GLP"
