domain,subdomain,product,attribute,column_name,business_glossary_term,type,is_primary_key,foreign_key_to,tags,value_regex,data_type,description,reference
assortment,assortment_planning,assortment_item,assortment_item_id,assortment_item_id,Assortment Item ID,BIGINT,Y,,,,master_data,Unique identifier for the assortment item record. Primary key for this entity.,
assortment,assortment_planning,assortment_item,assortment_plan_id,assortment_plan_id,Assortment Plan ID,BIGINT,,assortment.assortment_plan.assortment_plan_id,,,master_data,Reference to the parent assortment plan that this item belongs to. Links this SKU inclusion decision to the broader merchandise planning strategy.,Oracle Retail Merchandising System - Assortment Planning
assortment,assortment_planning,assortment_item,category_id,category_id,Category ID,BIGINT,,assortment.category.category_id,,,master_data,Reference to the merchandise category this item belongs to. Links assortment decisions to category management strategies and category captain collaboration.,Oracle Retail Merchandising System - Category Hierarchy
assortment,assortment_planning,assortment_item,planogram_id,planogram_id,Planogram ID,BIGINT,,assortment.planogram.planogram_id,,,master_data,Reference to the planogram that defines the physical shelf layout for this assortment item. Links assortment strategy to visual merchandising execution.,Planogram Management System
assortment,assortment_planning,assortment_item,product_item_id,product_item_id,Product ID,BIGINT,,product.product_item.product_item_id,,,master_data,"Reference to the master product record in the product domain. Links assortment decisions to full product master data including descriptions, attributes, and hierarchy.",Oracle Retail Merchandising System - Item Management
assortment,assortment_planning,assortment_item,store_cluster_id,store_cluster_id,Store Cluster ID,BIGINT,,assortment.store_cluster.store_cluster_id,,,master_data,"Reference to the store cluster for which this assortment item is defined. Enables localized assortment strategies by grouping stores with similar demographics, format, or demand patterns.",Oracle Retail Merchandising System - Allocation
assortment,assortment_planning,assortment_item,store_location_id,store_location_id,Store ID,BIGINT,,store.store_location.store_location_id,,,master_data,Reference to an individual store for store-specific assortment overrides. Null when the item applies to the entire cluster; populated for hyper-local exceptions.,SAP Retail - Store Master
assortment,assortment_planning,assortment_item,subcategory_id,subcategory_id,Subcategory ID,BIGINT,,assortment.category.category_id,,,master_data,Reference to the merchandise subcategory for finer-grained assortment segmentation. Enables detailed space allocation and assortment breadth analysis within categories.,Oracle Retail Merchandising System - Category Hierarchy
assortment,assortment_planning,assortment_item,supplier_id,supplier_id,Vendor ID,BIGINT,,vendor.supplier.supplier_id,,,master_data,"Reference to the primary vendor or supplier for this SKU. Supports vendor assortment analysis, category captain collaboration, and DSD item management.",SAP Retail - Vendor Master
assortment,assortment_planning,assortment_item,approval_date,approval_date,Approval Date,DATE,,,,,master_data,Date when this assortment item was approved for inclusion in the plan. Tracks decision timing and supports audit trails for assortment changes.,Merchandising Governance Process
assortment,assortment_planning,assortment_item,approved_by,approved_by,Approved By,STRING,,,,,master_data,Name or identifier of the merchandising manager or category manager who approved this assortment item inclusion. Supports governance and accountability for assortment decisions.,Merchandising Governance Process
assortment,assortment_planning,assortment_item,assortment_tier,assortment_tier,Assortment Tier,STRING,,,,tier_1_must_carry|tier_2_recommended|tier_3_optional|tier_4_test,master_data,"Strategic importance tier of this SKU within the assortment. Defines priority for space allocation, inventory investment, and promotional support.",Assortment Strategy Framework
assortment,assortment_planning,assortment_item,brand_name,brand_name,Brand Name,STRING,,,,,master_data,"Brand name of the product included in the assortment. Enables brand-level assortment analysis, private-label vs national-brand mix reporting, and brand performance tracking.",Product Master Data Standards
assortment,assortment_planning,assortment_item,created_timestamp,created_timestamp,Created Timestamp,TIMESTAMP,,,,,master_data,Timestamp when this assortment item record was first created in the system. Supports audit trails and data lineage tracking.,Data Governance Standards
assortment,assortment_planning,assortment_item,effective_end_date,effective_end_date,Effective End Date,DATE,,,,,master_data,"Date when this assortment item is discontinued or removed from the plan. Null for ongoing items. Enables SKU rationalization, seasonal exits, and planned discontinuations.",Oracle Retail Merchandising System - Effective Dating
assortment,assortment_planning,assortment_item,effective_start_date,effective_start_date,Effective Start Date,DATE,,,,,master_data,"Date when this assortment item becomes active and should be carried in stores. Supports phased rollouts, seasonal transitions, and new item introduction timing.",Oracle Retail Merchandising System - Effective Dating
assortment,assortment_planning,assortment_item,gtin,gtin,Global Trade Item Number (GTIN),STRING,,,,"^[0-9]{8,14}$",master_data,"Global trade item number (UPC, EAN, or GTIN-14) for the product. Enables cross-enterprise product identification and EDI transactions with suppliers.",GS1 General Specifications
assortment,assortment_planning,assortment_item,inclusion_status,inclusion_status,Inclusion Status,STRING,,,,,master_data,"Current lifecycle status of this SKU within the assortment plan. Indicates whether the item is actively carried, newly introduced, discontinued, or represents a localized override decision. [ENUM-REF-CANDIDATE: active|discontinued|new|localized_add|localized_remove|pending|seasonal_inactive — 7 candidates stripped; promote to reference product]",Oracle Retail Merchandising System - Item Lifecycle
assortment,assortment_planning,assortment_item,introduction_date,introduction_date,Introduction Date,DATE,,,,,master_data,Date when this SKU was first introduced into the assortment. Enables new item maturity analysis and time-to-productivity measurement.,New Item Introduction Process
