domain,subdomain,product,attribute,column_name,business_glossary_term,type,is_primary_key,foreign_key_to,tags,value_regex,data_type,description,reference
fraud,case_management,case_payment_link,case_payment_link_id,case_payment_link_id,Case Payment Link - Case Payment Link Id,BIGINT,Y,,,,association_data,Primary key for the case_payment_link association,Internal - M:N Association PK
fraud,case_management,case_payment_link,cross_border_payment_id,cross_border_payment_id,Case Payment Link - Cross Border Payment Id,BIGINT,,fx.cross_border_payment.cross_border_payment_id,,,association_data,Foreign key linking to the cross‑border payment,Internal - M:N Association FK
fraud,case_management,case_payment_link,fraud_case_id,fraud_case_id,Case Payment Link - Fraud Case Id,BIGINT,,fraud.fraud_case.fraud_case_id,,,association_data,Foreign key linking to the fraud case,Internal - M:N Association FK
fraud,case_management,case_payment_link,detection_timestamp,detection_timestamp,Case Payment Link - Detection Timestamp,TIMESTAMP,,,audit,,association_data,Timestamp when the payment was linked to the fraud case,Internal - M:N Association Attribute
fraud,case_management,case_payment_link,role,role,Case Payment Link - Role,STRING,,,,,association_data,"Role of the payment in the investigation (e.g., primary, supporting, related)",Internal - M:N Association Attribute
fraud,case_management,case_status_history,case_status_history_id,case_status_history_id,Fraud Case Status History Identifier,BIGINT,Y,,,,transactional_data,System-generated unique identifier for each status transition record in the fraud case lifecycle.,Primary Key
fraud,case_management,case_status_history,country_id,country_id,Country Id (Foreign Key),BIGINT,,reference.country.country_id,,,transactional_data,Foreign key linking to reference.country. Business justification: Status history location determines regulatory jurisdiction; FK to reference.country supports compliance reporting.,Internal - LLM Generated Cross-Domain Link
fraud,case_management,case_status_history,device_fingerprint_id,device_fingerprint_id,Device Fingerprint Identifier,BIGINT,,fraud.device_fingerprint.device_fingerprint_id,"restricted,pii_biometric",,transactional_data,Reference to the device fingerprint record associated with the event.,Device Fingerprint
fraud,case_management,case_status_history,fraud_case_id,fraud_case_id,Fraud Case Identifier,BIGINT,,fraud.fraud_case.fraud_case_id,,,transactional_data,Unique identifier of the fraud case to which this status transition belongs.,Fraud Case Reference
fraud,case_management,case_status_history,actor,actor,Transition Actor,STRING,,,,,transactional_data,"Name or system identifier of the entity (analyst, automated system, or external partner) that performed the status change.",Actor Identifier
fraud,case_management,case_status_history,actor_type,actor_type,Transition Actor Type,STRING,,,,analyst|automated_system|external_partner,transactional_data,Classification of the actor that performed the transition.,Actor Type
fraud,case_management,case_status_history,case_category,case_category,Fraud Case Category,STRING,,,,payment_fraud|identity_theft|account_takeover|friendly_fraud|synthetic_identity,transactional_data,High‑level classification of the fraud type associated with the case.,Case Category
fraud,case_management,case_status_history,case_priority,case_priority,Fraud Case Priority,STRING,,,,low|medium|high|critical,transactional_data,Business‑defined priority level of the fraud case at the time of the transition.,Case Priority
