domain,subdomain,product,attribute,column_name,business_glossary_term,type,is_primary_key,foreign_key_to,tags,value_regex,data_type,description,reference
airport,baggage_handling,baggage_irregularity,baggage_irregularity_id,baggage_irregularity_id,Baggage Irregularity Identifier (ID),BIGINT,Y,,,,transactional_data,Unique identifier for the baggage irregularity record. Primary key for this entity.,IATA Resolution 780
airport,baggage_handling,baggage_irregularity,baggage_item_id,baggage_item_id,Baggage Item Id (Foreign Key),BIGINT,,airport.baggage_item.baggage_item_id,,,transactional_data,"Foreign key linking to airport.baggage_item. Business justification: baggage_irregularity is about a specific baggage_item. Currently stores bag_tag_number (STRING) for lookup. FK to baggage_item provides direct access to bag details, routing, passenger, and flight inf",Internal - LLM Generated Cross-Domain Link
airport,baggage_handling,baggage_irregularity,flight_leg_id,flight_leg_id,Flight Identifier (ID),BIGINT,,flight.flight_leg.flight_leg_id,,,transactional_data,Reference to the flight on which the baggage irregularity occurred or was discovered.,Internal Flight Operations Master
airport,baggage_handling,baggage_irregularity,general_ledger_id,general_ledger_id,General Ledger Id (Foreign Key),BIGINT,,finance.general_ledger.general_ledger_id,,,transactional_data,"Foreign key linking to finance.general_ledger. Business justification: Baggage compensation liability and interim expenses are posted to general ledger for financial statement reporting, accrual accounting, and DOT baggage mishandling cost reporting. Essential for accura",Internal - LLM Generated Cross-Domain Link
airport,baggage_handling,baggage_irregularity,occurrence_id,occurrence_id,Occurrence Id (Foreign Key),BIGINT,,safety.occurrence.occurrence_id,,,transactional_data,"Foreign key linking to safety.occurrence. Business justification: Baggage handling incidents can involve safety occurrences (equipment failures causing injury, hazmat exposure, security breaches). PIR investigations may trigger safety reports. Links baggage service ",Internal - LLM Generated Cross-Domain Link
airport,baggage_handling,baggage_irregularity,pax_profile_id,pax_profile_id,Passenger Identifier (ID),BIGINT,,passenger.profile.profile_id,,,transactional_data,Reference to the passenger who owns the mishandled baggage.,Internal Passenger Master
airport,baggage_handling,baggage_irregularity,pnr_id,pnr_id,Pnr Id (Foreign Key),BIGINT,,reservation.pnr.pnr_id,,,transactional_data,"Foreign key linking to reservation.pnr. Business justification: Baggage irregularity resolution, compensation processing, and DOT/regulatory reporting require direct linkage from the irregularity record to the passenger's booking PNR. pnr_locator is a denormalized",Internal - LLM Generated Cross-Domain Link
airport,baggage_handling,baggage_irregularity,report_station_id,report_station_id,Report Station Id (Foreign Key),BIGINT,,airport.station.station_id,,,transactional_data,Foreign key linking to airport.station. Business justification: baggage_irregularity is reported at a specific station. Currently stores report_station_code (STRING). FK to station provides access to station details and ground handler responsible. The report_stati,Internal - LLM Generated Cross-Domain Link
airport,baggage_handling,baggage_irregularity,bag_color,bag_color,Bag Color,STRING,,,,,transactional_data,Primary color of the mishandled bag as reported by the passenger.,IATA Resolution 780
airport,baggage_handling,baggage_irregularity,bag_description,bag_description,Bag Description,STRING,,,,,transactional_data,"Detailed physical description of the mishandled bag including color, brand, size, type, and distinguishing features to aid in identification and recovery.",IATA Resolution 780
