domain,subdomain,product,attribute,column_name,business_glossary_term,type,is_primary_key,foreign_key_to,tags,value_regex,data_type,description,reference
fraud,authentication_review,auth_3ds_result,auth_3ds_result_id,auth_3ds_result_id,3-D Secure Authentication Result ID (3DS_AUTH_RESULT_ID),BIGINT,Y,,,,transactional_data,Unique surrogate key for each 3-D Secure authentication outcome record.,
fraud,authentication_review,auth_3ds_result,authorization_id,authorization_id,Authorization Id (Foreign Key),BIGINT,,transaction.authorization.authorization_id,,,transactional_data,Foreign key linking to transaction.authorization. Business justification: 3DS authentication results are produced as part of the authorization flow. PSD2 SCA compliance reporting requires linking 3DS outcomes to the specific authorization record. Payments experts universall,Internal - LLM Generated Cross-Domain Link
fraud,authentication_review,auth_3ds_result,card_program_id,card_program_id,Card Program Id (Foreign Key),BIGINT,,product.card_program.card_program_id,,,transactional_data,"Foreign key linking to product.card_program. Business justification: 3DS authentication results are card-program-specific (different programs have different SCA requirements, liability shift rules, exemption eligibility) and require direct program linkage for authentic",Internal - LLM Generated Cross-Domain Link
fraud,authentication_review,auth_3ds_result,device_fingerprint_id,device_fingerprint_id,Device Fingerprint Id (Foreign Key),BIGINT,,fraud.device_fingerprint.device_fingerprint_id,"restricted,pii_biometric",,transactional_data,Foreign key linking to fraud.device_fingerprint. Business justification: auth_3ds_result stores device fingerprint as a string; linking to device_fingerprint table normalizes device data and removes redundant column.,Internal - LLM Generated Cross-Domain Link
fraud,authentication_review,auth_3ds_result,fraud_sca_challenge_id,fraud_sca_challenge_id,Fraud Sca Challenge Id (Foreign Key),BIGINT,,fraud.fraud_sca_challenge.fraud_sca_challenge_id,,,transactional_data,"Foreign key linking to fraud.fraud_sca_challenge. Business justification: A 3DS authentication result is the outcome of an SCA challenge process. The fraud_sca_challenge record captures the challenge initiation and method, while auth_3ds_result captures the authentication o",Internal - LLM Generated Cross-Domain Link
fraud,authentication_review,auth_3ds_result,gateway_request_id,gateway_request_id,Gateway Request Id (Foreign Key),BIGINT,,gateway.request.request_id,,,transactional_data,"Foreign key linking to gateway.request. Business justification: 3DS authentication results are generated from gateway authentication requests. Critical for SCA compliance tracking, linking authentication outcomes to originating API requests. Required for PSD2 audi",Internal - LLM Generated Cross-Domain Link
fraud,authentication_review,auth_3ds_result,merchant_id,merchant_id,Merchant Identifier (MERCHANT_ID),BIGINT,,merchant.merchant.merchant_id,,,transactional_data,Identifier of the merchant involved in the transaction.,
fraud,authentication_review,auth_3ds_result,regulatory_obligation_id,regulatory_obligation_id,Regulatory Obligation Id (Foreign Key),BIGINT,,compliance.regulatory_obligation.regulatory_obligation_id,,,transactional_data,Foreign key linking to compliance.regulatory_obligation. Business justification: 3DS authentication results must meet PSD2 SCA regulatory obligations for liability shift and exemption handling. Essential for regulatory compliance reporting and scheme rule adherence.,Internal - LLM Generated Cross-Domain Link
fraud,authentication_review,auth_3ds_result,scheme_id,scheme_id,Scheme Id (Foreign Key),BIGINT,,network.scheme.scheme_id,,,transactional_data,"Foreign key linking to network.scheme. Business justification: 3DS authentication is scheme-specific (Visa Secure, Mastercard Identity Check). Scheme-level 3DS compliance reporting, liability shift analysis, and ECI indicator interpretation require direct scheme ",Internal - LLM Generated Cross-Domain Link
fraud,authentication_review,auth_3ds_result,acquirer_bin,acquirer_bin,Acquirer Bank Identification Number (ACQUIRER_BIN),STRING,,,,,transactional_data,BIN of the acquiring bank that processed the transaction.,
