domain,subdomain,product,attribute,column_name,business_glossary_term,type,is_primary_key,foreign_key_to,tags,value_regex,data_type,description,reference
athlete,athlete_identity,athlete_profile,athlete_profile_id,athlete_profile_id,Athlete Profile ID,BIGINT,Y,,,,master_data,Unique surrogate identifier for the athlete profile record. Primary key for the athlete_profile data product and the single source of truth (SSOT) reference key used by all downstream athlete entities.,SAP SuccessFactors Talent Module — Employee ID
athlete,athlete_identity,athlete_profile,agent_id,agent_id,,BIGINT,,athlete.agent.agent_id,internal,,master_data,FK to athlete.agent,
athlete,athlete_identity,athlete_profile,league_id,league_id,,BIGINT,,league.league.league_id,internal,,master_data,FK to league.league,
athlete,athlete_identity,athlete_profile,team_id,team_id,,BIGINT,,league.team.team_id,internal,,master_data,FK to league.team,
athlete,athlete_identity,athlete_profile,athlete_type,athlete_type,Athlete Type,STRING,,,,player|coach|official|support_staff|prospect,master_data,"Classification of the individual's role within the sports organization. Distinguishes active players from coaching staff, officials, prospects, and support personnel for roster management and credentialing.",SAP SuccessFactors — Job Classification; League Registration Systems
athlete,athlete_identity,athlete_profile,bio,bio,Profile Biography,STRING,,,,,master_data,"Official short-form biographical narrative for the athlete, approved for public use in broadcast, digital platforms, and media guides. Managed through the content production workflow.",Dalet Galaxy — Media Asset Management; Adobe Experience Platform — Fan Engagement
athlete,athlete_identity,athlete_profile,career_status,career_status,Career Status,STRING,,,,active|retired|suspended|injured_reserve|deceased|inactive,master_data,"Current lifecycle status of the athlete's professional career. Drives roster eligibility, broadcast availability, contract activation, and league reporting. [ENUM-REF-CANDIDATE: active|retired|suspended|injured_reserve|deceased|inactive — promote to reference product]",League Operations Standards; CBA (Collective Bargaining Agreement) Roster Rules; SAP SuccessFactors Employment Status
athlete,athlete_identity,athlete_profile,country_of_birth_code,country_of_birth_code,Country of Birth Code,STRING,,,"restricted,pii_identifier",^[A-Z]{3}$,master_data,"Three-letter ISO 3166-1 alpha-3 country code for the country where the athlete was born. Distinct from nationality; used for eligibility determinations, international federation registration, and demographic analytics.",ISO 3166-1 Alpha-3; FIFA Regulations on the Status and Transfer of Players
athlete,athlete_identity,athlete_profile,data_source_system,data_source_system,Data Source System,STRING,,,,successfactors|league_registration|manual|transfer_system,master_data,"Identifies the operational system of record from which this athlete profile record was sourced or last updated (e.g., 'successfactors', 'league_registration'). Used for data lineage, reconciliation, and audit purposes in the Databricks Silver Layer.",SAP SuccessFactors; League Registration Systems; Data Governance Standards
athlete,athlete_identity,athlete_profile,date_of_birth,date_of_birth,Date of Birth,DATE,,,"restricted,pii_dob",,master_data,"Athlete's date of birth in ISO 8601 format (yyyy-MM-dd). Used for age eligibility verification, draft classification, CBA compliance, and league registration.",GDPR Article 4; FIFA Regulations on the Status and Transfer of Players; CBA Age Eligibility Rules
athlete,athlete_identity,athlete_profile,dominant_foot,dominant_foot,Dominant Foot,STRING,,,,left|right|both,master_data,"The athlete's dominant foot for sports where foot preference is analytically significant (e.g., soccer, rugby). Used in performance analytics, tactical planning, and broadcast commentary.",FIFA Technical Standards; SportsCode/Hudl Performance Analytics
athlete,athlete_identity,athlete_profile,dominant_hand,dominant_hand,Dominant Hand,STRING,,,,left|right|ambidextrous,master_data,"The athlete's dominant hand (throwing, batting, or shooting hand). Critical for performance analytics, matchup strategy, broadcast commentary, and scouting reports.",League Scouting Standards; SportsCode/Hudl Performance Analytics
athlete,athlete_identity,athlete_profile,draft_pick_number,draft_pick_number,Draft Pick Number,INT,,,,,master_data,"The overall pick number at which the athlete was selected in the league draft. Used for historical analytics, contract benchmarking, and scouting model validation.",NFL; NBA; MLB; NHL Draft Regulations
