domain,subdomain,product,attribute,column_name,business_glossary_term,type,is_primary_key,foreign_key_to,tags,value_regex,data_type,description,reference
fnb,banquet_catering,banquet_event_order,banquet_event_order_id,banquet_event_order_id,Banquet Event Order (BEO) ID,BIGINT,Y,,,,transactional_data,Unique identifier for the banquet event order. Primary key for the BEO master record.,USALI - Uniform System of Accounts for the Lodging Industry
fnb,banquet_catering,banquet_event_order,banquet_menu_package_id,banquet_menu_package_id,Menu Package ID,BIGINT,,fnb.banquet_menu_package.banquet_menu_package_id,,,transactional_data,Reference to the catering menu package selected for this event. Links to the catering menu catalog.,ISO 22000 - Food Safety Management
fnb,banquet_catering,banquet_event_order,beo_id,beo_id,Beo Id (Foreign Key),BIGINT,,event.beo.beo_id,,,transactional_data,"Foreign key linking to event.beo. Business justification: Hotel F&B operations require banquet_event_order to reference the authoritative BEO document for setup instructions, staffing, billing, and compliance. beo_number on banquet_event_order is a denormali",Internal - LLM Generated Cross-Domain Link
fnb,banquet_catering,banquet_event_order,booking_source_id,booking_source_id,Booking Source Id (Foreign Key),BIGINT,,channel.booking_source.booking_source_id,,,transactional_data,"Foreign key linking to channel.booking_source. Business justification: MICE/banquet revenue attribution requires knowing which booking source (OTA event platform, travel agent, direct sales) originated the event. Commission calculation, channel contribution reporting, an",Internal - LLM Generated Cross-Domain Link
fnb,banquet_catering,banquet_event_order,campaign_id,campaign_id,Campaign Id (Foreign Key),BIGINT,,marketing.campaign.campaign_id,,,transactional_data,"Foreign key linking to marketing.campaign. Business justification: Banquet events are frequently driven by marketing campaigns (wedding season promotions, holiday party packages, corporate event campaigns). Sales teams track campaign attribution for ROI analysis and ",Internal - LLM Generated Cross-Domain Link
fnb,banquet_catering,banquet_event_order,campaign_offer_id,campaign_offer_id,Campaign Offer Id (Foreign Key),BIGINT,,marketing.campaign_offer.campaign_offer_id,,,transactional_data,"Foreign key linking to marketing.campaign_offer. Business justification: Banquet bookings frequently use promotional offers (""Book by March 31, save 15%"", ""Complimentary champagne toast""). Event coordinators track offer codes for pricing validation, contract terms enforcem",Internal - LLM Generated Cross-Domain Link
fnb,banquet_catering,banquet_event_order,corporate_account_id,corporate_account_id,Corporate Account Id (Foreign Key),BIGINT,,guest.corporate_account.corporate_account_id,,,transactional_data,"Foreign key linking to guest.corporate_account. Business justification: Corporate accounts book banquet events for meetings and conferences. Required for direct billing setup, contract rate application, credit limit monitoring, and AR invoice generation against corporate ",Internal - LLM Generated Cross-Domain Link
fnb,banquet_catering,banquet_event_order,discount_id,discount_id,Discount Id (Foreign Key),BIGINT,,fnb.discount.discount_id,,,transactional_data,"Foreign key linking to fnb.discount. Business justification: Banquet event orders frequently have negotiated discounts applied (e.g., corporate account discounts, group booking discounts, promotional packages). The banquet_event_order table lacks a discount_id ",Internal - LLM Generated Cross-Domain Link
fnb,banquet_catering,banquet_event_order,event_booking_id,event_booking_id,Event Booking ID,BIGINT,,event.event_booking.event_booking_id,,,transactional_data,Reference to the parent event booking that originated this BEO. Links to the event domain booking record.,HTNG - Hotel Technology Next Generation standards
fnb,banquet_catering,banquet_event_order,fiscal_period_id,fiscal_period_id,Fiscal Period Id (Foreign Key),BIGINT,,finance.fiscal_period.fiscal_period_id,,,transactional_data,"Foreign key linking to finance.fiscal_period. Business justification: Event revenue period recognition: BEO revenue must be assigned to fiscal periods for USALI catering/banquet revenue reporting, period-close accruals, and budget vs. actual event revenue analysis. Stan",Internal - LLM Generated Cross-Domain Link
