domain,subdomain,product,attribute,column_name,business_glossary_term,type,is_primary_key,foreign_key_to,tags,value_regex,data_type,description,reference
asset,asset_registry,equipment_register,equipment_register_id,equipment_register_id,Equipment Register ID,BIGINT,Y,,,,master_data,Unique surrogate identifier for each equipment record in the CapEx asset register. Primary key for the equipment_register data product.,Maximo Asset Management; SAP S/4HANA PM Module
asset,asset_registry,equipment_register,account_id,account_id,Customer Account Id (Foreign Key),BIGINT,,customer.account.account_id,,,master_data,"Foreign key linking to customer.customer_account. Business justification: Asset Management – Ownership Report: tracks which customer owns each equipment for warranty, billing, and service contracts.",Internal - LLM Generated Cross-Domain Link
asset,asset_registry,equipment_register,agreement_id,agreement_id,Agreement Id (Foreign Key),BIGINT,,supplier.agreement.agreement_id,,,master_data,"Foreign key linking to supplier.agreement. Business justification: Equipment under active OEM service or warranty agreements must reference the governing agreement for warranty claim processing, service entitlement validation, and contract compliance — a standard req",Internal - LLM Generated Cross-Domain Link
asset,asset_registry,equipment_register,company_code_id,company_code_id,Company Code Id (Foreign Key),BIGINT,,finance.company_code.company_code_id,,,master_data,"Foreign key linking to finance.company_code. Business justification: Equipment belongs to a specific legal entity for asset accounting, depreciation booking, and intercompany asset transfers. In multi-entity industrial manufacturing groups, equipment_register must refe",Internal - LLM Generated Cross-Domain Link
asset,asset_registry,equipment_register,configuration_id,configuration_id,Configuration Id (Foreign Key),BIGINT,,product.configuration.configuration_id,,,master_data,"Foreign key linking to product.configuration. Business justification: As-built configuration tracking: industrial asset management requires knowing the exact product configuration installed (e.g., drive configured for specific voltage/power rating). This supports engine",Internal - LLM Generated Cross-Domain Link
asset,asset_registry,equipment_register,cost_center_id,cost_center_id,Cost Center Id (Foreign Key),BIGINT,,finance.cost_center.cost_center_id,,,master_data,"Foreign key linking to finance.cost_center. Business justification: CAPITAL: Asset acquisition cost must be allocated to a cost center for budgeting, depreciation, and financial reporting.",Internal - LLM Generated Cross-Domain Link
asset,asset_registry,equipment_register,drawing_id,drawing_id,Drawing Id (Foreign Key),BIGINT,,engineering.drawing.drawing_id,,,master_data,Foreign key linking to engineering.drawing. Business justification: Regulatory audit requires each equipment to reference its engineering drawing for compliance verification.,Internal - LLM Generated Cross-Domain Link
asset,asset_registry,equipment_register,ecn_id,ecn_id,Ecn Id (Foreign Key),BIGINT,,engineering.ecn.ecn_id,,,master_data,"Foreign key linking to engineering.ecn. Business justification: Engineering change implementation tracking: when an ECN modifies equipment design, the equipment register must reference the latest applicable ECN to reflect the current as-built configuration. Asset ",Internal - LLM Generated Cross-Domain Link
asset,asset_registry,equipment_register,engineering_specification_id,engineering_specification_id,Specification Id (Foreign Key),BIGINT,,engineering.engineering_specification.engineering_specification_id,,,master_data,Foreign key linking to engineering.specification. Business justification: Quality control tracks equipment against its engineering specification to ensure performance and safety standards.,Internal - LLM Generated Cross-Domain Link
asset,asset_registry,equipment_register,fixed_asset_id,fixed_asset_id,Fixed Asset Id (Foreign Key),BIGINT,,finance.fixed_asset.fixed_asset_id,,,master_data,"Foreign key linking to finance.fixed_asset. Business justification: Capital asset lifecycle management requires linking the physical equipment record to its financial fixed_asset record for depreciation tracking, net book value reporting, insurance valuation, and CAPE",Internal - LLM Generated Cross-Domain Link
