domain,subdomain,product,attribute,column_name,business_glossary_term,type,is_primary_key,foreign_key_to,tags,value_regex,data_type,description,reference
account,account_management,account_limit,account_limit_id,account_limit_id,Account Limit Identifier (ID),BIGINT,Y,,,,master_data,Unique identifier for the account limit record. Primary key for the account limit entity.,ISO/IEC 11179
account,account_management,account_limit,currency_id,currency_id,Currency Code,BIGINT,,reference.currency.currency_id,,,master_data,"Three-letter ISO 4217 currency code in which the limit amount is denominated (e.g., USD, EUR, GBP).",ISO 4217 - Currency and Funds Code List
account,account_management,account_limit,deposit_account_id,deposit_account_id,Account Identifier (ID),BIGINT,,account.deposit_account.deposit_account_id,,,master_data,Reference to the deposit or transactional account to which this limit applies. Links to the account master registry.,Core Banking System - Temenos T24 Account Master
account,account_management,account_limit,obligation_id,obligation_id,Obligation Id (Foreign Key),BIGINT,,compliance.obligation.obligation_id,,,master_data,"Foreign key linking to compliance.obligation. Business justification: Account limits (transaction limits, withdrawal limits) are often mandated by specific regulatory obligations (e.g., CFPB rules, BSA thresholds). The account_limit.regulatory_mandate_code is a denormal",Internal - LLM Generated Cross-Domain Link
account,account_management,account_limit,risk_limit_id,risk_limit_id,Risk Limit Id (Foreign Key),BIGINT,,risk.risk_limit.risk_limit_id,,,master_data,"Foreign key linking to risk.risk_limit. Business justification: Operational account limits (daily withdrawal, transfer caps) are cascaded from risk appetite framework risk limits. Linking account_limit to its governing risk_limit enables limit hierarchy traceabili",Internal - LLM Generated Cross-Domain Link
account,account_management,account_limit,setting_channel_id,setting_channel_id,Setting Channel Id (Foreign Key),BIGINT,,channel.channel.channel_id,,,master_data,"Foreign key linking to channel.channel. Business justification: Fraud investigation and audit trails require knowing which channel set or last modified an account limit (ATM withdrawal cap, transfer limit). When a limit override precedes a fraud event, investigato",Internal - LLM Generated Cross-Domain Link
account,account_management,account_limit,aml_threshold_flag,aml_threshold_flag,Anti-Money Laundering (AML) Threshold Flag,BOOLEAN,,,,,master_data,"Indicates whether this limit is configured to support Anti-Money Laundering (AML) monitoring and Currency Transaction Report (CTR) thresholds. True if AML-related, False otherwise.","Bank Secrecy Act (BSA), Financial Crimes Enforcement Network (FinCEN)"
account,account_management,account_limit,amount,amount,Limit Amount,"DECIMAL(18,2)",,,,,master_data,The monetary threshold or minimum balance requirement for this limit. Expressed in the currency specified in the currency_code field.,ISO 4217 - Currency Codes
account,account_management,account_limit,approval_authority,approval_authority,Approval Authority,STRING,,,,,master_data,"The role, department, or individual authorized to approve this limit configuration. May reference a user ID, role code, or department name.",Basel Committee on Banking Supervision - Internal Controls Framework
account,account_management,account_limit,approval_timestamp,approval_timestamp,Approval Timestamp,TIMESTAMP,,,,,master_data,Date and time when this limit was approved. Format: yyyy-MM-ddTHH:mm:ss.SSSXXX.,ISO 8601 - Date and Time Format
account,account_management,account_limit,breach_action_code,breach_action_code,Breach Action Code,STRING,,,,BLOCK|WARN|ALLOW_WITH_FEE|ESCALATE,master_data,"Action to be taken when a transaction would breach this limit. Values: BLOCK (reject transaction), WARN (alert but allow), ALLOW_WITH_FEE (permit with penalty charge), ESCALATE (require manual approval).",Core Banking System - Temenos T24 Transaction Controls
account,account_management,account_limit,created_timestamp,created_timestamp,Created Timestamp,TIMESTAMP,,,,,master_data,Date and time when this limit record was first created in the system. Format: yyyy-MM-ddTHH:mm:ss.SSSXXX.,ISO 8601 - Date and Time Format
account,account_management,account_limit,customer_requested_flag,customer_requested_flag,Customer Requested Flag,BOOLEAN,,,,,master_data,"Indicates whether this limit was requested by the customer (e.g., self-imposed spending limit) rather than being bank-mandated. True if customer-initiated, False if bank-imposed.",Consumer Financial Protection Bureau (CFPB) - Consumer Protection Guidelines
account,account_management,account_limit,effective_date,effective_date,Effective Date,DATE,,,,,master_data,The date from which this account limit becomes active and enforceable. Format: yyyy-MM-dd.,ISO 8601 - Date and Time Format
account,account_management,account_limit,expiry_date,expiry_date,Expiry Date,DATE,,,,,master_data,The date on which this account limit ceases to be active. Nullable for limits with no predetermined end date. Format: yyyy-MM-dd.,ISO 8601 - Date and Time Format
account,account_management,account_limit,fraud_prevention_flag,fraud_prevention_flag,Fraud Prevention Flag,BOOLEAN,,,,,master_data,"Indicates whether this limit is primarily configured for fraud prevention purposes. True if the limit is part of fraud controls, False otherwise.",Financial Crimes Enforcement Network (FinCEN) - Anti-Money Laundering Guidelines
account,account_management,account_limit,last_reset_timestamp,last_reset_timestamp,Last Reset Timestamp,TIMESTAMP,,,,,master_data,Date and time when the utilization counters were last reset. Format: yyyy-MM-ddTHH:mm:ss.SSSXXX.,ISO 8601 - Date and Time Format
