domain,subdomain,product,attribute,column_name,business_glossary_term,type,is_primary_key,foreign_key_to,tags,value_regex,data_type,description,reference
bioinformatics,genomic_analysis,alignment_result,alignment_result_id,alignment_result_id,Alignment Result ID,BIGINT,Y,,,,transactional_data,"Unique surrogate identifier for each BAM/CRAM alignment result record produced by a bioinformatics pipeline run. Primary key for this entity. Role: TRANSACTION_HEADER — this entity represents a discrete computational event (alignment job output) with its own lifecycle, QC status, and lineage.",ISO 15189; CLIA 42 CFR Part 493
bioinformatics,genomic_analysis,alignment_result,aliquot_id,aliquot_id,Aliquot Id (Foreign Key),BIGINT,,sample.aliquot.aliquot_id,,,transactional_data,"Foreign key linking to sample.aliquot. Business justification: Alignment results are produced from a specific aliquot's sequencing data. Multiple aliquots can exist per specimen, so specimen_id alone is ambiguous. Clinical chain-of-custody and CLIA/CAP compliance",Internal - LLM Generated Cross-Domain Link
bioinformatics,genomic_analysis,alignment_result,deviation_id,deviation_id,Deviation Id (Foreign Key),BIGINT,,quality.deviation.deviation_id,,,transactional_data,"Foreign key linking to quality.deviation. Business justification: Alignment results with QC failures (mapping rate below spec, high chimeric read rate) trigger formal deviations in GxP genomics labs. Linking alignment_result to quality.deviation enables investigatio",Internal - LLM Generated Cross-Domain Link
bioinformatics,genomic_analysis,alignment_result,extraction_id,extraction_id,Extraction Id (Foreign Key),BIGINT,,sample.extraction.extraction_id,,,transactional_data,"Foreign key linking to sample.extraction. Business justification: Alignment QC metrics (mapping rate, coverage uniformity) are directly correlated with extraction quality (RIN, purity). Method validation studies and QC failure investigations in genomics labs routine",Internal - LLM Generated Cross-Domain Link
bioinformatics,genomic_analysis,alignment_result,flow_cell_id,flow_cell_id,Flow Cell Identifier,BIGINT,,sequencing.flow_cell.flow_cell_id,,,transactional_data,"Identifier of the sequencing Flow Cell used to generate the raw reads for this alignment. The Flow Cell is the consumable cartridge on which sequencing chemistry occurs. Traceability to the flow cell enables investigation of batch-level sequencing failures, reagent lot issues, and instrument performance trends.",Illumina BaseSpace Sequence Hub; LabVantage LIMS; ISO 15189 Traceability Requirements
bioinformatics,genomic_analysis,alignment_result,genomic_artifact_id,genomic_artifact_id,Output Artifact Id (Foreign Key),BIGINT,,bioinformatics.genomic_artifact.genomic_artifact_id,,,transactional_data,"Foreign key linking to bioinformatics.genomic_artifact. Business justification: alignment_result is METADATA about an alignment (QC metrics, statistics). The actual BAM/CRAM file is a genomic_artifact. alignment_result currently has output_file_path, output_file_format, output_fi",Internal - LLM Generated Cross-Domain Link
bioinformatics,genomic_analysis,alignment_result,library_id,library_id,Library Id (Foreign Key),BIGINT,,sequencing.library.library_id,,,transactional_data,"Foreign key linking to sequencing.library. Business justification: Alignment results are library-specific outputs required for library QC, coverage analysis, and prep troubleshooting. Labs use this to identify failed libraries, optimize prep protocols, and determine ",Internal - LLM Generated Cross-Domain Link
bioinformatics,genomic_analysis,alignment_result,library_prep_reagent_catalog_id,library_prep_reagent_catalog_id,Library Prep Reagent Catalog Id (Foreign Key),BIGINT,,reagent.catalog.catalog_id,,,transactional_data,"Foreign key linking to reagent.reagent_catalog. Business justification: Alignment QC metrics (duplicate rate, insert size distribution, GC bias) are library prep chemistry-dependent. Troubleshooting workflow: when coverage uniformity degrades, correlate to library prep re",Internal - LLM Generated Cross-Domain Link
bioinformatics,genomic_analysis,alignment_result,model_id,model_id,Model Id (Foreign Key),BIGINT,,instrument.model.model_id,,,transactional_data,"Foreign key linking to instrument.model. Business justification: Platform-specific QC benchmarking and method validation reports stratify alignment metrics (mapping rate, coverage uniformity) by instrument model. A genomics bioinformatics engineer expects alignment",Internal - LLM Generated Cross-Domain Link
bioinformatics,genomic_analysis,alignment_result,pipeline_run_id,pipeline_run_id,Pipeline Run ID,BIGINT,,bioinformatics.pipeline_run.pipeline_run_id,,,transactional_data,"Reference to the bioinformatics pipeline run that produced this alignment result. Links the alignment output back to the specific pipeline execution context, enabling full data lineage from raw FASTQ input to aligned output. Satisfies PARTY_REFERENCE / RESOURCE_REFERENCE category for TRANSACTION_HEADER role.",ISO 15189; GxP Data Integrity Guidelines; ALCOA+ Principles
bioinformatics,genomic_analysis,alignment_result,qc_result_id,qc_result_id,Qc Result Id (Foreign Key),BIGINT,,quality.qc_result.qc_result_id,,,transactional_data,"Foreign key linking to quality.qc_result. Business justification: Alignment results depend on upstream sample QC (DNA integrity, concentration, purity) performed in laboratory. Poor alignment metrics often trace to failed sample QC. Enables integrated quality invest",Internal - LLM Generated Cross-Domain Link
bioinformatics,genomic_analysis,alignment_result,run_sample_id,run_sample_id,Run Sample Id (Foreign Key),BIGINT,,sample.run_sample.run_sample_id,,,transactional_data,Foreign key linking to sample.run_sample. Business justification: Alignment results are produced per run_sample (per-sample per-lane sequencing record). LIMS-to-bioinformatics result reconciliation for clinical reporting requires linking alignment results to the LIM,Internal - LLM Generated Cross-Domain Link
bioinformatics,genomic_analysis,alignment_result,sample_specimen_id,sample_specimen_id,Sample ID,BIGINT,,sample.sample_specimen.sample_specimen_id,,,transactional_data,"Reference to the biological sample that was sequenced and aligned. Establishes traceability from the alignment result back to the originating sample, supporting clinical reporting, regulatory audit, and downstream variant analysis workflows.",ISO 15189; CLIA 42 CFR Part 493; CAP Accreditation Standards
bioinformatics,genomic_analysis,alignment_result,sequencing_run_id,sequencing_run_id,Sequencing Run Id (Foreign Key),BIGINT,,sequencing.sequencing_run.sequencing_run_id,,,transactional_data,"Foreign key linking to sequencing.sequencing_run. Business justification: Alignment results must trace to originating sequencing run for quality control, coverage analysis, and reprocessing decisions. Essential for clinical laboratories to validate alignment quality against",Internal - LLM Generated Cross-Domain Link
bioinformatics,genomic_analysis,alignment_result,submission_id,submission_id,Submission Id (Foreign Key),BIGINT,,regulatory.submission.submission_id,,,transactional_data,"Foreign key linking to regulatory.submission. Business justification: Alignment QC metrics (coverage depth, mapping rate) establish analytical validity in regulatory submissions for NGS-based IVDs. New attribute links alignment results to submissions for performance cla",Internal - LLM Generated Cross-Domain Link
bioinformatics,genomic_analysis,alignment_result,validation_study_id,validation_study_id,Validation Study Id (Foreign Key),BIGINT,,quality.validation_study.validation_study_id,,,transactional_data,Foreign key linking to quality.validation_study. Business justification: Alignment results generated during pipeline validation studies must be linked to the quality.validation_study for traceability. Regulatory submissions require demonstrating which alignment results sup,Internal - LLM Generated Cross-Domain Link
bioinformatics,genomic_analysis,alignment_result,aligner_tool,aligner_tool,Aligner Tool Name,STRING,,,,BWA-MEM|BWA-MEM2|DRAGEN|STAR|Bowtie2|minimap2,transactional_data,"Name of the alignment software tool used to produce this result (e.g., BWA-MEM, BWA-MEM2, DRAGEN, STAR, Bowtie2, minimap2). The choice of aligner affects sensitivity, specificity, and computational cost. Required for reproducibility and regulatory method validation documentation.",ISO 15189; FDA 21 CFR Part 11; Bioinformatics Pipeline Validation Guidelines
bioinformatics,genomic_analysis,alignment_result,aligner_version,aligner_version,Aligner Tool Version,STRING,,,,^[0-9]+\.[0-9]+(\.[0-9]+)?(-[A-Za-z0-9.]+)?$,transactional_data,"Semantic version string of the aligner tool used (e.g., 0.7.17, 2.2.1). Version tracking is mandatory for bioinformatics method validation, regulatory submissions (FDA, EMA), and reproducibility of clinical genomic results. A version change may require re-validation under ISO 15189 and CLIA.",FDA 21 CFR Part 11; ISO 15189; ICH E6 GCP; GxP Software Validation
bioinformatics,genomic_analysis,alignment_result,alignment_timestamp,alignment_timestamp,Alignment Completion Timestamp,TIMESTAMP,,,,,transactional_data,"The date and time at which the alignment job completed and the BAM/CRAM output file was finalized. Represents the principal real-world business event time for this record. Used for Turnaround Time (TAT) calculations, SLA monitoring, and pipeline performance analytics. Satisfies BUSINESS_EVENT_TIMESTAMP category.",ISO 15189; CLIA TAT Requirements; GxP ALCOA+ Principles
bioinformatics,genomic_analysis,alignment_result,chimeric_read_rate_pct,chimeric_read_rate_pct,Chimeric Read Rate Percentage,"DECIMAL(6,3)",,,,,transactional_data,"Percentage of reads flagged as chimeric (reads where the two ends map to different chromosomes or distant genomic locations). Elevated chimeric rates indicate library preparation artifacts, structural variant signals, or sequencing errors. Monitored as a QC metric in clinical WGS and structural variant detection workflows.",STAR Aligner Documentation; Picard CollectAlignmentSummaryMetrics; ACMG/AMP Sequencing QC Guidelines
