domain,subdomain,product,attribute,column_name,business_glossary_term,type,is_primary_key,foreign_key_to,tags,value_regex,data_type,description,reference
biostatistics,analytical_outputs,adam_dataset_spec,adam_dataset_spec_id,adam_dataset_spec_id,Analysis Data Model (ADaM) Dataset Specification ID,BIGINT,Y,,,,master_data,Unique surrogate identifier for each ADaM dataset specification record. Primary key for this entity. Role: MASTER_RESOURCE.,CDISC ADaM Implementation Guide
biostatistics,analytical_outputs,adam_dataset_spec,analysis_population_id,analysis_population_id,Analysis Population Id (Foreign Key),BIGINT,,biostatistics.analysis_population.analysis_population_id,,,master_data,Foreign key linking to biostatistics.analysis_population. Business justification: adam_dataset_spec has analysis_population (STRING) indicating which analysis population the dataset serves. Normalizing to a FK to analysis_population.analysis_population_id enforces referential integ,Internal - LLM Generated Cross-Domain Link
biostatistics,analytical_outputs,adam_dataset_spec,edc_study_build_id,edc_study_build_id,Edc Study Build Id (Foreign Key),BIGINT,,data.edc_study_build.edc_study_build_id,,,master_data,"Foreign key linking to data.edc_study_build. Business justification: ADaM dataset specs are programmed against source data structures defined in a specific EDC build. When the EDC build changes, ADaM specs must be reviewed for impact. Domain experts expect this link fo",Internal - LLM Generated Cross-Domain Link
biostatistics,analytical_outputs,adam_dataset_spec,lab_panel_id,lab_panel_id,Lab Panel Id (Foreign Key),BIGINT,,laboratory.lab_panel.lab_panel_id,,,master_data,"Foreign key linking to laboratory.lab_panel. Business justification: ADaM ADLB datasets are sourced from specific lab panels. ADaM programmers and validators must trace which lab panel definition (analyte list, SDTM domain, CDISC codes) feeds a given dataset spec. This",Internal - LLM Generated Cross-Domain Link
biostatistics,analytical_outputs,adam_dataset_spec,sap_id,sap_id,Statistical Analysis Plan (SAP) ID,BIGINT,,biostatistics.sap.sap_id,,,master_data,Reference to the Statistical Analysis Plan that governs the derivation rules and analysis objectives for this ADaM dataset. Ensures traceability from dataset design to the approved SAP.,ICH E9 Statistical Principles; CDISC ADaM Implementation Guide
biostatistics,analytical_outputs,adam_dataset_spec,sdtm_dataset_id,sdtm_dataset_id,Sdtm Dataset Id (Foreign Key),BIGINT,,data.sdtm_dataset.sdtm_dataset_id,,,master_data,"Foreign key linking to data.sdtm_dataset. Business justification: ADaM dataset specs are derived from specific SDTM datasets. Biostatisticians and programmers reference the source SDTM dataset record for version, QC status, and data cut date when building ADaM specs",Internal - LLM Generated Cross-Domain Link
biostatistics,analytical_outputs,adam_dataset_spec,study_id,study_id,Study ID,BIGINT,,study.study.study_id,,,master_data,Reference to the clinical study for which this ADaM dataset specification is authored. Links the specification to its parent protocol and study context.,CDISC ADaM Implementation Guide; ICH E6(R2) GCP
biostatistics,analytical_outputs,adam_dataset_spec,submission_id,submission_id,Submission Id (Foreign Key),BIGINT,,regulatory.submission.submission_id,,,master_data,Foreign key linking to regulatory.submission. Business justification: ADaM datasets are submitted to FDA/EMA as CDISC-required components of NDA/BLA/MAA submissions. The submission_flag attribute on adam_dataset_spec confirms this business reality. Direct FK supports su,Internal - LLM Generated Cross-Domain Link
biostatistics,analytical_outputs,adam_dataset_spec,adam_ig_version,adam_ig_version,ADaM Implementation Guide (IG) Version,STRING,,,,,master_data,"Version of the CDISC ADaM Implementation Guide to which this dataset specification conforms (e.g., 'ADaM IG v1.3', 'ADSL v1.1', 'BDS v1.1'). Required for regulatory submission conformance validation.",CDISC ADaM Implementation Guide; FDA Study Data Technical Conformance Guide; EMA Data Standards
biostatistics,analytical_outputs,adam_dataset_spec,analysis_variable_flag,analysis_variable_flag,Analysis Variable Flag,BOOLEAN,,,,,master_data,"Indicates whether this variable is a primary analysis variable (AVAL, AVALC, or equivalent) used directly in statistical analyses and TLF production. True = analysis variable; False = supporting/descriptive variable. Guides programmer prioritization.",CDISC ADaM Implementation Guide v1.3; ICH E9 Statistical Principles
