domain,subdomain,product,attribute,column_name,business_glossary_term,type,is_primary_key,foreign_key_to,tags,value_regex,data_type,description,reference
design,document_control,change_notice,change_notice_id,change_notice_id,Change Notice ID,BIGINT,Y,,,,transactional_data,Unique identifier for the engineering change notice (ECN) or design change notice. Primary key for the change_notice product.,ISO 9001 Quality Management Systems
design,document_control,change_notice,agreement_id,agreement_id,Agreement Id (Foreign Key),BIGINT,,contract.agreement.agreement_id,,,transactional_data,Foreign key linking to contract.agreement. Business justification: Ensures each change notice is tied to the governing agreement for impact analysis and contractual approval workflow.,Internal - LLM Generated Cross-Domain Link
design,document_control,change_notice,asset_id,asset_id,Asset Id (Foreign Key),BIGINT,,equipment.asset.asset_id,,,transactional_data,"Foreign key linking to equipment.asset. Business justification: Design change notices in construction are frequently raised against specific equipment assets (e.g., foundation redesign for a turbine, revised electrical specs for a generator). Linking change_notice",Internal - LLM Generated Cross-Domain Link
design,document_control,change_notice,client_account_id,client_account_id,Client Account Id (Foreign Key),BIGINT,,client.account.account_id,,,transactional_data,Foreign key linking to client.account. Business justification: Change notices in construction are formally raised against or directed to the client organisation for approval and cost/schedule impact agreement. Client-level change notice reporting (total change va,Internal - LLM Generated Cross-Domain Link
design,document_control,change_notice,construction_project_id,construction_project_id,Project ID,BIGINT,,project.construction_project.construction_project_id,,,transactional_data,Reference to the construction project to which this change notice applies.,PMI PMBOK
design,document_control,change_notice,contract_change_order_id,contract_change_order_id,Contract Change Order Id (Foreign Key),BIGINT,,contract.contract_change_order.contract_change_order_id,,,transactional_data,Foreign key linking to contract.contract_change_order. Business justification: Design Change Notices trigger Contract Change Orders in construction. The CCO cost/schedule impact assessment process requires tracing back to the originating design change notice. `change_order_refer,Internal - LLM Generated Cross-Domain Link
design,document_control,change_notice,craft_worker_id,craft_worker_id,Originator Worker Id (Foreign Key),BIGINT,,workforce.craft_worker.craft_worker_id,,,transactional_data,Foreign key linking to workforce.craft_worker. Business justification: Change notice originator is typically a site foreman (craft worker) who identifies the need for a design change (Change Management Process).,Internal - LLM Generated Cross-Domain Link
design,document_control,change_notice,env_impact_assessment_id,env_impact_assessment_id,Env Impact Assessment Id (Foreign Key),BIGINT,,compliance.env_impact_assessment.env_impact_assessment_id,,,transactional_data,Foreign key linking to compliance.env_impact_assessment. Business justification: Significant design changes may require EIA re-assessment or trigger EIA amendment obligations. Linking change_notice to env_impact_assessment enables compliance teams to track which design changes tri,Internal - LLM Generated Cross-Domain Link
design,document_control,change_notice,finance_cost_code_id,finance_cost_code_id,Finance Cost Code Id (Foreign Key),BIGINT,,finance.cost_code.cost_code_id,,,transactional_data,Foreign key linking to finance.cost_code. Business justification: Change Notice Cost Impact Report requires linking each notice to the specific cost code impacted for budgeting and variance analysis.,Internal - LLM Generated Cross-Domain Link
design,document_control,change_notice,material_master_id,material_master_id,Material Material Master Id (Foreign Key),BIGINT,,material.master.master_id,,,transactional_data,Foreign key linking to material.material_master. Business justification: Change notices often affect material selections; linking to material_master records the impacted material.,Internal - LLM Generated Cross-Domain Link
design,document_control,change_notice,originator_contact_id,originator_contact_id,Originator Contact Id (Foreign Key),BIGINT,,client.contact.contact_id,,,transactional_data,Foreign key linking to client.contact. Business justification: Change notices are originated by a client contact; linking enables change log reporting and responsibility tracking.,Internal - LLM Generated Cross-Domain Link
