domain,subdomain,product,attribute,column_name,business_glossary_term,type,is_primary_key,foreign_key_to,tags,value_regex,data_type,description,reference
formulation,change_management,formula_change_request,formula_change_request_id,formula_change_request_id,Formula Change Request Identifier,BIGINT,Y,,,,transactional_data,System-generated unique identifier for the formula change request.,Internal MOC Procedure
formulation,change_management,formula_change_request,account_id,account_id,Account Id (Foreign Key),BIGINT,,customer.account.account_id,,,transactional_data,"Foreign key linking to customer.account. Business justification: CUSTOMER‑INITIATED CHANGE REQUEST: Records the originating customer account for formula change requests, needed for traceability and SLA reporting.",Internal - LLM Generated Cross-Domain Link
formulation,change_management,formula_change_request,cost_center_id,cost_center_id,Cost Center Id (Foreign Key),BIGINT,,finance.cost_center.cost_center_id,,,transactional_data,Foreign key linking to finance.cost_center. Business justification: Change‑request cost impact is tracked against a cost center for financial approval and budgeting.,Internal - LLM Generated Cross-Domain Link
formulation,change_management,formula_change_request,employee_id,employee_id,Requestor Identifier,BIGINT,,workforce.employee.employee_id,"confidential,pii",,transactional_data,Identifier of the employee or stakeholder who originated the change request.,Internal HR Directory
formulation,change_management,formula_change_request,equipment_id,equipment_id,Equipment Id (Foreign Key),BIGINT,,maintenance.equipment.equipment_id,,,transactional_data,Foreign key linking to maintenance.equipment. Business justification: Formulation change requests often mandate equipment modifications; linking to equipment supports MOC tracking and compliance reporting.,Internal - LLM Generated Cross-Domain Link
formulation,change_management,formula_change_request,management_of_change_id,management_of_change_id,,BIGINT,,ehs.management_of_change.management_of_change_id,,,transactional_data,"FK to ehs.management_of_change.management_of_change_id — Formula change requests must link to the master MOC record in EHS for PSM/OSHA compliance. Without this FK, cannot trace formulation changes back to the formal MOC lifecycle.",
formulation,change_management,formula_change_request,primary_formula_material_master_id,primary_formula_material_master_id,Original Component Identifier,BIGINT,,rawmaterial.material_master.material_master_id,,,transactional_data,Identifier of the component being replaced in the formulation.,Product Master Data
formulation,change_management,formula_change_request,profit_center_id,profit_center_id,Profit Center Id (Foreign Key),BIGINT,,finance.profit_center.profit_center_id,,,transactional_data,Foreign key linking to finance.profit_center. Business justification: Change‑request financial impact is evaluated against the responsible profit center for decision making.,Internal - LLM Generated Cross-Domain Link
formulation,change_management,formula_change_request,rd_project_id,rd_project_id,Rd Project Id (Foreign Key),BIGINT,,research.project.project_id,,,transactional_data,"Foreign key linking to research.project. Business justification: Change Request Origin Tracking ties each formula change request to the R&D project that initiated it, supporting governance and audit.",Internal - LLM Generated Cross-Domain Link
formulation,change_management,formula_change_request,additional_comments,additional_comments,Additional Comments,STRING,,,,,transactional_data,Free‑form field for any extra information or notes related to the change request.,Internal MOC Procedure
formulation,change_management,formula_change_request,approval_decision,approval_decision,Approval Decision,STRING,,,,approved|rejected|needs_more_info,transactional_data,Outcome of the most recent approval action.,Internal MOC Procedure
formulation,change_management,formula_change_request,approval_stage,approval_stage,Approval Stage,STRING,,,,initial_review|technical_review|regulatory_review|final_approval,transactional_data,Current stage in the multi‑step approval workflow.,Internal MOC Procedure
formulation,change_management,formula_change_request,approval_timestamp,approval_timestamp,Approval Timestamp,TIMESTAMP,,,,,transactional_data,Date‑time when the latest approval decision was recorded.,Internal MOC Procedure
