domain,subdomain,product,attribute,column_name,business_glossary_term,type,is_primary_key,foreign_key_to,tags,value_regex,data_type,description,reference
conflict,ethical_compliance,conflict_exception,conflict_exception_id,conflict_exception_id,Conflict Exception Identifier (ID),BIGINT,Y,,,,master_data,Unique identifier for the conflict exception record. Primary key.,Internal Data Management Standard
conflict,ethical_compliance,conflict_exception,conflict_rule_id,conflict_rule_id,Conflict Rule Id (Foreign Key),BIGINT,,conflict.rule.rule_id,,,master_data,Foreign key linking to conflict.rule. Business justification: Links exceptions to the specific conflict rules they override or modify. Exceptions are granted as deviations from standard rules; this FK captures which rule is being excepted. Removes redundant regu,Internal - LLM Generated Cross-Domain Link
conflict,ethical_compliance,conflict_exception,practice_area_id,practice_area_id,Practice Area Id (Foreign Key),BIGINT,,service.practice_area.practice_area_id,,,master_data,"Foreign key linking to service.practice_area. Business justification: Conflict exceptions are granted for specific practice areas where firm policy allows flexibility (e.g., transactional same-side exceptions). Exception approval workflows and usage tracking are practic",Internal - LLM Generated Cross-Domain Link
conflict,ethical_compliance,conflict_exception,register_id,register_id,Risk Register Id (Foreign Key),BIGINT,,risk.register.register_id,,,master_data,"Foreign key linking to risk.risk_register. Business justification: Conflict exceptions (approved deviations from conflict rules) represent accepted risks requiring tracking, periodic review, and governance oversight. Standard exception-based risk acceptance workflow.",Internal - LLM Generated Cross-Domain Link
conflict,ethical_compliance,conflict_exception,regulatory_obligation_id,regulatory_obligation_id,Regulatory Obligation Id (Foreign Key),BIGINT,,compliance.regulatory_obligation.regulatory_obligation_id,,,master_data,Foreign key linking to compliance.regulatory_obligation. Business justification: Conflict exceptions must be justified against regulatory obligations to ensure they do not violate mandatory rules. Exception approval workflow requires regulatory compliance review. Links exception t,Internal - LLM Generated Cross-Domain Link
conflict,ethical_compliance,conflict_exception,approval_date,approval_date,Approval Date,DATE,,,,,master_data,Date on which the exception was formally approved and became effective.,Internal Conflict Management Policy
conflict,ethical_compliance,conflict_exception,approver_name,approver_name,Approver Name,STRING,,,confidential,,master_data,Full name of the individual or committee chair who approved this exception.,Internal Governance Policy
conflict,ethical_compliance,conflict_exception,approving_authority,approving_authority,Approving Authority,STRING,,,,managing_partner|ethics_committee|general_counsel|conflicts_counsel|risk_management_committee,master_data,"The role or body that approved this exception: managing partner, ethics committee, general counsel, conflicts counsel, or risk management committee.","ABA Model Rules of Professional Conduct, Internal Governance Policy"
conflict,ethical_compliance,conflict_exception,audit_trail_notes,audit_trail_notes,Audit Trail Notes,STRING,,,,,master_data,"Free-text field for recording audit notes, review comments, or historical context related to the exception approval and usage.",Internal Audit and Compliance Policy
conflict,ethical_compliance,conflict_exception,client_category,client_category,Client Category,STRING,,,,,master_data,"Category or classification of clients covered by this exception (e.g., Fortune 500 financial institutions, approved nonprofit organizations, government entities).",Internal Client Classification Standard
conflict,ethical_compliance,conflict_exception,client_consent_required,client_consent_required,Client Consent Required,BOOLEAN,,,,,master_data,"Indicates whether informed client consent is required when applying this exception, even though it is pre-approved.","ABA Model Rules 1.7, 1.9"
conflict,ethical_compliance,conflict_exception,conflict_exception_status,conflict_exception_status,Exception Status,STRING,,,,active|suspended|expired|revoked|pending_review|draft,master_data,"Current lifecycle status of the exception: active (in force), suspended (temporarily inactive), expired (past review date), revoked (terminated), pending review (awaiting approval), or draft (not yet approved).",Internal Conflict Management Policy
conflict,ethical_compliance,conflict_exception,created_timestamp,created_timestamp,Created Timestamp,TIMESTAMP,,,,,master_data,Timestamp when this exception record was first created in the conflict management system.,Internal Data Management Standard
conflict,ethical_compliance,conflict_exception,effective_from_date,effective_from_date,Effective From Date,DATE,,,,,master_data,Date from which this exception is valid and may be applied to conflict clearance decisions.,Internal Conflict Management Policy
