domain,subdomain,product,attribute,column_name,business_glossary_term,type,is_primary_key,foreign_key_to,tags,value_regex,data_type,description,reference
inventory,facility_operations,hazmat_storage_rule,hazmat_storage_rule_id,hazmat_storage_rule_id,Hazardous Material (HAZMAT) Storage Rule ID,BIGINT,Y,,,,reference_data,"Unique surrogate identifier for each hazardous material storage compatibility and segregation rule record. Primary key for the hazmat_storage_rule reference entity. [_canonical_skip_reason: Entity role classified as REFERENCE_LOOKUP — defines a codified regulatory/operational rule set governing chemical storage compatibility; no per-role minimum categories apply, but comprehensive coverage is still provided for enterprise utility.]",SAP EWM; GHS; NFPA 400; UN Model Regulations
inventory,facility_operations,hazmat_storage_rule,cas_registry_id,cas_registry_id,Cas Registry Id (Foreign Key),BIGINT,,rawmaterial.cas_registry.cas_registry_id,,,reference_data,Foreign key linking to rawmaterial.cas_registry. Business justification: Hazmat storage rules in chemical manufacturing are authored for specific chemical substances identified by CAS number. Linking hazmat_storage_rule to cas_registry enables automated rule lookup during ,Internal - LLM Generated Cross-Domain Link
inventory,facility_operations,hazmat_storage_rule,approval_date,approval_date,Rule Approval Date,DATE,,,,,reference_data,Date on which this storage rule was formally approved by the designated EHS authority. Part of the MOC documentation chain. Required for OSHA PSM compliance audits and ISO 9001 document control records.,OSHA PSM 29 CFR 1910.119; ISO 9001; ISO 45001; ACC Responsible Care
inventory,facility_operations,hazmat_storage_rule,approved_by,approved_by,Rule Approved By (EHS Authority),STRING,,,,,reference_data,"Name or employee identifier of the EHS Manager, Process Safety Engineer, or Regulatory Affairs Officer who formally approved this storage rule for operational use. Required for MOC (Management of Change) documentation and regulatory audit trails per OSHA PSM and ISO 45001.",OSHA PSM 29 CFR 1910.119; ISO 45001; ISO 9001; ACC Responsible Care
inventory,facility_operations,hazmat_storage_rule,classification_system,classification_system,Hazard Classification System,STRING,,,,,reference_data,"Primary hazard classification system under which this storage rule is defined (e.g., GHS for global chemical classification, NFPA for US fire codes, UN for transport, IMDG for maritime, CLP for EU). Determines which regulatory framework governs the rule's applicability. [ENUM-REF-CANDIDATE: GHS|NFPA|UN|DOT|IMDG|IATA|CLP|WHMIS — 8 candidates stripped; promote to reference product]",GHS Purple Book; NFPA 704; UN Model Regulations; IMDG Code; CLP Regulation (EC) No 1272/2008
inventory,facility_operations,hazmat_storage_rule,created_timestamp,created_timestamp,Record Created Timestamp,TIMESTAMP,,,,,reference_data,Timestamp when this hazmat storage rule record was first created in the system. Provides audit trail for rule origination. Formatted as yyyy-MM-ddTHH:mm:ss.SSSXXX per enterprise data standards.,ISO 9001; SOX; Intelex EHS Management
inventory,facility_operations,hazmat_storage_rule,effective_date,effective_date,Rule Effective Date,DATE,,,,,reference_data,Date from which this storage rule version becomes enforceable in warehouse operations. Rules with a future effective date are loaded into SAP EWM in draft status and activated on the effective date. Supports regulatory transition periods.,ISO 9001; Intelex EHS Management; SAP EWM; OSHA; EPA
inventory,facility_operations,hazmat_storage_rule,epa_regulatory_citation,epa_regulatory_citation,Environmental Protection Agency (EPA) Regulatory Citation,STRING,,,,,reference_data,"Specific EPA regulatory citation (CFR part and section) that mandates or informs this storage rule (e.g., '40 CFR Part 112', '40 CFR Part 68 RMP', '40 CFR Part 264 Subpart I'). Used in environmental compliance reporting and audit documentation submitted to EPA.",EPA 40 CFR Part 112; EPA 40 CFR Part 68; EPA 40 CFR Part 264; TSCA
inventory,facility_operations,hazmat_storage_rule,expiry_date,expiry_date,Rule Expiry Date,DATE,,,,,reference_data,"Date on which this storage rule version expires or is superseded. Null indicates the rule is open-ended with no planned expiry. When populated, the system automatically transitions the rule to 'superseded' status and activates the replacement rule version.",ISO 9001 Document Control; Intelex EHS Management; SAP EWM
inventory,facility_operations,hazmat_storage_rule,fire_suppression_required,fire_suppression_required,Fire Suppression System Required Flag,BOOLEAN,,,,,reference_data,"Indicates whether an automatic fire suppression system (sprinkler, deluge, foam, or dry chemical) is required at the storage location for chemicals governed by this rule. Drives facility engineering requirements and influences NFPA 400 maximum allowable quantity multipliers.",NFPA 400; NFPA 13; NFPA 30; IFC Chapter 50; OSHA 29 CFR 1910.159
