domain,subdomain,product,attribute,column_name,business_glossary_term,type,is_primary_key,foreign_key_to,tags,value_regex,data_type,description,reference
distribution,inventory_control,carton,carton_id,carton_id,Carton Identifier,BIGINT,Y,,,,master_data,Primary key for carton,
distribution,inventory_control,carton,parent_carton_id,parent_carton_id,,BIGINT,,distribution.carton.carton_id,self_ref_fk,,master_data,Self-referencing FK on carton (parent_carton_id),
distribution,inventory_control,carton,supplier_id,supplier_id,,BIGINT,,procurement.supplier.supplier_id,internal,,master_data,FK to procurement.supplier,
distribution,inventory_control,carton,carton_code,carton_code,,STRING,,,,,master_data,Business code or barcode representing the carton type.,
distribution,inventory_control,carton,carton_type,carton_type,,STRING,,,,,master_data,Classification of the carton based on usage and design.,
distribution,inventory_control,carton,cold_chain_compliant,cold_chain_compliant,,BOOLEAN,,,,,master_data,Indicates if the carton meets cold chain requirements for temperature-sensitive goods.,
distribution,inventory_control,carton,created_timestamp,created_timestamp,,TIMESTAMP,,,,,master_data,Timestamp when the carton record was created.,
distribution,inventory_control,carton,description,description,,STRING,,,,,master_data,Textual description of the carton.,
distribution,inventory_control,carton,dimensions_height_cm,dimensions_height_cm,,"DECIMAL(10,2)",,,,,master_data,Physical height of the carton in centimeters.,
distribution,inventory_control,carton,dimensions_length_cm,dimensions_length_cm,,"DECIMAL(10,2)",,,,,master_data,Physical length of the carton in centimeters.,
distribution,inventory_control,carton,dimensions_width_cm,dimensions_width_cm,,"DECIMAL(10,2)",,,,,master_data,Physical width of the carton in centimeters.,
distribution,inventory_control,carton,inspection_status,inspection_status,,STRING,,,,,master_data,Result of the latest inspection of the carton.,
distribution,inventory_control,carton,is_reusable,is_reusable,,BOOLEAN,,,,,master_data,Indicates whether the carton is designed for reuse.,
distribution,inventory_control,carton,last_inspection_date,last_inspection_date,,DATE,,,,,master_data,Date of the most recent inspection of the carton.,
distribution,inventory_control,carton,manufacturer,manufacturer,,STRING,,,,,master_data,Name of the entity that manufactures the carton.,
distribution,inventory_control,carton,material,material,,STRING,,,,,master_data,Primary material composition of the carton.,
distribution,inventory_control,carton,max_load_kg,max_load_kg,,"DECIMAL(10,2)",,,,,master_data,Maximum load weight the carton can safely hold.,
distribution,inventory_control,carton,status,status,,STRING,,,,,master_data,Current lifecycle status of the carton.,
distribution,inventory_control,carton,updated_timestamp,updated_timestamp,,TIMESTAMP,,,,,master_data,Timestamp of the most recent update to the carton record.,
distribution,inventory_control,carton,volume_cubic_m,volume_cubic_m,,"DECIMAL(12,4)",,,,,master_data,Internal volume capacity of the carton in cubic meters.,
distribution,inventory_control,carton,weight_kg,weight_kg,,"DECIMAL(10,2)",,,,,master_data,Empty weight of the carton in kilograms.,
distribution,inventory_control,cold_chain_event,cold_chain_event_id,cold_chain_event_id,Cold Chain Event ID,BIGINT,Y,,,,transactional_data,Unique identifier for the cold chain monitoring event record.,Internal Data Standard
distribution,inventory_control,cold_chain_event,batch_record_id,batch_record_id,Batch Record Id (Foreign Key),BIGINT,,manufacturing.batch_record.batch_record_id,,,transactional_data,Foreign key linking to manufacturing.batch_record. Business justification: Cold‑chain compliance monitoring per batch requires linking temperature events to the batch record.,Internal - LLM Generated Cross-Domain Link
distribution,inventory_control,cold_chain_event,brand_id,brand_id,Brand Id (Foreign Key),BIGINT,,marketing.brand.brand_id,,,transactional_data,Foreign key linking to marketing.brand. Business justification: Temperature compliance reports are often brand‑specific; linking events to brand enables brand‑wise quality monitoring.,Internal - LLM Generated Cross-Domain Link
distribution,inventory_control,cold_chain_event,carrier_id,carrier_id,Carrier ID,BIGINT,,distribution.carrier.carrier_id,,,transactional_data,Unique identifier for the transportation carrier responsible for the cold chain asset during transit.,Internal Carrier Master
distribution,inventory_control,cold_chain_event,employee_id,employee_id,Reviewed By User ID,BIGINT,,workforce.employee.employee_id,"confidential,pii",,transactional_data,User identifier of the quality assurance or food safety personnel who reviewed the cold chain event and made the disposition decision.,Internal User Directory
distribution,inventory_control,cold_chain_event,product_registration_id,product_registration_id,Product Registration Id (Foreign Key),BIGINT,,regulatory.product_registration.product_registration_id,,,transactional_data,Foreign key linking to regulatory.product_registration. Business justification: Temperature excursion reports must reference the product registration to satisfy FDA and FSMA traceability requirements.,Internal - LLM Generated Cross-Domain Link
distribution,inventory_control,cold_chain_event,shipment_id,shipment_id,Shipment ID,BIGINT,,distribution.shipment.shipment_id,,,transactional_data,Unique identifier for the shipment or load associated with this cold chain monitoring event.,Internal Shipment Tracking
