domain,subdomain,product,attribute,column_name,business_glossary_term,type,is_primary_key,foreign_key_to,tags,value_regex,data_type,description,reference
field,aid_distribution,assessment,assessment_id,assessment_id,Assessment ID,BIGINT,Y,,,,master_data,Unique identifier for the field assessment record. Primary key.,Core Humanitarian Standard (CHS)
field,aid_distribution,assessment,agreement_id,agreement_id,Partnership Agreement Id (Foreign Key),BIGINT,,partnership.agreement.agreement_id,,,master_data,"Foreign key linking to partnership.partnership_agreement. Business justification: Assessments (PDM, needs assessments) are conducted within the scope of a specific partnership agreement that defines geographic coverage, sector, and donor reporting obligations. Donor compliance revi",Internal - LLM Generated Cross-Domain Link
field,aid_distribution,assessment,award_id,award_id,Award Id (Foreign Key),BIGINT,,grant.award.award_id,,,master_data,"Foreign key linking to grant.award. Business justification: Assessments (needs, baseline, endline, PDM) are typically award-funded activities requiring donor reporting and cost tracking. Critical for MEL frameworks, donor compliance, and linking assessment fin",Internal - LLM Generated Cross-Domain Link
field,aid_distribution,assessment,cost_center_id,cost_center_id,Cost Center Id (Foreign Key),BIGINT,,finance.cost_center.cost_center_id,,,master_data,"Foreign key linking to finance.cost_center. Business justification: Assessments are charged to cost centers. Finance needs this for expense tracking, budget management, and cost allocation.",Internal - LLM Generated Cross-Domain Link
field,aid_distribution,assessment,country_office_id,country_office_id,Country Office Id (Foreign Key),BIGINT,,field.country_office.country_office_id,,,master_data,"Foreign key linking to field.country_office. Business justification: Assessments are conducted within the operational scope of a country office. While assessment already links to project_site (and project_site links to country_office), some assessments may be country-o",Internal - LLM Generated Cross-Domain Link
field,aid_distribution,assessment,distribution_event_id,distribution_event_id,Distribution Event ID,BIGINT,,field.distribution_event.distribution_event_id,,,master_data,Reference to the distribution event being monitored. Applicable for Post-Distribution Monitoring (PDM) assessments only.,Sphere Humanitarian Standards
field,aid_distribution,assessment,donor_requirement_id,donor_requirement_id,Donor Requirement Id (Foreign Key),BIGINT,,compliance.donor_requirement.donor_requirement_id,,,master_data,"Foreign key linking to compliance.donor_requirement. Business justification: Assessments (baseline, PDM, needs assessments) are frequently mandated by specific donor requirements. Linking assessment to donor_requirement enables compliance tracking of whether each required asse",Internal - LLM Generated Cross-Domain Link
field,aid_distribution,assessment,emergency_id,emergency_id,Emergency Id (Foreign Key),BIGINT,,field.emergency.emergency_id,,,master_data,"Foreign key linking to field.emergency. Business justification: Assessments (needs assessments, PDM, FGD, KII) are frequently conducted in the context of specific emergencies to evaluate response adequacy and humanitarian needs. Linking assessment to emergency ena",Internal - LLM Generated Cross-Domain Link
field,aid_distribution,assessment,evaluation_id,evaluation_id,Evaluation Id (Foreign Key),BIGINT,,mel.evaluation.evaluation_id,,,master_data,"Foreign key linking to mel.evaluation. Business justification: Assessments provide primary data for evaluations. Evaluators use assessment data (needs, PDM, baseline) as evidence. Essential for evaluation methodology traceability and DAC criteria verification in ",Internal - LLM Generated Cross-Domain Link
field,aid_distribution,assessment,field_team_id,field_team_id,Field Team Id (Foreign Key),BIGINT,,field.field_team.field_team_id,,,master_data,"Foreign key linking to field.field_team. Business justification: Assessments are conducted by field teams (FGD, KII, household surveys, PDM). The assessment table already has team_lead_staff_member_id (individual staff) but lacks a FK to the field_team entity that ",Internal - LLM Generated Cross-Domain Link
