domain,subdomain,product,attribute,column_name,business_glossary_term,type,is_primary_key,foreign_key_to,tags,value_regex,data_type,description,reference
inventory,fulfillment_replenishment,asn,asn_id,asn_id,Advance Shipment Notice (ASN) ID,BIGINT,Y,,,,transactional_data,Unique identifier for the advance shipment notice record.,ISO/IEC 11179
inventory,fulfillment_replenishment,asn,asn_ship_to_location_warehouse_location_id,asn_ship_to_location_warehouse_location_id,Ship To Location ID,BIGINT,,inventory.warehouse_location.warehouse_location_id,,,transactional_data,"Identifier of the destination location (distribution center, warehouse, retail store, or 3PL) where goods will be received.",SAP S/4HANA WM
inventory,fulfillment_replenishment,asn,asn_warehouse_location_id,asn_warehouse_location_id,Ship From Location ID,BIGINT,,inventory.warehouse_location.warehouse_location_id,,,transactional_data,"Identifier of the origin location (supplier facility, factory, warehouse, or 3PL) from which goods are shipped.",SAP S/4HANA WM
inventory,fulfillment_replenishment,asn,carrier_id,carrier_id,Carrier Id (Foreign Key),BIGINT,,logistics.carrier.carrier_id,,,transactional_data,"Foreign key linking to logistics.carrier. Business justification: Vendor routing compliance and carrier OTIF tracking: ASNs in apparel fashion must reference the approved carrier per routing guide. Carrier performance (damage rates, on-time ASN accuracy) is measured",Internal - LLM Generated Cross-Domain Link
inventory,fulfillment_replenishment,asn,customs_entry_id,customs_entry_id,Customs Entry Id (Foreign Key),BIGINT,,logistics.customs_entry.customs_entry_id,,,transactional_data,"Foreign key linking to logistics.customs_entry. Business justification: Imported ASNs tied to customs filings. Linking enables pre-clearance planning, ISF compliance validation, customs hold impact analysis, and entry-level traceability—critical for apparel trade complian",Internal - LLM Generated Cross-Domain Link
inventory,fulfillment_replenishment,asn,delivery_schedule_id,delivery_schedule_id,Delivery Schedule Id (Foreign Key),BIGINT,,supplier.delivery_schedule.delivery_schedule_id,,,transactional_data,Foreign key linking to supplier.delivery_schedule. Business justification: ASNs are generated against supplier delivery schedules in apparel critical path management. Linking ASN to delivery_schedule enables OTIF measurement — comparing actual shipment notification dates aga,Internal - LLM Generated Cross-Domain Link
inventory,fulfillment_replenishment,asn,lot_batch_id,lot_batch_id,Lot Batch Id (Foreign Key),BIGINT,,inventory.lot_batch.lot_batch_id,,,transactional_data,Foreign key linking to inventory.lot_batch. Business justification: An ASN from a supplier or factory contains specific lot/batch information for the goods being shipped (critical in apparel for dye-lot consistency tracking). Adding lot_batch_id to asn links the advan,Internal - LLM Generated Cross-Domain Link
inventory,fulfillment_replenishment,asn,merchandise_hierarchy_id,merchandise_hierarchy_id,Merchandise Hierarchy Id (Foreign Key),BIGINT,,merchandising.merchandise_hierarchy.merchandise_hierarchy_id,,,transactional_data,"Foreign key linking to merchandising.merchandise_hierarchy. Business justification: Vendor compliance and receipt planning by department/class: apparel receiving teams report ASN accuracy, on-time delivery, and receipt volumes by merchandise hierarchy for vendor scorecards and OTB re",Internal - LLM Generated Cross-Domain Link
inventory,fulfillment_replenishment,asn,otb_budget_id,otb_budget_id,Otb Budget Id (Foreign Key),BIGINT,,merchandising.otb_budget.otb_budget_id,,,transactional_data,Foreign key linking to merchandising.otb_budget. Business justification: In-transit OTB commitment tracking: ASNs represent committed receipts consuming OTB budget. Apparel OTB management requires real-time visibility of in-transit commitments against budget to prevent ove,Internal - LLM Generated Cross-Domain Link
inventory,fulfillment_replenishment,asn,packing_list_id,packing_list_id,Packing List Id (Foreign Key),BIGINT,,logistics.packing_list.packing_list_id,,,transactional_data,"Foreign key linking to logistics.packing_list. Business justification: ASN contains packing list details. Linking enables receiving validation (expected vs. actual), carton-level traceability, receiving productivity measurement (scan vs. manual), and vendor compliance sc",Internal - LLM Generated Cross-Domain Link
inventory,fulfillment_replenishment,asn,production_lot_id,production_lot_id,Production Lot Id (Foreign Key),BIGINT,,production.lot.lot_id,,,transactional_data,"Foreign key linking to production.lot. Business justification: Pre-receipt production lot identification: ASNs from factories notify the DC of incoming shipments. Linking the ASN to the production.lot enables warehouse teams to pre-stage quality inspection, verif",Internal - LLM Generated Cross-Domain Link
inventory,fulfillment_replenishment,asn,routing_guide_id,routing_guide_id,Routing Guide Id (Foreign Key),BIGINT,,logistics.routing_guide.routing_guide_id,,,transactional_data,"Foreign key linking to logistics.routing_guide. Business justification: Vendor routing guide compliance program: ASNs must be generated in compliance with the applicable routing guide. Apparel brands track routing guide compliance at ASN level (vendor scorecards, chargeba",Internal - LLM Generated Cross-Domain Link
inventory,fulfillment_replenishment,asn,season_id,season_id,Season Id (Foreign Key),BIGINT,,merchandising.season.season_id,,,transactional_data,Foreign key linking to merchandising.season. Business justification: Season-based receipt planning and OTB tracking: ASNs in apparel are season-specific shipments. Apparel buying teams track in-transit receipts by season for OTB actuals reporting and season receipt pla,Internal - LLM Generated Cross-Domain Link
inventory,fulfillment_replenishment,asn,ship_to_distribution_center_id,ship_to_distribution_center_id,Ship To Distribution Center Id (Foreign Key),BIGINT,,logistics.distribution_center.distribution_center_id,,,transactional_data,"Foreign key linking to logistics.distribution_center. Business justification: ASN destination is the receiving DC. Role-prefixed to distinguish from origin. Enables dock appointment scheduling, labor planning, inbound volume forecasting, and DC capacity management—critical for ",Internal - LLM Generated Cross-Domain Link
inventory,fulfillment_replenishment,asn,ship_to_retail_store_id,ship_to_retail_store_id,Ship To Retail Store Id (Foreign Key),BIGINT,,store.retail_store.retail_store_id,,,transactional_data,"Foreign key linking to store.retail_store. Business justification: Store-bound advance ship notices must identify destination retail store for receiving appointment scheduling, dock door assignment, labor planning, and inbound logistics coordination at store receivin",Internal - LLM Generated Cross-Domain Link
inventory,fulfillment_replenishment,asn,shipment_id,shipment_id,Logistics Shipment Id (Foreign Key),BIGINT,,logistics.shipment.shipment_id,,,transactional_data,"Foreign key linking to logistics.logistics_shipment. Business justification: ASN is advance notice of inbound shipment. Linking enables receiving variance analysis (expected vs. actual), dock scheduling optimization, carrier performance tracking, and OTIF measurement—standard ",Internal - LLM Generated Cross-Domain Link
inventory,fulfillment_replenishment,asn,sourcing_purchase_order_id,sourcing_purchase_order_id,Sourcing Purchase Order Id (Foreign Key),BIGINT,,sourcing.sourcing_purchase_order.sourcing_purchase_order_id,,,transactional_data,"Foreign key linking to sourcing.sourcing_purchase_order. Business justification: ASNs for inbound materials/fabrics from suppliers reference the originating sourcing PO. Required for receiving planning, dock scheduling, and 3-way match validation in apparel material procurement.",Internal - LLM Generated Cross-Domain Link
inventory,fulfillment_replenishment,asn,sourcing_purchase_order_line_id,sourcing_purchase_order_line_id,Sourcing Purchase Order Line Id (Foreign Key),BIGINT,,sourcing.sourcing_purchase_order_line.sourcing_purchase_order_line_id,,,transactional_data,"Foreign key linking to sourcing.sourcing_purchase_order_line. Business justification: ASN-to-PO-line matching: apparel logistics teams validate inbound ASNs at line level (by SKU/color/size) to schedule dock appointments, pre-allocate putaway locations, and detect short-shipments befor",Internal - LLM Generated Cross-Domain Link
inventory,fulfillment_replenishment,asn,supplier_factory_id,supplier_factory_id,Origin Factory Id (Foreign Key),BIGINT,,supplier.supplier_factory.supplier_factory_id,,,transactional_data,"Foreign key linking to supplier.supplier_factory. Business justification: ASNs originate from specific factories for shipment tracking, dock scheduling, factory performance monitoring, and logistics planning. Role-prefixed as origin_factory_id to distinguish from ship_from_",Internal - LLM Generated Cross-Domain Link
inventory,fulfillment_replenishment,asn,third_party_logistics_id,third_party_logistics_id, 3Pl Partner Id (Foreign Key),BIGINT,,logistics.third_party_logistics.third_party_logistics_id,,,transactional_data,"Foreign key linking to logistics.third_party_logistics. Business justification: 3PL-managed inbound shipments. Linking enables 3PL receiving performance measurement, SLA compliance tracking, cost allocation, and service level validation—standard for apparel brands using 3PL recei",Internal - LLM Generated Cross-Domain Link
inventory,fulfillment_replenishment,asn,vendor_id,vendor_id,Supplier ID,BIGINT,,supplier.vendor.vendor_id,,,transactional_data,"Identifier of the supplier, factory, or 3PL sending the shipment.",SAP S/4HANA MM
inventory,fulfillment_replenishment,asn,work_order_id,work_order_id,Work Order Id (Foreign Key),BIGINT,,production.work_order.work_order_id,,,transactional_data,"Foreign key linking to production.work_order. Business justification: Advanced ship notices for finished goods from factories reference originating work order for pre-receipt validation, dock scheduling, and customs documentation. Enables matching ASN to production orde",Internal - LLM Generated Cross-Domain Link
inventory,fulfillment_replenishment,asn,acknowledged_timestamp,acknowledged_timestamp,Acknowledged Timestamp,TIMESTAMP,,,,,transactional_data,Date and time when the ASN was acknowledged by the receiving system or warehouse management system.,Manhattan Associates WMS
inventory,fulfillment_replenishment,asn,actual_arrival_date,actual_arrival_date,Actual Arrival Date,DATE,,,,,transactional_data,Actual date when the shipment physically arrived at the destination location.,Manhattan Associates WMS
inventory,fulfillment_replenishment,asn,appointment_date,appointment_date,Appointment Date,TIMESTAMP,,,,,transactional_data,Scheduled date and time for the shipment to be received at the destination facility.,Manhattan Associates WMS
inventory,fulfillment_replenishment,asn,asn_number,asn_number,Advance Shipment Notice (ASN) Number,STRING,,,,"^[A-Z0-9]{8,20}$",transactional_data,"Externally-known unique business identifier for the advance shipment notice, typically provided by supplier or 3PL.",GS1 EDI Standards
inventory,fulfillment_replenishment,asn,asn_status,asn_status,Advance Shipment Notice (ASN) Status,STRING,,,,,transactional_data,Current lifecycle status of the ASN in the receiving workflow. [ENUM-REF-CANDIDATE: draft|transmitted|acknowledged|in_transit|arrived|receiving|received|cancelled — 8 candidates stripped; promote to reference product],Manhattan Associates WMS
inventory,fulfillment_replenishment,asn,asn_type,asn_type,Advance Shipment Notice (ASN) Type,STRING,,,,standard|drop_ship|transfer|return|sample,transactional_data,Classification of the ASN based on shipment purpose and origin.,Manhattan Associates WMS
inventory,fulfillment_replenishment,asn,carrier_service_level,carrier_service_level,Carrier Service Level,STRING,,,,,transactional_data,"Service level or shipping method used by the carrier (e.g., ground, express, air freight, ocean freight).",Manhattan Associates WMS
inventory,fulfillment_replenishment,asn,commercial_invoice_number,commercial_invoice_number,Commercial Invoice Number,STRING,,,,,transactional_data,Commercial invoice number associated with this shipment for customs and payment reconciliation.,International Chamber of Commerce
inventory,fulfillment_replenishment,asn,container_number,container_number,Container Number,STRING,,,,,transactional_data,Shipping container identification number for ocean or intermodal freight.,ISO 6346
inventory,fulfillment_replenishment,asn,country_of_origin,country_of_origin,Country of Origin,STRING,,,,^[A-Z]{3}$,transactional_data,Three-letter ISO country code representing the country where the goods were manufactured or produced.,ISO 3166-1 alpha-3
